,City/Town,VAP,B+VAP,Michael D. Brady,Moises M. Rodrigues,OVAP,TOT_VOTES,factor,B+VAP_pct,OVAP_pct,SSEN20PNone,Michael D. Brady_pct,Moises M. Rodrigues_pct,SSEN20PNone_pct
0,Brockton,2763,1625,219,219,1138,2763,1,0.5881288454578357,0.41187115454216433,2325,0.07926167209554831,0.07926167209554831,0.8414766558089034
1,Brockton,2940,1281,350,292,1659,2940,1,0.4357142857142857,0.5642857142857143,2298,0.11904761904761904,0.09931972789115646,0.7816326530612245
2,Brockton,2582,1318,238,215,1264,2582,1,0.5104570100697134,0.4895429899302866,2129,0.09217660728117738,0.08326878388845856,0.824554608830364
3,Brockton,3020,854,475,335,2166,3020,1,0.2827814569536424,0.7172185430463576,2210,0.15728476821192053,0.11092715231788079,0.7317880794701986
4,Brockton,2752,1879,140,206,873,2752,1,0.6827761627906976,0.3172238372093023,2406,0.050872093023255814,0.07485465116279069,0.8742732558139535
5,Brockton,2738,1587,159,165,1151,2738,1,0.5796201607012418,0.4203798392987582,2414,0.05807158509861213,0.060262965668371075,0.8816654492330168
6,Brockton,2888,1705,114,186,1183,2888,1,0.5903739612188366,0.40962603878116344,2588,0.039473684210526314,0.06440443213296398,0.8961218836565097
7,Brockton,2728,1444,235,217,1284,2728,1,0.5293255131964809,0.4706744868035191,2276,0.08614369501466276,0.07954545454545454,0.8343108504398827
8,Brockton,2941,1606,201,260,1335,2941,1,0.5460727643658619,0.45392723563413806,2480,0.06834410064603877,0.08840530431825909,0.8432505950357021
9,Brockton,2823,1716,170,208,1107,2823,1,0.6078639744952179,0.39213602550478216,2445,0.06021962451292951,0.0736804817569961,0.8660998937300743
10,Brockton,2790,1068,393,297,1722,2790,1,0.3827956989247312,0.6172043010752688,2100,0.14086021505376345,0.1064516129032258,0.7526881720430108
11,Brockton,2872,820,389,277,2052,2872,1,0.28551532033426186,0.7144846796657381,2206,0.1354456824512535,0.09644846796657382,0.7681058495821727
12,Brockton,2706,1562,93,170,1144,2706,1,0.5772357723577236,0.42276422764227645,2443,0.03436807095343681,0.06282335550628233,0.9028085735402809
13,Brockton,2926,1469,235,317,1457,2926,1,0.5020505809979494,0.4979494190020506,2374,0.08031442241968557,0.10833902939166097,0.8113465481886535
14,Brockton,2631,1118,292,273,1513,2631,1,0.4249334853667807,0.5750665146332193,2066,0.11098441657164576,0.10376282782212087,0.7852527556062334
15,Brockton,3022,1206,298,273,1816,3022,1,0.3990734612839179,0.600926538716082,2451,0.0986101919258769,0.09033752481800132,0.8110522832561218
16,Brockton,3123,1760,157,236,1363,3123,1,0.563560678834454,0.43643932116554596,2730,0.05027217419148255,0.07556836375280179,0.8741594620557157
17,Brockton,2702,1057,335,270,1645,2702,1,0.3911917098445596,0.6088082901554405,2097,0.12398223538119911,0.0999259807549963,0.7760917838638046
18,Brockton,3033,1444,218,289,1589,3033,1,0.4760962743158589,0.5239037256841411,2526,0.07187603033300363,0.09528519617540389,0.8328387734915925
19,Brockton,2821,1105,285,300,1716,2821,1,0.391705069124424,0.6082949308755761,2236,0.1010280042538107,0.10634526763559021,0.7926267281105991
20,Brockton,2769,1346,195,268,1423,2769,1,0.4860960635608523,0.5139039364391477,2306,0.07042253521126761,0.09678584326471651,0.8327916215240159
21,Brockton,3085,980,398,301,2105,3085,1,0.31766612641815234,0.6823338735818476,2386,0.12901134521880064,0.09756888168557537,0.773419773095624
22,Brockton,2803,1297,292,275,1506,2803,1,0.4627185158758473,0.5372814841241527,2236,0.10417409917945059,0.09810916874777025,0.7977167320727792
23,Brockton,2610,705,346,306,1905,2610,1,0.27011494252873564,0.7298850574712644,1958,0.13256704980842912,0.11724137931034483,0.750191570881226
24,Brockton,2865,1643,163,228,1222,2865,1,0.5734729493891798,0.42652705061082025,2474,0.0568935427574171,0.07958115183246073,0.8635253054101222
25,Brockton,3038,1689,274,305,1349,3038,1,0.5559578670177748,0.44404213298222517,2459,0.0901909150757077,0.10039499670836076,0.8094140882159315
26,Brockton,3388,1619,243,265,1769,3388,1,0.47786304604486424,0.5221369539551358,2880,0.07172373081463991,0.07821723730814639,0.8500590318772137
27,Brockton,2803,1273,268,296,1530,2803,1,0.45415626114876917,0.5458437388512308,2239,0.09561184445237246,0.10560114163396361,0.7987870139136639
28,E. Bridgewater,2913,145,332,197,2768,2913,1,0.049776862341228974,0.950223137658771,2384,0.11397185032612427,0.06762787504291108,0.8184002746309647
29,E. Bridgewater,2751,60,298,179,2691,2751,1,0.021810250817884406,0.9781897491821155,2274,0.10832424572882589,0.06506724827335514,0.826608505997819
30,E. Bridgewater,2993,107,405,189,2886,2993,1,0.03575008352823254,0.9642499164717675,2399,0.13531573671901104,0.06314734380220514,0.8015369194787838
31,Easton,3471,135,287,145,3336,3471,1,0.03889369057908384,0.9611063094209161,3039,0.08268510515701527,0.04177470469605301,0.8755401901469317
32,Easton,3311,183,520,339,3128,3311,1,0.05527031108426457,0.9447296889157354,2452,0.15705225007550588,0.10238598610691634,0.7405617638175778
33,Halifax,3239,30,389,227,3209,3239,1,0.009262117937635072,0.9907378820623649,2623,0.12009879592466811,0.07008335906143871,0.8098178450138932
34,Halifax,2979,49,395,209,2930,2979,1,0.016448472641826115,0.9835515273581739,2375,0.13259483048002685,0.07015777106411547,0.7972473984558577
35,Hanover,2779,42,486,225,2737,2779,1,0.015113350125944584,0.9848866498740554,2068,0.17488305145735877,0.08096437567470313,0.7441525728679381
36,Hanover,2989,33,481,208,2956,2989,1,0.011040481766477083,0.9889595182335229,2300,0.16092338574774173,0.06958849113415858,0.7694881231180997
37,Hanover,2710,24,470,192,2686,2710,1,0.008856088560885609,0.9911439114391144,2048,0.17343173431734318,0.07084870848708487,0.7557195571955719
38,Hanover,2653,11,421,194,2642,2653,1,0.0041462495288352805,0.9958537504711648,2038,0.15868827742178665,0.0731247644176404,0.7681869581605729
39,Hanson,2820,44,412,155,2776,2820,1,0.015602836879432624,0.9843971631205674,2253,0.14609929078014183,0.0549645390070922,0.798936170212766
40,Hanson,2731,26,409,199,2705,2731,1,0.009520322226290736,0.9904796777737093,2123,0.14976199194434273,0.0728670816550714,0.7773709264005859
41,Hanson,2924,48,352,156,2876,2924,1,0.016415868673050615,0.9835841313269493,2416,0.12038303693570451,0.0533515731874145,0.826265389876881
42,Plympton,2315,21,323,181,2294,2315,1,0.009071274298056155,0.9909287257019438,1811,0.13952483801295895,0.07818574514038877,0.7822894168466523
43,Whitman,3207,127,487,229,3080,3207,1,0.039600873090115375,0.9603991269098846,2491,0.15185531649516681,0.07140629872154662,0.7767383847832866
44,Whitman,2890,141,324,158,2749,2890,1,0.048788927335640137,0.9512110726643599,2408,0.11211072664359861,0.05467128027681661,0.8332179930795848
45,Whitman,2989,122,385,224,2867,2989,1,0.04081632653061224,0.9591836734693877,2380,0.1288056206088993,0.07494145199063232,0.7962529274004684
46,Whitman,2815,96,385,182,2719,2815,1,0.03410301953818828,0.9658969804618117,2248,0.13676731793960922,0.06465364120781528,0.7985790408525755
