,COUNTYFP20,VAP,Precinct,WVAP,BVAP,HVAP,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,BMAY21PNone,BMAY21PAG_pct,BMAY21PAC_pct,BMAY21PKJ_pct,BMAY21PMW_pct,BMAY21PNone_pct
1151,025,3444,"WARD 14, PRECINCT 1",87,1618,1333,23,88,278,69,406,3444,1,0.025261324041811847,0.46980255516840885,0.3870499419279907,0.11788617886178862,2986,0.006678281068524971,0.025551684088269456,0.08072009291521487,0.02003484320557491,0.8670150987224158
1152,025,1711,"WARD 16, PRECINCT 1",301,390,273,52,68,53,69,747,1711,1,0.17592051431911163,0.22793687901811807,0.15955581531268265,0.43658679135008766,1469,0.030391583869082407,0.03974284044418469,0.030976037405026302,0.04032729398012858,0.858562244301578
1153,025,1930,"WARD 7, PRECINCT 8",1314,111,137,161,36,42,93,368,1930,1,0.6808290155440414,0.057512953367875645,0.07098445595854923,0.19067357512953367,1598,0.08341968911917098,0.01865284974093264,0.021761658031088083,0.04818652849740933,0.827979274611399
1154,025,3036,"WARD 5, PRECINCT 2",1562,70,344,19,62,24,138,1060,3036,1,0.5144927536231884,0.0230566534914361,0.11330698287220026,0.34914361001317523,2793,0.006258234519104084,0.020421607378129116,0.007905138339920948,0.045454545454545456,0.9199604743083004
1155,025,2178,"WARD 1, PRECINCT 11",1036,29,961,170,21,48,130,152,2178,1,0.4756657483930211,0.013314967860422406,0.4412304866850321,0.06978879706152434,1809,0.0780532598714417,0.009641873278236915,0.02203856749311295,0.05968778696051423,0.8305785123966942
1156,025,5971,"WARD 4, PRECINCT 10",4113,344,470,0,7,6,22,1044,5971,1,0.6888293418187909,0.05761179031987942,0.07871378328588176,0.174845084575448,5936,0.0,0.0011723329425556857,0.0010048568079048736,0.0036844749623178696,0.9941383352872216
1157,025,1614,"WARD 17, PRECINCT 1",74,918,372,9,65,125,38,250,1614,1,0.04584882280049566,0.5687732342007435,0.23048327137546468,0.15489467162329615,1377,0.0055762081784386614,0.040272614622057,0.07744733581164807,0.023543990086741014,0.8531598513011153
1158,025,3516,"WARD 22, PRECINCT 2",1722,222,521,65,64,46,277,1051,3516,1,0.48976109215017066,0.06313993174061433,0.1481797497155859,0.2989192263936291,3064,0.018486916951080772,0.01820250284414107,0.013083048919226393,0.07878270762229807,0.8714448236632537
1159,025,2014,"WARD 13, PRECINCT 7",1152,123,169,123,55,33,132,570,2014,1,0.5719960278053625,0.06107249255213505,0.08391261171797418,0.2830188679245283,1671,0.06107249255213505,0.02730883813306852,0.01638530287984111,0.06554121151936444,0.8296921549155909
1160,025,938,"WARD 19, PRECINCT 8",760,29,52,33,152,36,188,97,938,1,0.8102345415778252,0.03091684434968017,0.05543710021321962,0.10341151385927505,529,0.035181236673773986,0.16204690831556504,0.03837953091684435,0.20042643923240938,0.5639658848614072
1161,025,1657,"WARD 13, PRECINCT 6",629,291,340,64,79,50,94,397,1657,1,0.3796016898008449,0.1756185878092939,0.2051901025950513,0.2395896197948099,1370,0.03862401931200966,0.04767652383826192,0.030175015087507542,0.056729028364514184,0.8267954133977067
1162,025,2697,"WARD 21, PRECINCT 4",1321,84,335,12,23,11,83,957,2697,1,0.4898034853540971,0.03114571746384872,0.12421208750463478,0.3548387096774194,2568,0.004449388209121246,0.008527994067482388,0.004078605858361142,0.030774935113088618,0.9521690767519466
1163,025,1208,"WARD 15, PRECINCT 6",329,109,160,73,26,28,61,610,1208,1,0.2723509933774834,0.0902317880794702,0.13245033112582782,0.5049668874172185,1020,0.060430463576158944,0.02152317880794702,0.023178807947019868,0.050496688741721855,0.8443708609271523
1164,025,1612,"WARD 7, PRECINCT 1",1504,5,46,299,40,19,55,57,1612,1,0.9330024813895782,0.003101736972704715,0.028535980148883373,0.03535980148883375,1199,0.18548387096774194,0.02481389578163772,0.011786600496277916,0.034119106699751864,0.7437965260545906
1165,025,1867,"WARD 16, PRECINCT 4",520,456,233,72,71,67,94,658,1867,1,0.2785216925549009,0.24424209962506696,0.12479914301017675,0.35243706480985537,1563,0.0385645420460632,0.03802892340653455,0.035886448848419926,0.05034815211569363,0.8371719335832887
1166,025,1419,"WARD 16, PRECINCT 7",999,125,83,343,53,43,83,212,1419,1,0.7040169133192389,0.08809020436927413,0.058491895701198025,0.14940098661028894,897,0.24171952078928824,0.037350246652572236,0.030303030303030304,0.058491895701198025,0.6321353065539113
1167,025,1870,"WARD 19, PRECINCT 6",1408,91,137,52,256,75,380,234,1870,1,0.7529411764705882,0.04866310160427807,0.0732620320855615,0.12513368983957218,1107,0.027807486631016044,0.13689839572192514,0.040106951871657755,0.20320855614973263,0.5919786096256684
1168,025,1037,"WARD 17, PRECINCT 7",50,703,153,10,59,79,21,131,1037,1,0.048216007714561235,0.6779170684667309,0.14754098360655737,0.12632594021215043,868,0.009643201542912247,0.05689488910318226,0.07618129218900675,0.020250723240115717,0.837029893924783
1169,025,1555,"WARD 14, PRECINCT 10",31,836,537,16,77,127,43,151,1555,1,0.019935691318327974,0.5376205787781351,0.34533762057877815,0.09710610932475884,1292,0.010289389067524116,0.049517684887459806,0.08167202572347267,0.02765273311897106,0.8308681672025724
1170,025,2661,"WARD 9, PRECINCT 2",1580,307,346,63,203,83,191,428,2661,1,0.5937617437053739,0.11537016159338595,0.13002630590003758,0.16084178880120256,2121,0.02367531003382187,0.07628711010898158,0.0311912814731304,0.07177752724539646,0.7970687711386697
1171,025,1523,"WARD 17, PRECINCT 8",96,914,353,23,114,120,47,160,1523,1,0.06303348653972422,0.6001313197636244,0.23177938279711097,0.10505581089954039,1219,0.015101772816808929,0.07485226526592252,0.07879185817465528,0.030860144451739988,0.8003939592908733
