,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
0,Somerset,404,Somerset Precinct 02-001,324,29,79,80,404,1.0,0.801980198019802,0.19801980198019803,296,0.07178217821782178,0.19554455445544555,0.7326732673267327
1,Somerset,726,Somerset Precinct 05-001,591,89,202,135,726,1.0,0.8140495867768595,0.1859504132231405,435,0.12258953168044077,0.27823691460055094,0.5991735537190083
2,Somerset,1165,Somerset Precinct 03-001,861,130,289,304,1165,1.0,0.7390557939914163,0.2609442060085837,746,0.11158798283261803,0.248068669527897,0.640343347639485
3,Somerset,217,Somerset Precinct 13-003,159,28,46,58,217,1.0,0.7327188940092166,0.2672811059907834,143,0.12903225806451613,0.2119815668202765,0.6589861751152074
4,Somerset,3664,Somerset Precinct 13-002,1072,41,67,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3556,0.01118995633187773,0.018286026200873363,0.9705240174672489
5,Somerset,151,Somerset Precinct 13-001,122,12,44,29,151,1.0,0.8079470198675497,0.19205298013245034,95,0.07947019867549669,0.2913907284768212,0.6291390728476821
6,Somerset,2355,Somerset Precinct 01-002,1257,262,193,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1900,0.11125265392781317,0.08195329087048832,0.8067940552016986
7,Somerset,186,Somerset Precinct 01-003,56,70,22,130,186,1.0,0.3010752688172043,0.6989247311827957,94,0.3763440860215054,0.11827956989247312,0.5053763440860215
8,Somerset,1267,Somerset Precinct 15-002,234,195,54,1033,1267,1.0,0.18468823993685873,0.8153117600631413,1018,0.15390686661404893,0.042620363062352014,0.8034727703235991
9,Somerset,1039,Somerset Precinct 01-001,633,110,114,406,1039,1.0,0.6092396535129933,0.39076034648700675,815,0.10587102983638114,0.109720885466795,0.7844080846968239
10,Somerset,3771,Somerset Precinct 15-001,692,115,105,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3551,0.030495889684433838,0.02784407319013524,0.9416600371254309
11,Worcester,2315,Worcester Precinct 01-001,1155,788,990,1160,2315,1.0,0.49892008639308855,0.5010799136069114,537,0.3403887688984881,0.42764578833693306,0.23196544276457884
12,Somerset,919,Somerset Precinct 04-001,711,86,201,208,919,1.0,0.7736670293797606,0.22633297062023938,632,0.09357997823721437,0.21871599564744287,0.6877040261153428
13,Dorchester,70,Dorchester Precinct 18-001,65,7,18,5,70,1.0,0.9285714285714286,0.07142857142857142,45,0.1,0.2571428571428571,0.6428571428571429
14,Dorchester,49,Dorchester Precinct 11-001,44,5,26,5,49,1.0,0.8979591836734694,0.10204081632653061,18,0.10204081632653061,0.5306122448979592,0.3673469387755102
15,Dorchester,145,Dorchester Precinct 13-002,79,33,33,66,145,1.0,0.5448275862068965,0.45517241379310347,79,0.22758620689655173,0.22758620689655173,0.5448275862068965
16,Dorchester,206,Dorchester Precinct 17-001,169,29,67,37,206,1.0,0.8203883495145631,0.1796116504854369,110,0.1407766990291262,0.32524271844660196,0.5339805825242718
17,Dorchester,63,Dorchester Precinct 14-002,39,13,16,24,63,1.0,0.6190476190476191,0.38095238095238093,34,0.20634920634920634,0.25396825396825395,0.5396825396825397
18,Wicomico,1349,Wicomico Precinct 17-001,1025,242,314,324,1349,1.0,0.759822090437361,0.24017790956263899,793,0.1793921423276501,0.23276501111934766,0.5878428465530022
19,Dorchester,308,Dorchester Precinct 03-001,274,44,92,34,308,1.0,0.8896103896103896,0.11038961038961038,172,0.14285714285714285,0.2987012987012987,0.5584415584415584
20,Cecil,4593,Cecil Precinct 05-003,4361,578,1281,232,4593,1.0,0.9494883518397561,0.05051164816024385,2734,0.1258436751578489,0.278902677988243,0.5952536468539081
21,Kent,1682,Kent Precinct 01-002,1494,280,456,188,1682,1.0,0.8882282996432818,0.1117717003567182,946,0.16646848989298454,0.27110582639714625,0.5624256837098692
22,Cecil,2280,Cecil Precinct 02-001,2088,288,539,192,2280,1.0,0.9157894736842105,0.08421052631578947,1453,0.12631578947368421,0.23640350877192984,0.637280701754386
23,Cecil,2076,Cecil Precinct 02-002,1934,240,479,142,2076,1.0,0.9315992292870906,0.06840077071290944,1357,0.11560693641618497,0.23073217726396916,0.6536608863198459
24,Cecil,4897,Cecil Precinct 05-002,4539,783,1666,358,4897,1.0,0.9268940167449459,0.07310598325505412,2448,0.15989381253828874,0.34020829079027975,0.4998978966714315
25,Cecil,3665,Cecil Precinct 09-001,3546,392,1189,119,3665,1.0,0.9675306957708049,0.03246930422919509,2084,0.10695770804911324,0.32442019099590724,0.5686221009549796
26,Cecil,2554,Cecil Precinct 05-004,2220,295,314,334,2554,1.0,0.8692247454972593,0.1307752545027408,1945,0.11550509005481598,0.12294440093970242,0.7615505090054816
27,Cecil,4984,Cecil Precinct 05-001,4641,351,642,343,4984,1.0,0.9311797752808989,0.06882022471910113,3991,0.07042536115569824,0.12881219903691815,0.8007624398073836
28,Cecil,7016,Cecil Precinct 03-002,6111,788,1193,905,7016,1.0,0.8710091220068416,0.1289908779931585,5035,0.11231470923603193,0.17003990877993158,0.7176453819840365
29,Cecil,6045,Cecil Precinct 03-003,4995,480,641,1050,6045,1.0,0.826302729528536,0.17369727047146402,4924,0.0794044665012407,0.10603804797353185,0.8145574855252274
30,Cecil,4668,Cecil Precinct 04-001,4445,675,1002,223,4668,1.0,0.9522279348757497,0.04777206512425022,2991,0.14460154241645246,0.21465295629820053,0.640745501285347
31,Cecil,6876,Cecil Precinct 03-001,5322,836,756,1554,6876,1.0,0.7739965095986039,0.22600349040139617,5284,0.12158231529959279,0.1099476439790576,0.7684700407213496
32,Cecil,1863,Cecil Precinct 04-002,1152,429,306,711,1863,1.0,0.6183574879227053,0.38164251207729466,1128,0.23027375201288244,0.1642512077294686,0.605475040257649
33,Worcester,1096,Worcester Precinct 04-001,901,330,765,195,1096,1.837248322147651,0.8220802919708029,0.17791970802919707,1,0.3010948905109489,0.697992700729927,0.0009124087591240876
34,Worcester,2209,Worcester Precinct 02-001,1098,135,94,1111,2209,1.0,0.49705749207786326,0.5029425079221367,1980,0.06111362607514713,0.0425531914893617,0.8963331824354912
35,Worcester,2685,Worcester Precinct 04-002,2330,99,210,355,2685,1.0,0.8677839851024208,0.13221601489757914,2376,0.03687150837988827,0.0782122905027933,0.8849162011173184
36,Worcester,1045,Worcester Precinct 02-002,819,693,351,226,1045,1.4621848739495797,0.783732057416268,0.21626794258373205,1,0.6631578947368421,0.33588516746411484,0.0009569377990430622
37,Wicomico,2459,Wicomico Precinct 15-001,1971,277,638,488,2459,1.0,0.8015453436356242,0.19845465636437576,1544,0.11264741764945099,0.25945506303375354,0.6278975193167955
38,Wicomico,2235,Wicomico Precinct 16-002,1532,386,428,703,2235,1.0,0.6854586129753915,0.3145413870246085,1421,0.1727069351230425,0.19149888143176733,0.6357941834451901
39,Wicomico,2655,Wicomico Precinct 08-004,2377,299,419,278,2655,1.0,0.8952919020715631,0.10470809792843691,1937,0.11261770244821093,0.15781544256120528,0.7295668549905838
40,Wicomico,1417,Wicomico Precinct 08-003,1099,60,84,318,1417,1.0,0.7755822159491884,0.2244177840508116,1273,0.04234297812279464,0.059280169371912494,0.8983768525052929
41,Wicomico,3627,Wicomico Precinct 13-003,2905,683,554,722,3627,1.0,0.8009374138406397,0.19906258615936034,2390,0.18830989798731734,0.1527433140336366,0.658946787979046
42,Wicomico,5667,Wicomico Precinct 13-001,4424,121,58,1243,5667,1.0,0.7806599611787541,0.2193400388212458,5488,0.02135168519498853,0.010234692076936652,0.9684136227280749
43,Wicomico,441,Wicomico Precinct 09-004,294,268,172,147,441,1.76,0.6666666666666666,0.3333333333333333,1,0.6077097505668935,0.3900226757369615,0.0022675736961451248
44,Wicomico,3486,Wicomico Precinct 09-002,433,360,14,3053,3486,1.0,0.12421113023522662,0.8757888697647733,3112,0.10327022375215146,0.004016064257028112,0.8927137119908204
45,Wicomico,4914,Wicomico Precinct 13-002,2595,429,194,2319,4914,1.0,0.5280830280830281,0.4719169719169719,4291,0.0873015873015873,0.03947903947903948,0.8732193732193733
46,Wicomico,942,Wicomico Precinct 08-002,842,257,620,100,942,1.0,0.8938428874734607,0.10615711252653928,65,0.27282377919320594,0.6581740976645435,0.06900212314225053
47,Wicomico,4839,Wicomico Precinct 05-002,2095,74,67,2744,4839,1.0,0.43294069022525317,0.5670593097747468,4698,0.01529241578838603,0.013845835916511676,0.9708617482951023
48,Wicomico,1862,Wicomico Precinct 09-001,1151,455,59,711,1862,1.0,0.6181525241675617,0.3818474758324382,1348,0.24436090225563908,0.03168635875402793,0.723952738990333
49,Wicomico,1802,Wicomico Precinct 08-001,1508,108,249,294,1802,1.0,0.8368479467258602,0.16315205327413984,1445,0.05993340732519423,0.1381798002219756,0.8018867924528302
50,Wicomico,4054,Wicomico Precinct 05-004,3069,431,698,985,4054,1.0,0.7570300937345831,0.24296990626541687,2925,0.10631475086334484,0.1721756290083868,0.7215096201282684
51,Wicomico,2944,Wicomico Precinct 05-003,2205,696,459,739,2944,1.0,0.7489809782608695,0.25101902173913043,1789,0.23641304347826086,0.1559103260869565,0.6076766304347826
52,Wicomico,1613,Wicomico Precinct 05-005,1432,480,686,181,1613,1.0,0.8877867327960323,0.11221326720396776,447,0.2975821450712957,0.42529448233106015,0.27712337259764414
53,Wicomico,1047,Wicomico Precinct 11-002,541,424,622,506,1047,2.0389863547758287,0.5167144221585482,0.48328557784145176,1,0.4049665711556829,0.5940783190066857,0.0009551098376313276
54,Wicomico,3288,Wicomico Precinct 11-001,2372,64,8,916,3288,1.0,0.7214111922141119,0.27858880778588807,3216,0.019464720194647202,0.0024330900243309003,0.9781021897810219
55,Wicomico,3390,Wicomico Precinct 05-006,2762,180,331,628,3390,1.0,0.8147492625368732,0.18525073746312684,2879,0.05309734513274336,0.0976401179941003,0.8492625368731563
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,353,530,323,2236,1.0,0.8555456171735242,0.14445438282647585,1353,0.157871198568873,0.2370304114490161,0.605098389982111
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,371,355,338,1839,1.0,0.8162044589450789,0.18379554105492116,1113,0.20174007612833061,0.19303969548667754,0.6052202283849919
