,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,72,90,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,242,0.1782178217821782,0.22277227722772278,0.599009900990099
1,Somerset,726,Somerset Precinct 05-001,591,124,2,134,188,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,404,0.18457300275482094,0.25895316804407714,0.5564738292011019
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,180,263,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,722,0.15450643776824036,0.2257510729613734,0.6197424892703862
3,Somerset,217,Somerset Precinct 13-003,159,53,5,29,52,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,136,0.1336405529953917,0.23963133640552994,0.6267281105990783
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,59,57,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3548,0.016102620087336244,0.015556768558951965,0.9683406113537117
5,Somerset,151,Somerset Precinct 13-001,122,26,1,12,38,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,101,0.07947019867549669,0.25165562913907286,0.6688741721854304
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,296,206,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1853,0.1256900212314225,0.08747346072186836,0.7868365180467092
7,Somerset,186,Somerset Precinct 01-003,56,99,16,36,33,15,186,1.0,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,117,0.1935483870967742,0.1774193548387097,0.6290322580645161
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,159,61,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1047,0.1254932912391476,0.04814522494080505,0.8263614838200474
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,96,90,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,853,0.09239653512993262,0.08662175168431184,0.8209817131857555
