,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,22,10,1,4,404,1,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,371,0.054455445544554455,0.024752475247524754,0.0024752475247524753,0.9183168316831684
1,Somerset,726,Somerset Precinct 05-001,591,124,2,25,25,9,9,726,1,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,667,0.03443526170798898,0.03443526170798898,0.012396694214876033,0.918732782369146
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,21,15,4,41,1165,1,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,1125,0.018025751072961373,0.012875536480686695,0.0034334763948497852,0.9656652360515021
3,Somerset,217,Somerset Precinct 13-003,159,53,5,3,2,0,0,217,1,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,212,0.013824884792626729,0.009216589861751152,0.0,0.9769585253456221
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,11,2,0,17,3664,1,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3651,0.003002183406113537,0.0005458515283842794,0.0,0.9964519650655022
5,Somerset,151,Somerset Precinct 13-001,122,26,1,1,0,0,2,151,1,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,150,0.006622516556291391,0.0,0.0,0.9933774834437086
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,90,17,3,41,2355,1,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,2245,0.03821656050955414,0.007218683651804671,0.0012738853503184713,0.9532908704883227
7,Somerset,186,Somerset Precinct 01-003,56,99,16,6,3,3,15,186,1,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,174,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.9354838709677419
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,38,8,3,46,1267,1,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1218,0.02999210734017364,0.006314127861089187,0.0023677979479084454,0.9613259668508287
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,36,7,1,33,1039,1,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,995,0.03464870067372473,0.006737247353224254,0.0009624639076034649,0.9576515880654476
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,26,3,1,114,3771,1,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3741,0.006894722885176346,0.0007955449482895784,0.00026518164942985947,0.9920445505171042
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,148,39,9,53,2315,1,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,2119,0.06393088552915767,0.016846652267818573,0.0038876889848812094,0.9153347732181425
12,Somerset,919,Somerset Precinct 04-001,711,170,8,14,10,4,30,919,1,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,891,0.015233949945593036,0.01088139281828074,0.004352557127312296,0.969532100108814
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,1,4,0,5,70,1,0.9285714285714286,0.0,0.0,0.07142857142857142,65,0.014285714285714285,0.05714285714285714,0.0,0.9285714285714286
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,4,2,3,2,49,1,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,40,0.08163265306122448,0.04081632653061224,0.061224489795918366,0.8163265306122449
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,11,3,0,0,145,1,0.5448275862068965,0.45517241379310347,0.0,0.0,131,0.07586206896551724,0.020689655172413793,0.0,0.903448275862069
16,Dorchester,206,Dorchester Precinct 17-001,169,34,1,12,5,0,2,206,1,0.8203883495145631,0.1650485436893204,0.0048543689320388345,0.009708737864077669,189,0.05825242718446602,0.024271844660194174,0.0,0.9174757281553398
17,Dorchester,63,Dorchester Precinct 14-002,39,22,1,5,2,0,1,63,1,0.6190476190476191,0.3492063492063492,0.015873015873015872,0.015873015873015872,56,0.07936507936507936,0.031746031746031744,0.0,0.8888888888888888
18,Wicomico,1349,Wicomico Precinct 17-001,1025,279,22,49,23,12,23,1349,1,0.759822090437361,0.20681986656782803,0.01630837657524092,0.01704966641957005,1265,0.0363232023721275,0.01704966641957005,0.008895478131949592,0.9377316530763529
19,Dorchester,308,Dorchester Precinct 03-001,274,30,2,10,8,7,2,308,1,0.8896103896103896,0.09740259740259741,0.006493506493506494,0.006493506493506494,283,0.032467532467532464,0.025974025974025976,0.022727272727272728,0.9188311688311688
20,Cecil,4593,Cecil Precinct 05-003,4361,81,64,54,76,59,87,4593,1,0.9494883518397561,0.017635532331809273,0.01393424776834313,0.018941868060091443,4404,0.011757021554539516,0.016546919224907468,0.012845634661441323,0.9588504245591117
21,Kent,1682,Kent Precinct 01-002,1494,76,88,23,29,55,24,1682,1,0.8882282996432818,0.04518430439952437,0.052318668252080855,0.014268727705112961,1575,0.013674197384066587,0.017241379310344827,0.032699167657550536,0.9363852556480381
22,Cecil,2280,Cecil Precinct 02-001,2088,46,119,35,37,38,27,2280,1,0.9157894736842105,0.02017543859649123,0.052192982456140354,0.011842105263157895,2170,0.015350877192982455,0.016228070175438595,0.016666666666666666,0.9517543859649122
23,Cecil,2076,Cecil Precinct 02-002,1934,67,38,31,35,25,37,2076,1,0.9315992292870906,0.03227360308285164,0.018304431599229287,0.017822736030828516,1985,0.014932562620423893,0.016859344894026976,0.012042389210019268,0.9561657032755299
24,Cecil,4897,Cecil Precinct 05-002,4539,148,101,28,33,45,109,4897,1,0.9268940167449459,0.030222585256279355,0.02062487237083929,0.022258525627935472,4791,0.005717786399836635,0.006738819685521748,0.00918929957116602,0.9783540943434756
25,Cecil,3665,Cecil Precinct 09-001,3546,38,37,24,41,30,44,3665,1,0.9675306957708049,0.010368349249658937,0.010095497953615279,0.012005457025920874,3570,0.006548431105047749,0.011186903137789904,0.008185538881309686,0.9740791268758526
