,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,20,87,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,297,0.04950495049504951,0.21534653465346534,0.7351485148514851
1,Somerset,726,Somerset Precinct 05-001,591,124,2,47,241,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,438,0.06473829201101929,0.3319559228650138,0.6033057851239669
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,93,326,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,746,0.07982832618025751,0.2798283261802575,0.640343347639485
3,Somerset,217,Somerset Precinct 13-003,159,53,5,17,55,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,145,0.07834101382488479,0.2534562211981567,0.6682027649769585
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,33,76,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3555,0.009006550218340612,0.02074235807860262,0.9702510917030568
5,Somerset,151,Somerset Precinct 13-001,122,26,1,8,49,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,94,0.052980132450331126,0.32450331125827814,0.6225165562913907
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,195,252,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1908,0.08280254777070063,0.1070063694267516,0.8101910828025478
7,Somerset,186,Somerset Precinct 01-003,56,99,16,66,26,15,186,1.0,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,94,0.3548387096774194,0.13978494623655913,0.5053763440860215
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,157,77,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1033,0.1239147592738753,0.06077348066298342,0.8153117600631413
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,87,137,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,815,0.08373435996150144,0.13185755534167468,0.7844080846968239
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,89,128,114,3771,1.0,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3554,0.02360116679925749,0.03394325112702201,0.9424555820737205
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,594,1191,53,2315,1.0,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,530,0.25658747300215984,0.5144708423326134,0.22894168466522677
12,Somerset,919,Somerset Precinct 04-001,711,170,8,68,223,30,919,1.0,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,628,0.07399347116430903,0.2426550598476605,0.6833514689880305
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,5,22,5,70,1.0,0.9285714285714286,0.0,0.0,0.07142857142857142,43,0.07142857142857142,0.3142857142857143,0.6142857142857143
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,3,28,2,49,1.0,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,18,0.061224489795918366,0.5714285714285714,0.3673469387755102
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,23,40,0,145,1.0,0.5448275862068965,0.45517241379310347,0.0,0.0,82,0.15862068965517243,0.27586206896551724,0.5655172413793104
16,Dorchester,206,Dorchester Precinct 17-001,169,34,1,14,84,2,206,1.0,0.8203883495145631,0.1650485436893204,0.0048543689320388345,0.009708737864077669,108,0.06796116504854369,0.4077669902912621,0.5242718446601942
17,Dorchester,63,Dorchester Precinct 14-002,39,22,1,6,23,1,63,1.0,0.6190476190476191,0.3492063492063492,0.015873015873015872,0.015873015873015872,34,0.09523809523809523,0.36507936507936506,0.5396825396825397
18,Wicomico,1349,Wicomico Precinct 17-001,1025,279,22,157,402,23,1349,1.0,0.759822090437361,0.20681986656782803,0.01630837657524092,0.01704966641957005,790,0.11638250555967383,0.29799851742031136,0.5856189770200149
19,Dorchester,308,Dorchester Precinct 03-001,274,30,2,18,120,2,308,1.0,0.8896103896103896,0.09740259740259741,0.006493506493506494,0.006493506493506494,170,0.05844155844155844,0.38961038961038963,0.551948051948052
20,Cecil,4593,Cecil Precinct 05-003,4361,81,64,281,1589,87,4593,1.0,0.9494883518397561,0.017635532331809273,0.01393424776834313,0.018941868060091443,2723,0.06118005660788156,0.3459612453733943,0.5928586980187242
21,Kent,1682,Kent Precinct 01-002,1494,76,88,133,617,24,1682,1.0,0.8882282996432818,0.04518430439952437,0.052318668252080855,0.014268727705112961,932,0.07907253269916766,0.36682520808561236,0.5541022592152199
