,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,72,145,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,187,0.1782178217821782,0.3589108910891089,0.4628712871287129
1,Somerset,726,Somerset Precinct 05-001,591,124,2,144,267,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,315,0.19834710743801653,0.3677685950413223,0.43388429752066116
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,236,393,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,536,0.20257510729613734,0.3373390557939914,0.46008583690987126
3,Somerset,217,Somerset Precinct 13-003,159,53,5,38,63,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,116,0.17511520737327188,0.2903225806451613,0.5345622119815668
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,72,105,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3487,0.019650655021834062,0.028657205240174673,0.9516921397379913
5,Somerset,151,Somerset Precinct 13-001,122,26,1,17,57,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,77,0.11258278145695365,0.37748344370860926,0.5099337748344371
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,381,326,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1648,0.16178343949044585,0.13842887473460722,0.6997876857749469
7,Somerset,203,Somerset Precinct 01-003,61,107,18,140,60,17,203,1.075268817204301,0.30049261083743845,0.5270935960591133,0.08866995073891626,0.08374384236453201,3,0.6896551724137931,0.2955665024630542,0.014778325123152709
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,492,80,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,695,0.388318863456985,0.06314127861089187,0.5485398579321231
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,192,141,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,706,0.18479307025986524,0.13570741097208855,0.6794995187680462
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,444,105,114,3771,1.0,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3222,0.1177406523468576,0.02784407319013524,0.8544152744630071
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,867,494,53,2315,1.0,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,954,0.37451403887688983,0.21339092872570195,0.4120950323974082
12,Somerset,919,Somerset Precinct 04-001,711,170,8,166,259,30,919,1.0,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,494,0.18063112078346028,0.28182807399347115,0.5375408052230686
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,10,31,5,70,1.0,0.9285714285714286,0.0,0.0,0.07142857142857142,29,0.14285714285714285,0.44285714285714284,0.4142857142857143
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,14,25,2,49,1.0,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,10,0.2857142857142857,0.5102040816326531,0.20408163265306123
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,66,29,0,145,1.0,0.5448275862068965,0.45517241379310347,0.0,0.0,50,0.45517241379310347,0.2,0.3448275862068966
16,Dorchester,206,Dorchester Precinct 17-001,169,34,1,37,83,2,206,1.0,0.8203883495145631,0.1650485436893204,0.0048543689320388345,0.009708737864077669,86,0.1796116504854369,0.4029126213592233,0.4174757281553398
17,Dorchester,63,Dorchester Precinct 14-002,39,22,1,12,16,1,63,1.0,0.6190476190476191,0.3492063492063492,0.015873015873015872,0.015873015873015872,35,0.19047619047619047,0.25396825396825395,0.5555555555555556
18,Wicomico,1349,Wicomico Precinct 17-001,1025,279,22,380,387,23,1349,1.0,0.759822090437361,0.20681986656782803,0.01630837657524092,0.01704966641957005,582,0.28169014084507044,0.28687916975537436,0.4314306893995552
19,Dorchester,308,Dorchester Precinct 03-001,274,30,2,53,109,2,308,1.0,0.8896103896103896,0.09740259740259741,0.006493506493506494,0.006493506493506494,146,0.17207792207792208,0.3538961038961039,0.474025974025974
20,Cecil,4593,Cecil Precinct 05-003,4361,81,64,771,1590,87,4593,1.0,0.9494883518397561,0.017635532331809273,0.01393424776834313,0.018941868060091443,2232,0.16786414108425865,0.34617896799477466,0.48595689092096667
21,Kent,1682,Kent Precinct 01-002,1494,76,88,352,543,24,1682,1.0,0.8882282996432818,0.04518430439952437,0.052318668252080855,0.014268727705112961,787,0.20927467300832342,0.32282996432818073,0.46789536266349585
22,Cecil,2280,Cecil Precinct 02-001,2088,46,119,463,653,27,2280,1.0,0.9157894736842105,0.02017543859649123,0.052192982456140354,0.011842105263157895,1164,0.20307017543859648,0.2864035087719298,0.5105263157894737
23,Cecil,2076,Cecil Precinct 02-002,1934,67,38,460,561,37,2076,1.0,0.9315992292870906,0.03227360308285164,0.018304431599229287,0.017822736030828516,1055,0.22157996146435452,0.2702312138728324,0.5081888246628131
24,Cecil,4897,Cecil Precinct 05-002,4539,148,101,819,1475,109,4897,1.0,0.9268940167449459,0.030222585256279355,0.02062487237083929,0.022258525627935472,2603,0.16724525219522157,0.30120481927710846,0.53154992852767
25,Cecil,3665,Cecil Precinct 09-001,3546,38,37,546,1428,44,3665,1.0,0.9675306957708049,0.010368349249658937,0.010095497953615279,0.012005457025920874,1691,0.14897680763983628,0.38963165075034106,0.46139154160982265
26,Cecil,2554,Cecil Precinct 05-004,2220,192,64,394,429,78,2554,1.0,0.8692247454972593,0.07517619420516837,0.025058731401722788,0.030540328895849646,1731,0.15426781519185592,0.16797180892717306,0.677760375880971
27,Cecil,4984,Cecil Precinct 05-001,4641,146,92,797,1249,105,4984,1.0,0.9311797752808989,0.029293739967897272,0.018459069020866775,0.021067415730337078,2938,0.15991171749598715,0.2506019261637239,0.5894863563402889
28,Cecil,7016,Cecil Precinct 03-002,6111,537,214,1216,1582,154,7016,1.0,0.8710091220068416,0.07653933865450399,0.03050171037628278,0.02194982896237172,4218,0.1733181299885975,0.22548460661345496,0.6011972633979475
29,Cecil,6045,Cecil Precinct 03-003,4995,536,290,888,892,224,6045,1.0,0.826302729528536,0.08866832092638545,0.04797353184449959,0.03705541770057899,4265,0.14689826302729528,0.14755996691480563,0.7055417700578991
30,Cecil,4668,Cecil Precinct 04-001,4445,68,88,1039,1421,67,4668,1.0,0.9522279348757497,0.01456726649528706,0.018851756640959727,0.014353041988003428,2208,0.22257926306769493,0.30441302485004285,0.4730077120822622
31,Cecil,6876,Cecil Precinct 03-001,5322,838,356,1214,1104,360,6876,1.0,0.7739965095986039,0.12187318208260617,0.051774287376381616,0.05235602094240838,4558,0.1765561372891216,0.16055846422338568,0.6628853984874927
32,Cecil,1863,Cecil Precinct 04-002,1152,471,127,461,245,113,1863,1.0,0.6183574879227053,0.2528180354267311,0.06816961889425657,0.06065485775630703,1157,0.24745034889962425,0.13150831991411702,0.6210413311862587
33,Worcester,596,Worcester Precinct 04-001,490,76,11,101,217,19,596,1.0,0.8221476510067114,0.12751677852348994,0.018456375838926176,0.031879194630872486,278,0.16946308724832215,0.3640939597315436,0.4664429530201342
34,Worcester,2209,Worcester Precinct 02-001,1098,1014,56,604,304,41,2209,1.0,0.49705749207786326,0.4590312358533273,0.025350837483023993,0.018560434585785424,1301,0.27342688999547304,0.13761883205070166,0.5889542779538253
35,Worcester,2685,Worcester Precinct 04-002,2330,275,30,440,961,50,2685,1.0,0.8677839851024208,0.10242085661080075,0.0111731843575419,0.0186219739292365,1284,0.16387337057728119,0.3579143389199255,0.4782122905027933
