,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,15,13,80,404,1,0.801980198019802,0.19801980198019803,376,0.03712871287128713,0.03217821782178218,0.9306930693069307
1,Somerset,726,Somerset Precinct 05-001,591,29,28,135,726,1,0.8140495867768595,0.1859504132231405,669,0.03994490358126722,0.03856749311294766,0.9214876033057852
2,Somerset,1165,Somerset Precinct 03-001,861,50,27,304,1165,1,0.7390557939914163,0.2609442060085837,1088,0.04291845493562232,0.02317596566523605,0.9339055793991416
3,Somerset,217,Somerset Precinct 13-003,159,7,5,58,217,1,0.7327188940092166,0.2672811059907834,205,0.03225806451612903,0.02304147465437788,0.9447004608294931
4,Somerset,3664,Somerset Precinct 13-002,1072,9,9,2592,3664,1,0.2925764192139738,0.7074235807860262,3646,0.0024563318777292577,0.0024563318777292577,0.9950873362445415
5,Somerset,151,Somerset Precinct 13-001,122,4,2,29,151,1,0.8079470198675497,0.19205298013245034,145,0.026490066225165563,0.013245033112582781,0.9602649006622517
6,Somerset,2355,Somerset Precinct 01-002,1257,56,74,1098,2355,1,0.5337579617834395,0.4662420382165605,2225,0.0237791932059448,0.031422505307855626,0.9447983014861996
7,Somerset,186,Somerset Precinct 01-003,56,7,12,130,186,1,0.3010752688172043,0.6989247311827957,167,0.03763440860215054,0.06451612903225806,0.8978494623655914
8,Somerset,1267,Somerset Precinct 15-002,234,25,46,1033,1267,1,0.18468823993685873,0.8153117600631413,1196,0.01973164956590371,0.036306235201262825,0.9439621152328335
9,Somerset,1039,Somerset Precinct 01-001,633,34,30,406,1039,1,0.6092396535129933,0.39076034648700675,975,0.032723772858517804,0.028873917228103944,0.9384023099133783
10,Somerset,3771,Somerset Precinct 15-001,692,16,25,3079,3771,1,0.18350570140546274,0.8164942985945373,3730,0.0042429063908777515,0.006629541235746487,0.9891275523733758
11,Worcester,2315,Worcester Precinct 01-001,1155,196,186,1160,2315,1,0.49892008639308855,0.5010799136069114,1933,0.08466522678185745,0.08034557235421166,0.8349892008639309
12,Somerset,919,Somerset Precinct 04-001,711,35,14,208,919,1,0.7736670293797606,0.22633297062023938,870,0.03808487486398259,0.015233949945593036,0.9466811751904244
13,Dorchester,70,Dorchester Precinct 18-001,65,3,2,5,70,1,0.9285714285714286,0.07142857142857142,65,0.04285714285714286,0.02857142857142857,0.9285714285714286
14,Dorchester,49,Dorchester Precinct 11-001,44,3,2,5,49,1,0.8979591836734694,0.10204081632653061,44,0.061224489795918366,0.04081632653061224,0.8979591836734694
15,Dorchester,145,Dorchester Precinct 13-002,79,9,14,66,145,1,0.5448275862068965,0.45517241379310347,122,0.06206896551724138,0.09655172413793103,0.8413793103448276
16,Dorchester,206,Dorchester Precinct 17-001,169,6,9,37,206,1,0.8203883495145631,0.1796116504854369,191,0.02912621359223301,0.043689320388349516,0.9271844660194175
17,Dorchester,63,Dorchester Precinct 14-002,39,4,4,24,63,1,0.6190476190476191,0.38095238095238093,55,0.06349206349206349,0.06349206349206349,0.873015873015873
18,Wicomico,1349,Wicomico Precinct 17-001,1025,97,62,324,1349,1,0.759822090437361,0.24017790956263899,1190,0.07190511489992588,0.04595997034840623,0.8821349147516679
19,Dorchester,308,Dorchester Precinct 03-001,274,30,3,34,308,1,0.8896103896103896,0.11038961038961038,275,0.09740259740259741,0.00974025974025974,0.8928571428571429
20,Cecil,4593,Cecil Precinct 05-003,4361,201,77,232,4593,1,0.9494883518397561,0.05051164816024385,4315,0.043762246897452645,0.01676464184628783,0.9394731112562595
21,Kent,1682,Kent Precinct 01-002,1494,108,49,188,1682,1,0.8882282996432818,0.1117717003567182,1525,0.06420927467300833,0.029131985731272295,0.9066587395957194
22,Cecil,2280,Cecil Precinct 02-001,2088,107,63,192,2280,1,0.9157894736842105,0.08421052631578947,2110,0.04692982456140351,0.02763157894736842,0.9254385964912281
23,Cecil,2076,Cecil Precinct 02-002,1934,71,48,142,2076,1,0.9315992292870906,0.06840077071290944,1957,0.03420038535645472,0.023121387283236993,0.9426782273603083
24,Cecil,4897,Cecil Precinct 05-002,4539,110,52,358,4897,1,0.9268940167449459,0.07310598325505412,4735,0.022462732285072493,0.010618746171125178,0.9669185215438023
25,Cecil,3665,Cecil Precinct 09-001,3546,86,25,119,3665,1,0.9675306957708049,0.03246930422919509,3554,0.023465211459754432,0.0068212824010914054,0.9697135061391542
26,Cecil,2554,Cecil Precinct 05-004,2220,89,48,334,2554,1,0.8692247454972593,0.1307752545027408,2417,0.03484729835552075,0.018794048551292093,0.9463586530931871
27,Cecil,4984,Cecil Precinct 05-001,4641,108,56,343,4984,1,0.9311797752808989,0.06882022471910113,4820,0.021669341894060994,0.011235955056179775,0.9670947030497592
28,Cecil,7016,Cecil Precinct 03-002,6111,49,24,905,7016,1,0.8710091220068416,0.1289908779931585,6943,0.006984036488027366,0.0034207525655644243,0.9895952109464082
29,Cecil,6045,Cecil Precinct 03-003,4995,106,106,1050,6045,1,0.826302729528536,0.17369727047146402,5833,0.01753515301902399,0.01753515301902399,0.964929693961952
30,Cecil,4668,Cecil Precinct 04-001,4445,192,145,223,4668,1,0.9522279348757497,0.04777206512425022,4331,0.04113110539845758,0.03106255355612682,0.9278063410454156
31,Cecil,6876,Cecil Precinct 03-001,5322,162,149,1554,6876,1,0.7739965095986039,0.22600349040139617,6565,0.02356020942408377,0.0216695753344968,0.9547702152414195
32,Cecil,1863,Cecil Precinct 04-002,1152,66,80,711,1863,1,0.6183574879227053,0.38164251207729466,1717,0.03542673107890499,0.04294149221685454,0.9216317767042405
