,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,22,11,31,37,26,49,1719,1,0.9522978475858057,0.012798138452588714,0.006399069226294357,0.028504944735311226,1625,0.018033740546829553,0.02152414194299011,0.015125072716695753,0.9453170447934846
219,Allegany,3235,Allegany Precinct 06-006,1942,1234,25,24,27,17,34,3235,1,0.6003091190108192,0.3814528593508501,0.0077279752704791345,0.010510046367851623,3167,0.0074188562596599695,0.008346213292117466,0.005255023183925811,0.9789799072642967
220,Allegany,1207,Allegany Precinct 06-005,1034,57,22,40,18,37,94,1207,1,0.8566694283347142,0.04722452361226181,0.018227009113504555,0.07787903893951947,1112,0.033140016570008285,0.014913007456503728,0.030654515327257662,0.9212924606462303
221,Allegany,800,Allegany Precinct 06-003,740,38,6,17,11,13,16,800,1,0.925,0.0475,0.0075,0.02,759,0.02125,0.01375,0.01625,0.94875
222,Allegany,1902,Allegany Precinct 29-001,1833,19,15,41,48,38,35,1902,1,0.9637223974763407,0.009989484752891693,0.007886435331230283,0.01840168243953733,1775,0.021556256572029444,0.025236593059936908,0.019978969505783387,0.9332281808622502
223,Allegany,1522,Allegany Precinct 06-001,1409,71,15,43,28,56,27,1522,1,0.9257555847568988,0.04664914586070959,0.00985545335085414,0.017739816031537452,1395,0.028252299605781867,0.018396846254927726,0.03679369250985545,0.9165571616294349
224,Allegany,1679,Allegany Precinct 20-000,1648,4,11,10,15,6,16,1679,1,0.9815366289458011,0.0023823704586063135,0.006551518761167362,0.009529481834425254,1648,0.005955926146515783,0.008933889219773675,0.00357355568790947,0.9815366289458011
225,Allegany,928,Allegany Precinct 04-005,911,9,1,10,7,5,7,928,1,0.9816810344827587,0.009698275862068966,0.0010775862068965517,0.007543103448275862,906,0.010775862068965518,0.007543103448275862,0.005387931034482759,0.9762931034482759
226,Allegany,1457,Allegany Precinct 04-003,1352,61,12,20,24,11,32,1457,1,0.9279341111873713,0.041866849691146193,0.008236101578586136,0.02196293754289636,1402,0.013726835964310227,0.016472203157172273,0.0075497597803706245,0.9622512010981469
227,Allegany,1118,Allegany Precinct 04-002,951,120,10,6,5,9,37,1118,1,0.8506261180679785,0.1073345259391771,0.008944543828264758,0.03309481216457961,1098,0.005366726296958855,0.004472271914132379,0.008050089445438283,0.9821109123434705
