,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,258,634,82,1719,1,0.9522978475858057,0.0477021524141943,827,0.15008726003490402,0.36881908086096565,0.4810936591041303
219,Allegany,3235,Allegany Precinct 06-006,1942,136,585,1293,3235,1,0.6003091190108192,0.3996908809891808,2514,0.04204018547140649,0.18083462132921174,0.7771251931993818
220,Allegany,1207,Allegany Precinct 06-005,1034,167,308,173,1207,1,0.8566694283347142,0.14333057166528584,732,0.1383595691797846,0.2551781275890638,0.6064623032311516
221,Allegany,800,Allegany Precinct 06-003,740,94,156,60,800,1,0.925,0.075,550,0.1175,0.195,0.6875
222,Allegany,1902,Allegany Precinct 29-001,1833,217,770,69,1902,1,0.9637223974763407,0.03627760252365931,915,0.11409043112513144,0.4048370136698212,0.4810725552050473
223,Allegany,1522,Allegany Precinct 06-001,1409,233,282,113,1522,1,0.9257555847568988,0.07424441524310119,1007,0.1530880420499343,0.18528252299605782,0.6616294349540078
224,Allegany,1679,Allegany Precinct 20-000,1648,111,673,31,1679,1,0.9815366289458011,0.01846337105419893,895,0.06611078022632519,0.40083382966051223,0.5330553901131626
225,Allegany,928,Allegany Precinct 04-005,911,105,257,17,928,1,0.9816810344827587,0.018318965517241378,566,0.11314655172413793,0.2769396551724138,0.6099137931034483
226,Allegany,1457,Allegany Precinct 04-003,1352,143,305,105,1457,1,0.9279341111873713,0.0720658888126287,1009,0.09814687714481812,0.20933424845573095,0.6925188743994509
227,Allegany,1118,Allegany Precinct 04-002,951,86,166,167,1118,1,0.8506261180679785,0.14937388193202147,866,0.07692307692307693,0.148479427549195,0.774597495527728
228,Allegany,1603,Allegany Precinct 04-008,1511,151,409,92,1603,1,0.9426076107298814,0.05739238927011853,1043,0.0941983780411728,0.2551466001247661,0.6506550218340611
229,Allegany,1425,Allegany Precinct 04-004,1355,169,465,70,1425,1,0.9508771929824561,0.04912280701754386,791,0.11859649122807017,0.3263157894736842,0.5550877192982456
230,Allegany,856,Allegany Precinct 14-000,766,105,93,90,856,1,0.8948598130841121,0.10514018691588785,658,0.12266355140186916,0.10864485981308411,0.7686915887850467
231,Allegany,1491,Allegany Precinct 05-004,1387,147,341,104,1491,1,0.9302481556002683,0.06975184439973173,1003,0.09859154929577464,0.22870556673373574,0.6727028839704896
232,Allegany,2358,Allegany Precinct 23-000,2120,231,619,238,2358,1,0.899067005937235,0.10093299406276506,1508,0.09796437659033079,0.2625106022052587,0.6395250212044106
233,Allegany,624,Allegany Precinct 05-006,619,46,232,5,624,1,0.9919871794871795,0.008012820512820512,346,0.07371794871794872,0.3717948717948718,0.5544871794871795
234,Allegany,2552,Allegany Precinct 22-001,2173,192,491,379,2552,1,0.8514890282131662,0.14851097178683387,1869,0.07523510971786834,0.19239811912225704,0.7323667711598746
235,Allegany,3185,Allegany Precinct 16-000,1973,141,691,1212,3185,1,0.6194662480376766,0.38053375196232336,2353,0.04427001569858713,0.21695447409733123,0.7387755102040816
236,Allegany,1346,Allegany Precinct 34-000,1324,151,606,22,1346,1,0.9836552748885586,0.01634472511144131,589,0.11218424962852898,0.45022288261515603,0.437592867756315
237,Allegany,956,Allegany Precinct 21-000,934,83,407,22,956,1,0.9769874476987448,0.02301255230125523,466,0.08682008368200837,0.42573221757322177,0.4874476987447699
238,Allegany,944,Allegany Precinct 02-000,924,53,380,20,944,1,0.9788135593220338,0.0211864406779661,511,0.05614406779661017,0.4025423728813559,0.5413135593220338
239,Allegany,852,Allegany Precinct 03-000,839,55,370,13,852,1,0.9847417840375586,0.015258215962441314,427,0.06455399061032864,0.43427230046948356,0.5011737089201878
240,Allegany,746,Allegany Precinct 01-000,734,43,350,12,746,1,0.9839142091152815,0.0160857908847185,353,0.057640750670241284,0.4691689008042895,0.47319034852546915
265,Allegany,2806,Allegany Precinct 08-000,2755,199,1063,51,2806,1,0.9818246614397719,0.018175338560228082,1544,0.07091945830363507,0.3788310762651461,0.5502494654312188
266,Allegany,1114,Allegany Precinct 09-000,1103,59,449,11,1114,1,0.9901256732495511,0.009874326750448833,606,0.05296229802513465,0.4030520646319569,0.5439856373429084
267,Allegany,1650,Allegany Precinct 10-000,1628,91,674,22,1650,1,0.9866666666666667,0.013333333333333334,885,0.05515151515151515,0.4084848484848485,0.5363636363636364
268,Allegany,1273,Allegany Precinct 31-000,1251,83,497,22,1273,1,0.9827179890023566,0.01728201099764336,693,0.06520031421838178,0.3904163393558523,0.5443833464257659
273,Allegany,1685,Allegany Precinct 18-000,1660,94,769,25,1685,1,0.9851632047477745,0.01483679525222552,822,0.055786350148367955,0.456379821958457,0.4878338278931751
274,Allegany,4960,Allegany Precinct 26-000,3677,382,540,1283,4960,1,0.7413306451612903,0.2586693548387097,4038,0.07701612903225806,0.10887096774193548,0.8141129032258064
