,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,22,11,289,493,49,1719,1,0.9522978475858057,0.012798138452588714,0.006399069226294357,0.028504944735311226,937,0.16812100058173357,0.28679464805119254,0.5450843513670739
219,Allegany,3235,Allegany Precinct 06-006,1942,1234,25,245,380,34,3235,1,0.6003091190108192,0.3814528593508501,0.0077279752704791345,0.010510046367851623,2610,0.07573415765069552,0.11746522411128284,0.8068006182380216
220,Allegany,1207,Allegany Precinct 06-005,1034,57,22,223,252,94,1207,1,0.8566694283347142,0.04722452361226181,0.018227009113504555,0.07787903893951947,732,0.18475559237779618,0.2087821043910522,0.6064623032311516
221,Allegany,800,Allegany Precinct 06-003,740,38,6,151,117,16,800,1,0.925,0.0475,0.0075,0.02,532,0.18875,0.14625,0.665
222,Allegany,1902,Allegany Precinct 29-001,1833,19,15,302,565,35,1902,1,0.9637223974763407,0.009989484752891693,0.007886435331230283,0.01840168243953733,1035,0.1587802313354364,0.297055730809674,0.5441640378548895
223,Allegany,1522,Allegany Precinct 06-001,1409,71,15,279,253,27,1522,1,0.9257555847568988,0.04664914586070959,0.00985545335085414,0.017739816031537452,990,0.18331143232588698,0.1662286465177398,0.6504599211563732
224,Allegany,1679,Allegany Precinct 20-000,1648,4,11,167,450,16,1679,1,0.9815366289458011,0.0023823704586063135,0.006551518761167362,0.009529481834425254,1062,0.09946396664681358,0.26801667659321027,0.6325193567599762
225,Allegany,928,Allegany Precinct 04-005,911,9,1,148,161,7,928,1,0.9816810344827587,0.009698275862068966,0.0010775862068965517,0.007543103448275862,619,0.15948275862068967,0.17349137931034483,0.6670258620689655
226,Allegany,1457,Allegany Precinct 04-003,1352,61,12,231,205,32,1457,1,0.9279341111873713,0.041866849691146193,0.008236101578586136,0.02196293754289636,1021,0.15854495538778313,0.14070006863417983,0.700754975978037
227,Allegany,1118,Allegany Precinct 04-002,951,120,10,154,117,37,1118,1,0.8506261180679785,0.1073345259391771,0.008944543828264758,0.03309481216457961,847,0.13774597495527727,0.10465116279069768,0.7576028622540251
228,Allegany,1603,Allegany Precinct 04-008,1511,65,6,263,276,21,1603,1,0.9426076107298814,0.040548970679975045,0.0037429819089207735,0.013100436681222707,1064,0.16406737367436058,0.17217716781035558,0.6637554585152838
229,Allegany,1425,Allegany Precinct 04-004,1355,36,10,270,305,24,1425,1,0.9508771929824561,0.02526315789473684,0.007017543859649123,0.016842105263157894,850,0.18947368421052632,0.21403508771929824,0.5964912280701754
230,Allegany,856,Allegany Precinct 14-000,766,52,19,127,85,19,856,1,0.8948598130841121,0.06074766355140187,0.02219626168224299,0.02219626168224299,644,0.1483644859813084,0.09929906542056074,0.7523364485981309
231,Allegany,1491,Allegany Precinct 05-004,1387,66,10,224,208,28,1491,1,0.9302481556002683,0.04426559356136821,0.00670690811535882,0.018779342723004695,1059,0.15023474178403756,0.13950368879946345,0.710261569416499
232,Allegany,2358,Allegany Precinct 23-000,2120,171,17,332,429,50,2358,1,0.899067005937235,0.07251908396946564,0.00720949957591179,0.021204410517387615,1597,0.14079728583545378,0.18193384223918574,0.6772688719253604
233,Allegany,624,Allegany Precinct 05-006,619,3,0,99,150,2,624,1,0.9919871794871795,0.004807692307692308,0.0,0.003205128205128205,375,0.15865384615384615,0.2403846153846154,0.6009615384615384
234,Allegany,2552,Allegany Precinct 22-001,2173,297,35,314,360,47,2552,1,0.8514890282131662,0.11637931034482758,0.01371473354231975,0.01841692789968652,1878,0.12304075235109718,0.14106583072100312,0.7358934169278997
235,Allegany,3185,Allegany Precinct 16-000,1973,833,346,200,473,33,3185,1,0.6194662480376766,0.26153846153846155,0.10863422291993721,0.010361067503924647,2512,0.06279434850863422,0.14850863422291993,0.7886970172684459
236,Allegany,1346,Allegany Precinct 34-000,1324,4,6,230,434,12,1346,1,0.9836552748885586,0.0029717682020802376,0.004457652303120356,0.008915304606240713,682,0.17087667161961367,0.3224368499257058,0.5066864784546805
237,Allegany,956,Allegany Precinct 21-000,934,3,4,120,291,15,956,1,0.9769874476987448,0.0031380753138075313,0.0041841004184100415,0.015690376569037656,545,0.12552301255230125,0.3043933054393305,0.5700836820083682
238,Allegany,944,Allegany Precinct 02-000,924,4,8,108,242,8,944,1,0.9788135593220338,0.00423728813559322,0.00847457627118644,0.00847457627118644,594,0.11440677966101695,0.2563559322033898,0.6292372881355932
239,Allegany,852,Allegany Precinct 03-000,839,2,3,78,242,8,852,1,0.9847417840375586,0.002347417840375587,0.0035211267605633804,0.009389671361502348,532,0.09154929577464789,0.284037558685446,0.6244131455399061
240,Allegany,746,Allegany Precinct 01-000,734,4,3,63,258,5,746,1,0.9839142091152815,0.005361930294906166,0.004021447721179625,0.006702412868632708,425,0.08445040214477212,0.34584450402144773,0.5697050938337802
265,Allegany,2806,Allegany Precinct 08-000,2755,17,13,284,692,21,2806,1,0.9818246614397719,0.0060584461867426945,0.004632929436920884,0.007483962936564505,1830,0.10121168923734854,0.2466143977191732,0.6521739130434783
266,Allegany,1114,Allegany Precinct 09-000,1103,0,1,106,314,10,1114,1,0.9901256732495511,0.0,0.0008976660682226212,0.008976660682226212,694,0.09515260323159784,0.28186714542190305,0.6229802513464991
267,Allegany,1650,Allegany Precinct 10-000,1628,5,5,132,508,12,1650,1,0.9866666666666667,0.0030303030303030303,0.0030303030303030303,0.007272727272727273,1010,0.08,0.30787878787878786,0.6121212121212121
268,Allegany,1273,Allegany Precinct 31-000,1251,4,3,151,337,15,1273,1,0.9827179890023566,0.003142183817753339,0.002356637863315004,0.01178318931657502,785,0.11861743912018853,0.26472898664571876,0.6166535742340927
273,Allegany,1685,Allegany Precinct 18-000,1660,3,7,135,515,15,1685,1,0.9851632047477745,0.0017804154302670622,0.004154302670623145,0.008902077151335312,1035,0.08011869436201781,0.3056379821958457,0.6142433234421365
274,Allegany,4960,Allegany Precinct 26-000,3677,968,114,370,466,201,4960,1,0.7413306451612903,0.19516129032258064,0.022983870967741935,0.0405241935483871,4124,0.07459677419354839,0.0939516129032258,0.8314516129032258
275,Allegany,1016,Allegany Precinct 11-000,971,17,12,217,234,16,1016,1,0.9557086614173228,0.01673228346456693,0.011811023622047244,0.015748031496062992,565,0.21358267716535434,0.23031496062992127,0.5561023622047244
276,Allegany,2829,Allegany Precinct 12-000,2623,113,38,412,562,55,2829,1,0.9271827500883705,0.039943442912689996,0.01343230823612584,0.019441498762813716,1855,0.1456344998232591,0.19865676917638742,0.6557087310003534
277,Allegany,1572,Allegany Precinct 24-000,1544,8,7,186,415,13,1572,1,0.9821882951653944,0.005089058524173028,0.004452926208651399,0.00826972010178117,971,0.1183206106870229,0.2639949109414758,0.6176844783715013
278,Allegany,1653,Allegany Precinct 07-002,1584,18,15,255,573,36,1653,1,0.9582577132486388,0.010889292196007259,0.009074410163339383,0.021778584392014518,825,0.1542649727767695,0.3466424682395644,0.49909255898366606
279,Allegany,1346,Allegany Precinct 29-003,1304,12,7,236,333,23,1346,1,0.9687964338781575,0.008915304606240713,0.005200594353640416,0.017087667161961365,777,0.17533432392273401,0.2473997028231798,0.5772659732540861
280,Allegany,1884,Allegany Precinct 13-000,1845,10,8,250,457,21,1884,1,0.9792993630573248,0.005307855626326964,0.004246284501061571,0.011146496815286623,1177,0.1326963906581741,0.24256900212314225,0.6247346072186837
281,Allegany,3275,Allegany Precinct 07-001,2017,1213,19,284,443,26,3275,1,0.6158778625954199,0.370381679389313,0.005801526717557252,0.007938931297709924,2548,0.0867175572519084,0.13526717557251908,0.7780152671755726
