,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,22,11,124,46,49,1719,1,0.9522978475858057,0.012798138452588714,0.006399069226294357,0.028504944735311226,1549,0.07213496218731821,0.02675974403723095,0.9011052937754508
219,Allegany,3235,Allegany Precinct 06-006,1942,1234,25,62,38,34,3235,1,0.6003091190108192,0.3814528593508501,0.0077279752704791345,0.010510046367851623,3135,0.019165378670788255,0.011746522411128285,0.9690880989180835
220,Allegany,1207,Allegany Precinct 06-005,1034,57,22,87,45,94,1207,1,0.8566694283347142,0.04722452361226181,0.018227009113504555,0.07787903893951947,1075,0.07207953603976802,0.037282518641259324,0.8906379453189727
221,Allegany,800,Allegany Precinct 06-003,740,38,6,38,28,16,800,1,0.925,0.0475,0.0075,0.02,734,0.0475,0.035,0.9175
222,Allegany,1902,Allegany Precinct 29-001,1833,19,15,116,52,35,1902,1,0.9637223974763407,0.009989484752891693,0.007886435331230283,0.01840168243953733,1734,0.060988433228180865,0.027339642481598318,0.9116719242902208
223,Allegany,1522,Allegany Precinct 06-001,1409,71,15,104,56,27,1522,1,0.9257555847568988,0.04664914586070959,0.00985545335085414,0.017739816031537452,1362,0.0683311432325887,0.03679369250985545,0.8948751642575559
224,Allegany,1679,Allegany Precinct 20-000,1648,4,11,55,22,16,1679,1,0.9815366289458011,0.0023823704586063135,0.006551518761167362,0.009529481834425254,1602,0.03275759380583681,0.013103037522334724,0.9541393686718285
225,Allegany,928,Allegany Precinct 04-005,911,9,1,43,25,7,928,1,0.9816810344827587,0.009698275862068966,0.0010775862068965517,0.007543103448275862,860,0.04633620689655173,0.02693965517241379,0.9267241379310345
226,Allegany,1457,Allegany Precinct 04-003,1352,61,12,75,36,32,1457,1,0.9279341111873713,0.041866849691146193,0.008236101578586136,0.02196293754289636,1346,0.05147563486616335,0.024708304735758406,0.9238160603980783
227,Allegany,1118,Allegany Precinct 04-002,951,120,10,28,13,37,1118,1,0.8506261180679785,0.1073345259391771,0.008944543828264758,0.03309481216457961,1077,0.025044722719141325,0.011627906976744186,0.9633273703041145
228,Allegany,1603,Allegany Precinct 04-008,1511,65,6,77,50,21,1603,1,0.9426076107298814,0.040548970679975045,0.0037429819089207735,0.013100436681222707,1476,0.048034934497816595,0.031191515907673113,0.9207735495945103
229,Allegany,1425,Allegany Precinct 04-004,1355,36,10,101,46,24,1425,1,0.9508771929824561,0.02526315789473684,0.007017543859649123,0.016842105263157894,1278,0.07087719298245614,0.032280701754385965,0.8968421052631579
230,Allegany,856,Allegany Precinct 14-000,766,52,19,32,10,19,856,1,0.8948598130841121,0.06074766355140187,0.02219626168224299,0.02219626168224299,814,0.037383177570093455,0.011682242990654205,0.9509345794392523
231,Allegany,1491,Allegany Precinct 05-004,1387,66,10,77,34,28,1491,1,0.9302481556002683,0.04426559356136821,0.00670690811535882,0.018779342723004695,1380,0.051643192488262914,0.022803487592219986,0.9255533199195171
232,Allegany,2358,Allegany Precinct 23-000,2120,171,17,128,70,50,2358,1,0.899067005937235,0.07251908396946564,0.00720949957591179,0.021204410517387615,2160,0.0542832909245123,0.029686174724342665,0.916030534351145
233,Allegany,624,Allegany Precinct 05-006,619,3,0,27,16,2,624,1,0.9919871794871795,0.004807692307692308,0.0,0.003205128205128205,581,0.04326923076923077,0.02564102564102564,0.9310897435897436
234,Allegany,2552,Allegany Precinct 22-001,2173,297,35,80,41,47,2552,1,0.8514890282131662,0.11637931034482758,0.01371473354231975,0.01841692789968652,2431,0.03134796238244514,0.016065830721003135,0.9525862068965517
235,Allegany,3185,Allegany Precinct 16-000,1973,833,346,62,35,33,3185,1,0.6194662480376766,0.26153846153846155,0.10863422291993721,0.010361067503924647,3088,0.01946624803767661,0.01098901098901099,0.9695447409733124
236,Allegany,1346,Allegany Precinct 34-000,1324,4,6,97,39,12,1346,1,0.9836552748885586,0.0029717682020802376,0.004457652303120356,0.008915304606240713,1210,0.07206537890044576,0.02897473997028232,0.8989598811292719
237,Allegany,956,Allegany Precinct 21-000,934,3,4,51,20,15,956,1,0.9769874476987448,0.0031380753138075313,0.0041841004184100415,0.015690376569037656,885,0.053347280334728034,0.02092050209205021,0.9257322175732218
238,Allegany,944,Allegany Precinct 02-000,924,4,8,24,14,8,944,1,0.9788135593220338,0.00423728813559322,0.00847457627118644,0.00847457627118644,906,0.025423728813559324,0.014830508474576272,0.9597457627118644
239,Allegany,852,Allegany Precinct 03-000,839,2,3,21,12,8,852,1,0.9847417840375586,0.002347417840375587,0.0035211267605633804,0.009389671361502348,819,0.02464788732394366,0.014084507042253521,0.9612676056338029
240,Allegany,746,Allegany Precinct 01-000,734,4,3,29,12,5,746,1,0.9839142091152815,0.005361930294906166,0.004021447721179625,0.006702412868632708,705,0.0388739946380697,0.0160857908847185,0.9450402144772118
265,Allegany,2806,Allegany Precinct 08-000,2755,17,13,89,54,21,2806,1,0.9818246614397719,0.0060584461867426945,0.004632929436920884,0.007483962936564505,2663,0.03171774768353528,0.01924447612259444,0.9490377761938703
266,Allegany,1114,Allegany Precinct 09-000,1103,0,1,16,21,10,1114,1,0.9901256732495511,0.0,0.0008976660682226212,0.008976660682226212,1077,0.01436265709156194,0.018850987432675045,0.966786355475763
