,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,448,442,323,2236,1,0.8555456171735242,0.14445438282647585,1346,0.2003577817531306,0.19767441860465115,0.6019677996422182
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,434,287,338,1839,1,0.8162044589450789,0.18379554105492116,1118,0.2359978249048396,0.15606307775965197,0.6079390973355084
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,497,484,197,2418,1,0.9185277088502894,0.08147229114971051,1437,0.2055417700578991,0.2001654259718776,0.5942928039702233
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,226,246,272,2785,1,0.9023339317773789,0.09766606822262118,2313,0.08114901256732496,0.08833034111310592,0.8305206463195691
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,486,521,200,2923,1,0.9315771467670202,0.06842285323297982,1916,0.16626753335614095,0.17824153267191242,0.6554909339719466
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,387,326,735,3247,1,0.7736372035725285,0.2263627964274715,2534,0.11918694179242377,0.10040036957191253,0.7804126886356637
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,455,501,335,2407,1,0.8608226007478189,0.13917739925218114,1451,0.18903199002908183,0.20814291649356045,0.6028250934773577
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,610,603,242,2960,1,0.9182432432432432,0.08175675675675675,1747,0.20608108108108109,0.20371621621621622,0.5902027027027027
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,435,534,114,2234,1,0.9489704565801254,0.051029543419874666,1265,0.19471799462846912,0.23903312444046554,0.5662488809310654
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,401,508,247,2342,1,0.894534585824082,0.10546541417591802,1433,0.17122117847993168,0.21690862510674638,0.611870196413322
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,399,381,282,2290,1,0.8768558951965065,0.12314410480349346,1510,0.17423580786026202,0.1663755458515284,0.6593886462882096
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,427,399,232,2081,1,0.8885151369533878,0.1114848630466122,1255,0.2051898125901009,0.1917347429120615,0.6030754444978376
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,467,521,433,3428,1,0.8736872812135356,0.1263127187864644,2440,0.13623103850641774,0.15198366394399065,0.7117852975495916
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,500,387,428,2683,1,0.8404770778978755,0.1595229221021245,1796,0.18635855385762207,0.14424152068579948,0.6693999254565784
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,467,390,303,2353,1,0.8712282192945177,0.12877178070548237,1496,0.19847003824904377,0.16574585635359115,0.6357841053973651
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,333,419,90,1767,1,0.9490662139219015,0.050933786078098474,1015,0.18845500848896435,0.23712507074136954,0.5744199207696661
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,473,450,270,2826,1,0.9044585987261147,0.09554140127388536,1903,0.16737438075017694,0.1592356687898089,0.6733899504600142
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,399,496,108,2071,1,0.9478512795750845,0.0521487204249155,1176,0.1926605504587156,0.23949782713664897,0.5678416224046354
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,321,300,92,1896,1,0.9514767932489452,0.04852320675105485,1275,0.16930379746835442,0.15822784810126583,0.6724683544303798
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,278,276,75,1673,1,0.9551703526598924,0.04482964734010759,1119,0.1661685594739988,0.16497310221159595,0.6688583383144052
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,448,527,113,2247,1,0.94971072541166,0.05028927458834001,1272,0.19937694704049844,0.2345349354695149,0.5660881174899867
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,552,549,97,2451,1,0.9604243166054671,0.039575683394532844,1350,0.2252141982864137,0.22399020807833536,0.5507955936352509
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,315,402,54,1573,1,0.9656706929434202,0.034329307056579786,856,0.20025429116338206,0.2555626191989828,0.5441830896376351
610,Anne Arundel,2235,Anne Arundel Precinct 03-012,2128,422,546,107,2235,1,0.9521252796420582,0.04787472035794183,1267,0.18881431767337808,0.2442953020134228,0.5668903803131992
616,Anne Arundel,1837,Anne Arundel Precinct 05-014,1658,371,271,179,1837,1,0.9025585193249864,0.09744148067501361,1195,0.20195971692977682,0.14752313554708765,0.6505171475231355
617,Anne Arundel,1098,Anne Arundel Precinct 05-034,1013,291,201,85,1098,1,0.9225865209471766,0.07741347905282331,606,0.2650273224043716,0.1830601092896175,0.5519125683060109
618,Anne Arundel,1456,Anne Arundel Precinct 05-016,1317,288,212,139,1456,1,0.904532967032967,0.09546703296703296,956,0.1978021978021978,0.14560439560439561,0.6565934065934066
619,Anne Arundel,1144,Anne Arundel Precinct 05-009,1105,328,206,39,1144,1,0.9659090909090909,0.03409090909090909,610,0.2867132867132867,0.18006993006993008,0.5332167832167832
620,Anne Arundel,1735,Anne Arundel Precinct 03-023,1629,371,363,106,1735,1,0.9389048991354467,0.06109510086455332,1001,0.2138328530259366,0.20922190201729107,0.5769452449567724
621,Anne Arundel,999,Anne Arundel Precinct 05-010,929,197,167,70,999,1,0.92992992992993,0.07007007007007007,635,0.1971971971971972,0.16716716716716717,0.6356356356356356
622,Anne Arundel,1854,Anne Arundel Precinct 03-022,1472,380,307,382,1854,1,0.7939590075512406,0.20604099244875945,1167,0.20496224379719524,0.16558791801510248,0.6294498381877023
623,Anne Arundel,2079,Anne Arundel Precinct 03-017,1958,342,489,121,2079,1,0.9417989417989417,0.0582010582010582,1248,0.1645021645021645,0.2352092352092352,0.6002886002886003
624,Anne Arundel,1898,Anne Arundel Precinct 05-011,1645,467,335,253,1898,1,0.8667017913593256,0.1332982086406744,1096,0.24604847207586933,0.17650158061116966,0.5774499473129611
625,Anne Arundel,2039,Anne Arundel Precinct 05-004,1832,552,362,207,2039,1,0.8984796468857283,0.1015203531142717,1125,0.2707209416380579,0.17753800882785678,0.5517410495340853
626,Anne Arundel,1847,Anne Arundel Precinct 05-005,1625,442,291,222,1847,1,0.8798050893340552,0.12019491066594477,1114,0.23930698429886302,0.15755278830536004,0.6031402273957769
627,Anne Arundel,1366,Anne Arundel Precinct 05-023,1291,330,193,75,1366,1,0.945095168374817,0.05490483162518302,843,0.24158125915080528,0.14128843338213762,0.6171303074670571
628,Anne Arundel,1716,Anne Arundel Precinct 05-003,1503,480,373,213,1716,1,0.8758741258741258,0.12412587412587413,863,0.27972027972027974,0.21736596736596736,0.502913752913753
629,Anne Arundel,2381,Anne Arundel Precinct 05-026,1899,822,465,482,2381,1,0.7975640487190256,0.20243595128097439,1094,0.34523309533809327,0.19529609407811843,0.4594708105837883
630,Anne Arundel,2632,Anne Arundel Precinct 05-021,2196,724,488,436,2632,1,0.8343465045592705,0.1656534954407295,1420,0.2750759878419453,0.18541033434650456,0.5395136778115501
631,Anne Arundel,1760,Anne Arundel Precinct 06-030,1534,456,265,226,1760,1,0.8715909090909091,0.12840909090909092,1039,0.2590909090909091,0.15056818181818182,0.5903409090909091
632,Anne Arundel,1526,Anne Arundel Precinct 06-025,1416,429,275,110,1526,1,0.927916120576671,0.07208387942332896,822,0.281127129750983,0.18020969855832242,0.5386631716906947
633,Anne Arundel,1818,Anne Arundel Precinct 05-020,1541,419,303,277,1818,1,0.8476347634763476,0.15236523652365236,1096,0.23047304730473048,0.16666666666666666,0.6028602860286029
634,Anne Arundel,1940,Anne Arundel Precinct 05-028,1748,251,142,192,1940,1,0.9010309278350516,0.09896907216494845,1547,0.12938144329896908,0.0731958762886598,0.7974226804123712
635,Anne Arundel,1531,Anne Arundel Precinct 05-027,1364,464,321,167,1531,1,0.8909209666884389,0.10907903331156107,746,0.3030698889614631,0.20966688438928804,0.48726322664924887
636,Anne Arundel,1702,Anne Arundel Precinct 05-013,1627,485,388,75,1702,1,0.9559341950646298,0.04406580493537015,829,0.28495887191539365,0.22796709753231492,0.4870740305522914
637,Anne Arundel,2718,Anne Arundel Precinct 05-018,2265,558,347,453,2718,1,0.8333333333333334,0.16666666666666666,1813,0.2052980132450331,0.12766740250183958,0.6670345842531273
638,Anne Arundel,2136,Anne Arundel Precinct 05-022,1936,630,405,200,2136,1,0.9063670411985019,0.09363295880149813,1101,0.2949438202247191,0.1896067415730337,0.5154494382022472
639,Anne Arundel,2178,Anne Arundel Precinct 05-001,1856,605,508,322,2178,1,0.852157943067034,0.14784205693296604,1065,0.2777777777777778,0.23324150596877868,0.4889807162534435
640,Anne Arundel,2073,Anne Arundel Precinct 05-017,1891,636,457,182,2073,1,0.9122045344910757,0.08779546550892427,980,0.3068017366136035,0.22045344910757356,0.472744814278823
641,Anne Arundel,2525,Anne Arundel Precinct 05-002,2062,647,401,463,2525,1,0.8166336633663366,0.18336633663366336,1477,0.25623762376237624,0.15881188118811881,0.5849504950495049
654,Anne Arundel,1620,Anne Arundel Precinct 07-026,1426,334,278,194,1620,1,0.8802469135802469,0.11975308641975309,1008,0.20617283950617285,0.17160493827160495,0.6222222222222222
655,Anne Arundel,2128,Anne Arundel Precinct 04-010,1684,109,77,444,2128,1,0.7913533834586466,0.20864661654135339,1942,0.051221804511278196,0.03618421052631579,0.9125939849624061
656,Anne Arundel,2733,Anne Arundel Precinct 04-016,2032,500,265,701,2733,1,0.743505305525064,0.25649469447493595,1968,0.18294914013904134,0.09696304427369191,0.7200878155872668
657,Anne Arundel,1530,Anne Arundel Precinct 07-014,1357,341,233,173,1530,1,0.8869281045751634,0.1130718954248366,956,0.22287581699346407,0.1522875816993464,0.6248366013071895
658,Anne Arundel,2243,Anne Arundel Precinct 07-016,1754,467,231,489,2243,1,0.7819884083816317,0.21801159161836825,1545,0.20820329915292018,0.10298707088720464,0.6888096299598752
659,Anne Arundel,1864,Anne Arundel Precinct 07-015,1650,343,272,214,1864,1,0.8851931330472103,0.1148068669527897,1249,0.18401287553648069,0.1459227467811159,0.6700643776824035
660,Anne Arundel,2124,Anne Arundel Precinct 07-018,1735,389,257,389,2124,1,0.8168549905838042,0.18314500941619585,1478,0.18314500941619585,0.12099811676082863,0.6958568738229756
661,Anne Arundel,3122,Anne Arundel Precinct 04-023,2305,671,415,817,3122,1,0.7383087764253684,0.26169122357463165,2036,0.21492632927610505,0.13292761050608584,0.6521460602178091
662,Anne Arundel,2399,Anne Arundel Precinct 04-022,1498,433,196,901,2399,1,0.6244268445185494,0.3755731554814506,1770,0.18049187161317215,0.08170070862859524,0.7378074197582326
663,Anne Arundel,1929,Anne Arundel Precinct 04-008,1617,406,347,312,1929,1,0.838258164852255,0.16174183514774496,1176,0.21047174701918092,0.17988595127008813,0.609642301710731
664,Anne Arundel,2249,Anne Arundel Precinct 07-008,1808,433,381,441,2249,1,0.8039128501556247,0.19608714984437528,1435,0.1925300133392619,0.1694086260560249,0.6380613606047132
665,Anne Arundel,2263,Anne Arundel Precinct 07-007,2076,422,432,187,2263,1,0.9173663278833407,0.0826336721166593,1409,0.1864781263809103,0.19089703932832522,0.6226248342907644
666,Anne Arundel,1835,Anne Arundel Precinct 07-004,1530,335,296,305,1835,1,0.8337874659400545,0.16621253405994552,1204,0.18256130790190736,0.16130790190735694,0.6561307901907357
667,Anne Arundel,2323,Anne Arundel Precinct 07-011,1990,126,173,333,2323,1,0.8566508824795523,0.14334911752044768,2024,0.054240206629358585,0.07447266465777012,0.8712871287128713
668,Anne Arundel,1203,Anne Arundel Precinct 07-027,977,463,416,226,1203,1,0.8121363258520365,0.18786367414796343,324,0.3848711554447215,0.3458021612635079,0.26932668329177056
669,Anne Arundel,2006,Anne Arundel Precinct 07-013,1841,412,428,165,2006,1,0.9177467597208375,0.08225324027916252,1166,0.2053838484546361,0.21335992023928216,0.5812562313060817
670,Anne Arundel,2140,Anne Arundel Precinct 07-022,1966,374,427,174,2140,1,0.9186915887850468,0.08130841121495327,1339,0.17476635514018693,0.19953271028037384,0.6257009345794392
671,Anne Arundel,2009,Anne Arundel Precinct 07-017,1700,263,159,309,2009,1,0.8461921353907417,0.15380786460925833,1587,0.13091090094574415,0.07914385266301642,0.7899452463912394
672,Anne Arundel,1853,Anne Arundel Precinct 07-020,1435,355,194,418,1853,1,0.7744198596869941,0.22558014031300594,1304,0.19158121964382083,0.10469508904479223,0.7037236913113869
673,Anne Arundel,2151,Anne Arundel Precinct 07-024,1764,432,320,387,2151,1,0.8200836820083682,0.1799163179916318,1399,0.200836820083682,0.1487680148768015,0.6503951650395166
674,Anne Arundel,2719,Anne Arundel Precinct 04-021,1999,633,384,720,2719,1,0.7351967635159985,0.26480323648400145,1702,0.23280617874218462,0.14122839279146746,0.625965428466348
675,Anne Arundel,1631,Anne Arundel Precinct 06-028,1259,321,284,372,1631,1,0.7719190680564071,0.22808093194359289,1026,0.19681177191906807,0.1741263028816677,0.6290619251992643
676,Anne Arundel,2014,Anne Arundel Precinct 04-004,1753,467,448,261,2014,1,0.8704071499503475,0.12959285004965243,1099,0.23187686196623636,0.2224428997020854,0.5456802383316782
677,Anne Arundel,1699,Anne Arundel Precinct 07-023,1518,428,453,181,1699,1,0.8934667451442024,0.10653325485579752,818,0.251912889935256,0.266627427898764,0.48145968216598
678,Anne Arundel,2203,Anne Arundel Precinct 07-012,2057,317,242,146,2203,1,0.9337267362687245,0.06627326373127554,1644,0.14389468906037223,0.10985020426690877,0.746255106672719
679,Anne Arundel,1374,Anne Arundel Precinct 06-020,1317,283,209,57,1374,1,0.9585152838427947,0.04148471615720524,882,0.2059679767103348,0.15211062590975255,0.6419213973799127
680,Anne Arundel,2873,Anne Arundel Precinct 07-005,2447,531,442,426,2873,1,0.8517229376957883,0.14827706230421162,1900,0.18482422554820746,0.15384615384615385,0.6613296206056387
681,Anne Arundel,2103,Anne Arundel Precinct 06-019,1955,442,363,148,2103,1,0.9296243461721351,0.07037565382786495,1298,0.21017593913456967,0.17261055634807418,0.6172135045173561
682,Anne Arundel,1864,Anne Arundel Precinct 06-026,1752,574,410,112,1864,1,0.9399141630901288,0.060085836909871244,880,0.30793991416309013,0.21995708154506438,0.4721030042918455
683,Anne Arundel,1098,Anne Arundel Precinct 06-027,991,254,225,107,1098,1,0.9025500910746812,0.09744990892531877,619,0.23132969034608378,0.20491803278688525,0.563752276867031
684,Anne Arundel,2583,Anne Arundel Precinct 04-015,2338,673,535,245,2583,1,0.9051490514905149,0.0948509485094851,1375,0.2605497483546264,0.20712349980642664,0.532326751838947
685,Anne Arundel,3191,Anne Arundel Precinct 06-021,2803,629,428,388,3191,1,0.8784080225634597,0.12159197743654027,2134,0.19711689125665935,0.13412723284236916,0.6687558759009715
686,Anne Arundel,1255,Anne Arundel Precinct 06-031,1182,344,276,73,1255,1,0.9418326693227091,0.05816733067729084,635,0.27410358565737053,0.2199203187250996,0.5059760956175299
687,Anne Arundel,3699,Anne Arundel Precinct 04-006,1002,1067,145,2697,3699,1,0.2708840227088402,0.7291159772911597,2487,0.28845633955123007,0.03919978372533117,0.6723438767234388
692,Anne Arundel,5212,Anne Arundel Precinct 01-023,1471,359,128,3741,5212,1,0.28223330775134303,0.717766692248657,4725,0.06887950882578664,0.024558710667689946,0.9065617805065234
693,Anne Arundel,5070,Anne Arundel Precinct 01-022,3022,1392,706,2048,5070,1,0.5960552268244576,0.4039447731755424,2972,0.27455621301775146,0.13925049309664694,0.5861932938856016
695,Anne Arundel,2020,Anne Arundel Precinct 04-020,1529,451,282,491,2020,1,0.7569306930693069,0.24306930693069306,1287,0.22326732673267327,0.13960396039603962,0.6371287128712871
696,Anne Arundel,1510,Anne Arundel Precinct 04-005,1100,331,156,410,1510,1,0.7284768211920529,0.271523178807947,1023,0.21920529801324504,0.10331125827814569,0.6774834437086092
697,Anne Arundel,1589,Anne Arundel Precinct 06-024,1066,447,198,523,1589,1,0.670862177470107,0.329137822529893,944,0.2813089993706734,0.12460667086217747,0.5940843297671492
698,Anne Arundel,1801,Anne Arundel Precinct 06-010,1437,255,173,364,1801,1,0.7978900610771793,0.20210993892282064,1373,0.14158800666296503,0.09605774569683509,0.7623542476401999
699,Anne Arundel,2354,Anne Arundel Precinct 06-003,448,385,52,1906,2354,1,0.1903143585386576,0.8096856414613424,1917,0.16355140186915887,0.022090059473237042,0.8143585386576041
700,Anne Arundel,3339,Anne Arundel Precinct 06-022,2543,535,331,796,3339,1,0.7616052710392333,0.2383947289607667,2473,0.16022761305780173,0.09913147648996705,0.7406409104522312
701,Anne Arundel,2337,Anne Arundel Precinct 06-014,603,615,130,1734,2337,1,0.25802310654685495,0.7419768934531451,1592,0.2631578947368421,0.05562687205819426,0.6812152332049636
702,Anne Arundel,1784,Anne Arundel Precinct 06-004,869,214,46,915,1784,1,0.48710762331838564,0.5128923766816144,1524,0.11995515695067265,0.0257847533632287,0.8542600896860987
703,Anne Arundel,1134,Anne Arundel Precinct 06-013,492,309,95,642,1134,1,0.43386243386243384,0.5661375661375662,730,0.2724867724867725,0.0837742504409171,0.6437389770723104
704,Anne Arundel,1646,Anne Arundel Precinct 06-002,1480,568,285,166,1646,1,0.8991494532199271,0.10085054678007291,793,0.3450789793438639,0.17314702308626975,0.48177399756986633
705,Anne Arundel,1709,Anne Arundel Precinct 06-009,1578,404,244,131,1709,1,0.9233469865418373,0.07665301345816267,1061,0.2363955529549444,0.14277355178466938,0.6208308952603862
706,Anne Arundel,1407,Anne Arundel Precinct 06-005,1154,332,199,253,1407,1,0.820184790334044,0.17981520966595593,876,0.23596304193319118,0.1414356787491116,0.6226012793176973
707,Anne Arundel,1924,Anne Arundel Precinct 06-006,397,255,51,1527,1924,1,0.20634095634095634,0.7936590436590436,1618,0.13253638253638253,0.02650727650727651,0.840956340956341
708,Anne Arundel,1590,Anne Arundel Precinct 06-023,1409,469,229,181,1590,1,0.8861635220125786,0.11383647798742139,892,0.2949685534591195,0.1440251572327044,0.5610062893081761
709,Anne Arundel,2555,Anne Arundel Precinct 06-017,1841,425,196,714,2555,1,0.7205479452054795,0.27945205479452057,1934,0.16634050880626222,0.07671232876712329,0.7569471624266145
710,Anne Arundel,1846,Anne Arundel Precinct 06-007,1193,282,83,653,1846,1,0.6462621885157096,0.35373781148429034,1481,0.15276273022751896,0.04496208017334778,0.8022751895991332
711,Anne Arundel,2292,Anne Arundel Precinct 06-015,921,318,114,1371,2292,1,0.4018324607329843,0.5981675392670157,1860,0.1387434554973822,0.049738219895287955,0.8115183246073299
712,Anne Arundel,1228,Anne Arundel Precinct 06-016,525,267,71,703,1228,1,0.42752442996742673,0.5724755700325733,890,0.21742671009771988,0.05781758957654723,0.7247557003257329
713,Anne Arundel,2314,Anne Arundel Precinct 06-001,1951,573,305,363,2314,1,0.8431287813310285,0.15687121866897147,1436,0.24762316335350043,0.13180639585133966,0.6205704407951599
714,Anne Arundel,2135,Anne Arundel Precinct 06-012,1373,565,222,762,2135,1,0.6430913348946136,0.35690866510538644,1348,0.2646370023419204,0.10398126463700234,0.6313817330210773
715,Anne Arundel,1420,Anne Arundel Precinct 06-008,1092,502,157,328,1420,1,0.7690140845070422,0.23098591549295774,761,0.35352112676056335,0.11056338028169015,0.5359154929577464
716,Anne Arundel,2303,Anne Arundel Precinct 06-018,1977,510,213,326,2303,1,0.8584455058619193,0.14155449413808077,1580,0.2214502822405558,0.0924880590534086,0.6860616587060356
717,Anne Arundel,6313,Anne Arundel Precinct 06-011,4882,294,125,1431,6313,1,0.7733248851576113,0.22667511484238873,5894,0.04657056866782829,0.01980041184856645,0.9336290194836052
718,Anne Arundel,1104,Anne Arundel Precinct 06-029,958,298,219,146,1104,1,0.8677536231884058,0.1322463768115942,587,0.26992753623188404,0.1983695652173913,0.5317028985507246
768,Anne Arundel,1446,Anne Arundel Precinct 05-007,1323,393,296,123,1446,1,0.9149377593360996,0.08506224066390042,757,0.2717842323651452,0.20470262793914246,0.5235131396957123
769,Anne Arundel,1348,Anne Arundel Precinct 02-013,1068,363,227,280,1348,1,0.7922848664688428,0.20771513353115728,758,0.2692878338278932,0.16839762611275966,0.5623145400593472
770,Anne Arundel,1465,Anne Arundel Precinct 05-024,1398,392,327,67,1465,1,0.9542662116040955,0.04573378839590444,746,0.2675767918088737,0.22320819112627988,0.5092150170648464
