,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,52,54,37,323,2236,1,0.8555456171735242,0.14445438282647585,2093,0.023255813953488372,0.024150268336314847,0.016547406082289804,0.936046511627907
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,84,29,51,338,1839,1,0.8162044589450789,0.18379554105492116,1675,0.04567699836867863,0.015769439912996192,0.02773246329526917,0.910821098423056
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,41,48,27,197,2418,1,0.9185277088502894,0.08147229114971051,2302,0.01695616211745244,0.019851116625310174,0.011166253101736972,0.9520264681555004
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,24,18,17,272,2785,1,0.9023339317773789,0.09766606822262118,2726,0.008617594254937163,0.006463195691202872,0.006104129263913824,0.9788150807899462
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,29,37,47,200,2923,1,0.9315771467670202,0.06842285323297982,2810,0.009921313718782073,0.012658227848101266,0.016079370509750255,0.9613410879233664
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,42,35,22,735,3247,1,0.7736372035725285,0.2263627964274715,3148,0.012935016938712659,0.010779180782260549,0.006775485063135201,0.9695103172158915
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,42,74,25,335,2407,1,0.8608226007478189,0.13917739925218114,2266,0.017449106771915246,0.030743664312422102,0.01038637307852098,0.9414208558371416
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,51,83,62,242,2960,1,0.9182432432432432,0.08175675675675675,2764,0.01722972972972973,0.028040540540540542,0.020945945945945947,0.9337837837837838
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,19,70,53,114,2234,1,0.9489704565801254,0.051029543419874666,2092,0.008504923903312443,0.03133393017009848,0.023724261414503133,0.936436884512086
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,35,45,39,247,2342,1,0.894534585824082,0.10546541417591802,2223,0.014944491887275833,0.019214346712211786,0.016652433817250213,0.9491887275832621
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,27,50,37,282,2290,1,0.8768558951965065,0.12314410480349346,2176,0.011790393013100437,0.021834061135371178,0.016157205240174673,0.9502183406113537
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,15,28,30,232,2081,1,0.8885151369533878,0.1114848630466122,2008,0.007208073041806823,0.013455069678039404,0.014416146083613647,0.9649207111965401
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,37,65,58,433,3428,1,0.8736872812135356,0.1263127187864644,3268,0.010793465577596266,0.018961493582263712,0.01691948658109685,0.9533255542590432
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,16,30,38,428,2683,1,0.8404770778978755,0.1595229221021245,2599,0.005963473723443906,0.011181513231457324,0.014163250093179277,0.9686917629519195
