,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,234,612,323,2236,1,0.8555456171735242,0.14445438282647585,1390,0.10465116279069768,0.2737030411449016,0.6216457960644007
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,279,412,338,1839,1,0.8162044589450789,0.18379554105492116,1148,0.15171288743882544,0.2240348015225666,0.6242523110386079
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,194,646,197,2418,1,0.9185277088502894,0.08147229114971051,1578,0.08023159636062861,0.26716294458229944,0.652605459057072
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,100,366,272,2785,1,0.9023339317773789,0.09766606822262118,2319,0.03590664272890485,0.13141831238779175,0.8326750448833035
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,184,762,200,2923,1,0.9315771467670202,0.06842285323297982,1977,0.06294902497434143,0.2606910708176531,0.6763599042080055
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,213,482,735,3247,1,0.7736372035725285,0.2263627964274715,2552,0.06559901447489991,0.1484447182014167,0.7859562673236834
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,180,733,335,2407,1,0.8608226007478189,0.13917739925218114,1494,0.07478188616535106,0.30452845866223516,0.6206896551724138
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,271,838,242,2960,1,0.9182432432432432,0.08175675675675675,1851,0.09155405405405405,0.2831081081081081,0.6253378378378378
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,108,875,114,2234,1,0.9489704565801254,0.051029543419874666,1251,0.048343777976723366,0.39167412712623095,0.5599820948970456
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,118,860,247,2342,1,0.894534585824082,0.10546541417591802,1364,0.05038428693424424,0.3672075149444919,0.5824081981212639
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,110,640,282,2290,1,0.8768558951965065,0.12314410480349346,1540,0.048034934497816595,0.2794759825327511,0.6724890829694323
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,91,649,232,2081,1,0.8885151369533878,0.1114848630466122,1341,0.04372897645362806,0.3118692936088419,0.6444017299375301
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,167,894,433,3428,1,0.8736872812135356,0.1263127187864644,2367,0.04871645274212369,0.26079346557759625,0.69049008168028
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,164,638,428,2683,1,0.8404770778978755,0.1595229221021245,1881,0.06112560566530004,0.23779351472232577,0.7010808796123742
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,138,630,303,2353,1,0.8712282192945177,0.12877178070548237,1585,0.058648533786655334,0.26774330641733957,0.6736081597960051
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,77,645,90,1767,1,0.9490662139219015,0.050933786078098474,1045,0.04357668364459536,0.36502546689303905,0.5913978494623656
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,143,732,270,2826,1,0.9044585987261147,0.09554140127388536,1951,0.05060155697098372,0.25902335456475584,0.6903750884642604
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,93,772,108,2071,1,0.9478512795750845,0.0521487204249155,1206,0.04490584258812168,0.37276677933365526,0.5823273780782231
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,86,583,92,1896,1,0.9514767932489452,0.04852320675105485,1227,0.04535864978902954,0.30748945147679324,0.6471518987341772
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,65,470,75,1673,1,0.9551703526598924,0.04482964734010759,1138,0.038852361028093245,0.28093245666467426,0.6802151823072325
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,101,866,113,2247,1,0.94971072541166,0.05028927458834001,1280,0.04494882064975523,0.38540275923453493,0.5696484201157098
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,137,942,97,2451,1,0.9604243166054671,0.039575683394532844,1372,0.05589555283557732,0.3843329253365973,0.5597715218278254
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,106,655,54,1573,1,0.9656706929434202,0.034329307056579786,812,0.06738715829624921,0.41640178003814365,0.5162110616656072
610,Anne Arundel,2235,Anne Arundel Precinct 03-012,2128,102,870,107,2235,1,0.9521252796420582,0.04787472035794183,1263,0.04563758389261745,0.38926174496644295,0.5651006711409396
616,Anne Arundel,1837,Anne Arundel Precinct 05-014,1658,156,449,179,1837,1,0.9025585193249864,0.09744148067501361,1232,0.0849210669569951,0.24442025040827436,0.6706586826347305
617,Anne Arundel,1098,Anne Arundel Precinct 05-034,1013,120,334,85,1098,1,0.9225865209471766,0.07741347905282331,644,0.1092896174863388,0.30418943533697634,0.5865209471766849
618,Anne Arundel,1456,Anne Arundel Precinct 05-016,1317,107,358,139,1456,1,0.904532967032967,0.09546703296703296,991,0.07348901098901099,0.24587912087912087,0.6806318681318682
619,Anne Arundel,1144,Anne Arundel Precinct 05-009,1105,110,345,39,1144,1,0.9659090909090909,0.03409090909090909,689,0.09615384615384616,0.30157342657342656,0.6022727272727273
620,Anne Arundel,1735,Anne Arundel Precinct 03-023,1629,124,582,106,1735,1,0.9389048991354467,0.06109510086455332,1029,0.07146974063400577,0.33544668587896254,0.5930835734870317
621,Anne Arundel,999,Anne Arundel Precinct 05-010,929,83,279,70,999,1,0.92992992992993,0.07007007007007007,637,0.08308308308308308,0.27927927927927926,0.6376376376376376
622,Anne Arundel,1854,Anne Arundel Precinct 03-022,1472,183,574,382,1854,1,0.7939590075512406,0.20604099244875945,1097,0.09870550161812297,0.30960086299892126,0.5916936353829557
623,Anne Arundel,2079,Anne Arundel Precinct 03-017,1958,68,756,121,2079,1,0.9417989417989417,0.0582010582010582,1255,0.03270803270803271,0.36363636363636365,0.6036556036556037
624,Anne Arundel,1898,Anne Arundel Precinct 05-011,1645,210,531,253,1898,1,0.8667017913593256,0.1332982086406744,1157,0.11064278187565858,0.279768177028451,0.6095890410958904
625,Anne Arundel,2039,Anne Arundel Precinct 05-004,1832,209,623,207,2039,1,0.8984796468857283,0.1015203531142717,1207,0.10250122609122118,0.30554193231976456,0.5919568415890142
626,Anne Arundel,1847,Anne Arundel Precinct 05-005,1625,266,462,222,1847,1,0.8798050893340552,0.12019491066594477,1119,0.14401732539252843,0.25013535462912834,0.6058473199783433
627,Anne Arundel,1366,Anne Arundel Precinct 05-023,1291,197,377,75,1366,1,0.945095168374817,0.05490483162518302,792,0.14421669106881405,0.2759882869692533,0.5797950219619327
628,Anne Arundel,1716,Anne Arundel Precinct 05-003,1503,179,476,213,1716,1,0.8758741258741258,0.12412587412587413,1061,0.10431235431235432,0.2773892773892774,0.6182983682983683
629,Anne Arundel,2381,Anne Arundel Precinct 05-026,1899,449,957,482,2381,1,0.7975640487190256,0.20243595128097439,975,0.18857622847543049,0.4019319613607728,0.4094918101637967
630,Anne Arundel,2632,Anne Arundel Precinct 05-021,2196,306,723,436,2632,1,0.8343465045592705,0.1656534954407295,1603,0.11626139817629179,0.27469604863221886,0.6090425531914894
631,Anne Arundel,1760,Anne Arundel Precinct 06-030,1534,298,437,226,1760,1,0.8715909090909091,0.12840909090909092,1025,0.1693181818181818,0.24829545454545454,0.5823863636363636
632,Anne Arundel,1526,Anne Arundel Precinct 06-025,1416,232,506,110,1526,1,0.927916120576671,0.07208387942332896,788,0.15203145478374835,0.3315858453473132,0.5163826998689384
