,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,67,17,15,7,43,323,2236,1,0.8555456171735242,0.14445438282647585,2087,0.02996422182468694,0.007602862254025045,0.006708407871198569,0.0031305903398926656,0.019230769230769232,0.9333631484794276
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,70,19,20,12,37,338,1839,1,0.8162044589450789,0.18379554105492116,1681,0.03806416530723219,0.010331702011963024,0.010875475802066341,0.0065252854812398045,0.02011963023382273,0.9140837411636759
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,50,24,20,8,26,197,2418,1,0.9185277088502894,0.08147229114971051,2290,0.0206782464846981,0.009925558312655087,0.008271298593879239,0.0033085194375516956,0.010752688172043012,0.9470636889991728
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,24,5,5,3,19,272,2785,1,0.9023339317773789,0.09766606822262118,2729,0.008617594254937163,0.0017953321364452424,0.0017953321364452424,0.0010771992818671453,0.006822262118491921,0.9798922800718133
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,38,11,23,14,36,200,2923,1,0.9315771467670202,0.06842285323297982,2801,0.013000342114266164,0.00376325692781389,0.00786862812179268,0.004789599726308587,0.012316113581936367,0.9582620595278823
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,24,9,14,4,34,735,3247,1,0.7736372035725285,0.2263627964274715,3162,0.0073914382506929475,0.002771789344009855,0.004311672312904219,0.0012319063751154912,0.010471204188481676,0.9738219895287958
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,41,13,11,4,22,335,2407,1,0.8608226007478189,0.13917739925218114,2316,0.01703365184877441,0.00540091400083091,0.004570004154549232,0.0016618196925633569,0.009140008309098464,0.9621936019941836
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,61,16,25,6,59,242,2960,1,0.9182432432432432,0.08175675675675675,2793,0.02060810810810811,0.005405405405405406,0.008445945945945946,0.002027027027027027,0.019932432432432434,0.9435810810810811
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,50,12,12,2,9,114,2234,1,0.9489704565801254,0.051029543419874666,2149,0.022381378692927483,0.005371530886302597,0.005371530886302597,0.0008952551477170994,0.0040286481647269475,0.9619516562220233
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,24,10,16,1,10,247,2342,1,0.894534585824082,0.10546541417591802,2281,0.010247651579846286,0.004269854824935952,0.006831767719897523,0.0004269854824935952,0.004269854824935952,0.9739538855678906
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,32,7,16,2,11,282,2290,1,0.8768558951965065,0.12314410480349346,2222,0.013973799126637555,0.003056768558951965,0.0069868995633187774,0.0008733624454148472,0.00480349344978166,0.9703056768558952
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,34,8,5,1,8,232,2081,1,0.8885151369533878,0.1114848630466122,2025,0.016338298894762134,0.0038443056222969728,0.002402691013935608,0.0004805382027871216,0.0038443056222969728,0.9730898606439212
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,42,12,11,5,14,433,3428,1,0.8736872812135356,0.1263127187864644,3344,0.012252042007001166,0.003500583430571762,0.0032088681446907816,0.0014585764294049008,0.004084014002333722,0.9754959159859977
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,45,6,10,1,18,428,2683,1,0.8404770778978755,0.1595229221021245,2603,0.016772269847185987,0.0022363026462914647,0.003727171077152441,0.0003727171077152441,0.006708907938874394,0.9701826313827805
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,44,12,9,3,11,303,2353,1,0.8712282192945177,0.12877178070548237,2274,0.018699532511687208,0.005099872503187421,0.003824904377390565,0.0012749681257968552,0.004674883127921802,0.9664258393540162
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,31,9,5,4,10,90,1767,1,0.9490662139219015,0.050933786078098474,1708,0.017543859649122806,0.0050933786078098476,0.0028296547821165816,0.0022637238256932655,0.005659309564233163,0.9666100735710244
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,56,21,16,11,14,270,2826,1,0.9044585987261147,0.09554140127388536,2708,0.019815994338287332,0.0074309978768577496,0.005661712668082095,0.00389242745930644,0.004953998584571833,0.9582448690728945
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,33,13,11,4,16,108,2071,1,0.9478512795750845,0.0521487204249155,1994,0.0159343312409464,0.006277160791887977,0.005311443746982134,0.001931434089811685,0.00772573635924674,0.9628198937711251
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,24,9,18,9,8,92,1896,1,0.9514767932489452,0.04852320675105485,1828,0.012658227848101266,0.004746835443037975,0.00949367088607595,0.004746835443037975,0.004219409282700422,0.9641350210970464
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,18,9,11,2,7,75,1673,1,0.9551703526598924,0.04482964734010759,1626,0.010759115361625823,0.005379557680812911,0.00657501494321578,0.001195457262402869,0.0041841004184100415,0.9719067543335326
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,30,13,8,2,17,113,2247,1,0.94971072541166,0.05028927458834001,2177,0.01335113484646195,0.005785491766800178,0.0035603026257231864,0.0008900756564307966,0.0075656430796617715,0.9688473520249221
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,37,15,15,2,20,97,2451,1,0.9604243166054671,0.039575683394532844,2362,0.015095879232966136,0.006119951040391677,0.006119951040391677,0.0008159934720522236,0.008159934720522236,0.9636882904936761
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,26,8,16,2,16,54,1573,1,0.9656706929434202,0.034329307056579786,1505,0.01652892561983471,0.0050858232676414495,0.010171646535282899,0.0012714558169103624,0.010171646535282899,0.9567705022250477
610,Anne Arundel,2235,Anne Arundel Precinct 03-012,2128,31,11,9,3,16,107,2235,1,0.9521252796420582,0.04787472035794183,2165,0.013870246085011185,0.004921700223713647,0.004026845637583893,0.0013422818791946308,0.0071588366890380315,0.9686800894854586
616,Anne Arundel,1837,Anne Arundel Precinct 05-014,1658,34,9,19,5,19,179,1837,1,0.9025585193249864,0.09744148067501361,1751,0.018508437670114317,0.004899292324442025,0.010342950462710943,0.0027218290691344584,0.010342950462710943,0.9531845400108874
