,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,232,47,157,736,44,2236,1,0.8555456171735242,0.1037567084078712,0.02101967799642218,0.01967799642218247,1343,0.07021466905187836,0.3291592128801431,0.6006261180679785
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,264,33,185,538,41,1839,1,0.8162044589450789,0.14355628058727568,0.01794453507340946,0.022294725394236,1116,0.10059815116911365,0.29255029907558455,0.6068515497553018
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,82,65,155,861,50,2418,1,0.9185277088502894,0.03391232423490488,0.026881720430107527,0.0206782464846981,1402,0.0641025641025641,0.3560794044665012,0.5798180314309347
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,40,144,67,425,88,2785,1,0.9023339317773789,0.01436265709156194,0.05170556552962298,0.03159784560143627,2293,0.02405745062836625,0.1526032315978456,0.8233393177737881
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,34,83,154,886,83,2923,1,0.9315771467670202,0.011631885049606569,0.028395484091686622,0.028395484091686622,1883,0.052685596989394456,0.3031132398221006,0.644201163188505
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,556,69,184,534,110,3247,1,0.7736372035725285,0.17123498614105329,0.021250384970742223,0.03387742531567601,2529,0.056667693255312596,0.16445950107791807,0.7788728056667693
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,218,60,143,830,57,2407,1,0.8608226007478189,0.09056917324470296,0.024927295388450354,0.023680930619027835,1434,0.059410054009140005,0.3448275862068966,0.5957623597839634
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,130,53,210,1035,59,2960,1,0.9182432432432432,0.04391891891891892,0.017905405405405406,0.019932432432432434,1715,0.07094594594594594,0.34966216216216217,0.5793918918918919
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,24,30,129,862,60,2234,1,0.9489704565801254,0.010743061772605193,0.01342882721575649,0.02685765443151298,1243,0.05774395702775291,0.38585496866606983,0.5564010743061772
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,112,40,104,823,95,2342,1,0.894534585824082,0.04782237403928266,0.017079419299743808,0.040563620836891544,1415,0.0444064901793339,0.3514090520922289,0.6041844577284372
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,137,64,121,676,81,2290,1,0.8768558951965065,0.05982532751091703,0.02794759825327511,0.03537117903930131,1493,0.05283842794759825,0.29519650655021834,0.6519650655021834
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,110,51,142,709,71,2081,1,0.8885151369533878,0.05285920230658337,0.0245074483421432,0.03411821239788563,1230,0.06823642479577126,0.3407015857760692,0.5910619894281596
