,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,232,47,548,697,44,2236,1,0.8555456171735242,0.1037567084078712,0.02101967799642218,0.01967799642218247,991,0.24508050089445438,0.31171735241502685,0.4432021466905188
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,264,33,530,442,41,1839,1,0.8162044589450789,0.14355628058727568,0.01794453507340946,0.022294725394236,867,0.28820010875475804,0.24034801522566612,0.47145187601957583
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,82,65,474,805,50,2418,1,0.9185277088502894,0.03391232423490488,0.026881720430107527,0.0206782464846981,1139,0.19602977667493796,0.33291976840363935,0.47105045492142267
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,40,144,489,717,88,2785,1,0.9023339317773789,0.01436265709156194,0.05170556552962298,0.03159784560143627,1579,0.1755834829443447,0.25745062836624777,0.5669658886894076
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,34,83,563,852,83,2923,1,0.9315771467670202,0.011631885049606569,0.028395484091686622,0.028395484091686622,1508,0.19261033185083817,0.29148135477249404,0.5159083133766678
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,556,69,602,575,110,3247,1,0.7736372035725285,0.17123498614105329,0.021250384970742223,0.03387742531567601,2070,0.18540190945488144,0.17708654142285185,0.6375115491222667
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,218,60,500,865,57,2407,1,0.8608226007478189,0.09056917324470296,0.024927295388450354,0.023680930619027835,1042,0.2077274615704196,0.35936850851682595,0.43290402991275445
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,130,53,626,909,59,2960,1,0.9182432432432432,0.04391891891891892,0.017905405405405406,0.019932432432432434,1425,0.2114864864864865,0.3070945945945946,0.4814189189189189
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,24,30,334,976,60,2234,1,0.9489704565801254,0.010743061772605193,0.01342882721575649,0.02685765443151298,924,0.1495076096687556,0.4368845120859445,0.41360787824529993
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,112,40,417,990,95,2342,1,0.894534585824082,0.04782237403928266,0.017079419299743808,0.040563620836891544,935,0.1780529461998292,0.4227156276686593,0.3992314261315115
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,137,64,402,682,81,2290,1,0.8768558951965065,0.05982532751091703,0.02794759825327511,0.03537117903930131,1206,0.17554585152838428,0.29781659388646287,0.5266375545851528
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,110,51,388,716,71,2081,1,0.8885151369533878,0.05285920230658337,0.0245074483421432,0.03411821239788563,977,0.18644882268140317,0.34406535319557907,0.46948582412301776
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,133,166,594,958,134,3428,1,0.8736872812135356,0.03879813302217036,0.048424737456242706,0.039089848308051345,1876,0.17327887981330223,0.279463243873979,0.5472578763127188
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,214,98,604,737,116,2683,1,0.8404770778978755,0.07976146105106224,0.036526276556093924,0.04323518449496832,1342,0.22512113306000744,0.2746925083861349,0.5001863585538576
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,157,62,462,681,84,2353,1,0.8712282192945177,0.06672333191670209,0.02634934126646834,0.035699107522311944,1210,0.1963450913727157,0.2894177645558861,0.5142371440713982
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,30,24,267,682,36,1767,1,0.9490662139219015,0.01697792869269949,0.013582342954159592,0.02037351443123939,818,0.15110356536502548,0.38596491228070173,0.46293152235427276
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,115,82,485,776,73,2826,1,0.9044585987261147,0.04069355980184006,0.029016277423920735,0.025831564048124558,1565,0.1716206652512385,0.2745930644019816,0.5537862703467799
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,25,38,313,863,45,2071,1,0.9478512795750845,0.012071463061323033,0.01834862385321101,0.021728633510381457,895,0.15113471752776436,0.41670690487687106,0.4321583775953646
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,32,30,335,605,30,1896,1,0.9514767932489452,0.016877637130801686,0.015822784810126583,0.015822784810126583,956,0.17668776371308018,0.3190928270042194,0.5042194092827004
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,12,22,299,487,41,1673,1,0.9551703526598924,0.007172743574417215,0.01315002988643156,0.024506873879258817,887,0.17872086072922894,0.29109384339509864,0.5301852958756724
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,42,40,340,956,31,2247,1,0.94971072541166,0.018691588785046728,0.017801513128615932,0.013796172674677348,951,0.15131286159323543,0.42545616377392076,0.4232309746328438
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,11,19,410,1045,67,2451,1,0.9604243166054671,0.00448796409628723,0.007751937984496124,0.02733578131374949,996,0.16727866177070583,0.4263565891472868,0.40636474908200737
609,Anne Arundel,1573,Anne Arundel Precinct 03-015,1519,15,20,249,735,19,1573,1,0.9656706929434202,0.009535918626827717,0.012714558169103624,0.012078830260648443,589,0.1582962492053401,0.4672600127145582,0.37444373808010173
610,Anne Arundel,2235,Anne Arundel Precinct 03-012,2128,35,26,360,923,46,2235,1,0.9521252796420582,0.015659955257270694,0.011633109619686801,0.02058165548098434,952,0.1610738255033557,0.4129753914988814,0.42595078299776284
616,Anne Arundel,1837,Anne Arundel Precinct 05-014,1658,59,30,381,620,90,1837,1,0.9025585193249864,0.032117583015786606,0.01633097441480675,0.04899292324442025,836,0.20740337506804574,0.33750680457267285,0.4550898203592814
617,Anne Arundel,1098,Anne Arundel Precinct 05-034,1013,36,13,307,402,36,1098,1,0.9225865209471766,0.03278688524590164,0.011839708561020037,0.03278688524590164,389,0.2795992714025501,0.366120218579235,0.3542805100182149
618,Anne Arundel,1456,Anne Arundel Precinct 05-016,1317,46,36,331,398,57,1456,1,0.904532967032967,0.03159340659340659,0.024725274725274724,0.03914835164835165,727,0.22733516483516483,0.2733516483516483,0.4993131868131868
619,Anne Arundel,1144,Anne Arundel Precinct 05-009,1105,5,18,241,413,16,1144,1,0.9659090909090909,0.004370629370629371,0.015734265734265736,0.013986013986013986,490,0.21066433566433568,0.361013986013986,0.42832167832167833
620,Anne Arundel,1735,Anne Arundel Precinct 03-023,1629,48,31,378,641,27,1735,1,0.9389048991354467,0.0276657060518732,0.017867435158501442,0.015561959654178675,716,0.21786743515850143,0.36945244956772333,0.41268011527377524
621,Anne Arundel,999,Anne Arundel Precinct 05-010,929,9,18,162,387,43,999,1,0.92992992992993,0.009009009009009009,0.018018018018018018,0.043043043043043044,450,0.16216216216216217,0.38738738738738737,0.45045045045045046
622,Anne Arundel,1854,Anne Arundel Precinct 03-022,1472,296,29,426,595,57,1854,1,0.7939590075512406,0.15965480043149946,0.01564185544768069,0.030744336569579287,833,0.2297734627831715,0.3209277238403452,0.44929881337648325
623,Anne Arundel,2079,Anne Arundel Precinct 03-017,1958,40,32,353,835,49,2079,1,0.9417989417989417,0.01924001924001924,0.015392015392015393,0.02356902356902357,891,0.1697931697931698,0.4016354016354016,0.42857142857142855
624,Anne Arundel,1898,Anne Arundel Precinct 05-011,1645,106,81,473,652,66,1898,1,0.8667017913593256,0.05584826132771338,0.04267650158061117,0.03477344573234984,773,0.24920969441517388,0.34351949420442573,0.40727081138040044
625,Anne Arundel,2039,Anne Arundel Precinct 05-004,1832,76,67,509,745,64,2039,1,0.8984796468857283,0.03727317312408043,0.03285924472780775,0.03138793526238352,785,0.24963217263364396,0.3653751839136832,0.38499264345267287
626,Anne Arundel,1847,Anne Arundel Precinct 05-005,1625,133,38,517,561,51,1847,1,0.8798050893340552,0.07200866269626421,0.02057390362750406,0.027612344342176503,769,0.27991337303735786,0.3037357877639415,0.4163508391987006
627,Anne Arundel,1366,Anne Arundel Precinct 05-023,1291,16,25,384,420,34,1366,1,0.945095168374817,0.01171303074670571,0.018301610541727673,0.024890190336749635,562,0.28111273792093705,0.3074670571010249,0.41142020497803805
628,Anne Arundel,1716,Anne Arundel Precinct 05-003,1503,93,50,435,553,70,1716,1,0.8758741258741258,0.05419580419580419,0.029137529137529136,0.04079254079254079,728,0.2534965034965035,0.32226107226107226,0.42424242424242425
629,Anne Arundel,2381,Anne Arundel Precinct 05-026,1899,279,118,668,679,85,2381,1,0.7975640487190256,0.11717765644687106,0.049559008819823606,0.03569928601427971,1034,0.28055438891222173,0.2851742965140697,0.43427131457370854
630,Anne Arundel,2632,Anne Arundel Precinct 05-021,2196,182,96,702,856,158,2632,1,0.8343465045592705,0.06914893617021277,0.0364741641337386,0.06003039513677812,1074,0.26671732522796354,0.3252279635258359,0.40805471124620063
631,Anne Arundel,1760,Anne Arundel Precinct 06-030,1534,110,46,520,462,70,1760,1,0.8715909090909091,0.0625,0.026136363636363635,0.03977272727272727,778,0.29545454545454547,0.2625,0.4420454545454545
632,Anne Arundel,1526,Anne Arundel Precinct 06-025,1416,31,36,429,547,43,1526,1,0.927916120576671,0.020314547837483616,0.023591087811271297,0.02817824377457405,550,0.281127129750983,0.3584534731323722,0.36041939711664484
633,Anne Arundel,1818,Anne Arundel Precinct 05-020,1541,154,63,357,612,60,1818,1,0.8476347634763476,0.0847084708470847,0.034653465346534656,0.033003300330033,849,0.19636963696369636,0.33663366336633666,0.466996699669967
634,Anne Arundel,1940,Anne Arundel Precinct 05-028,1748,64,64,655,729,64,1940,1,0.9010309278350516,0.032989690721649485,0.032989690721649485,0.032989690721649485,556,0.33762886597938147,0.37577319587628866,0.2865979381443299
635,Anne Arundel,1531,Anne Arundel Precinct 05-027,1364,55,45,359,499,67,1531,1,0.8909209666884389,0.035924232527759635,0.02939255388634879,0.043762246897452645,673,0.23448726322664926,0.32593076420640105,0.4395819725669497
636,Anne Arundel,1702,Anne Arundel Precinct 05-013,1627,13,23,423,703,39,1702,1,0.9559341950646298,0.00763807285546416,0.013513513513513514,0.022914218566392478,576,0.24853113983548766,0.41304347826086957,0.3384253819036428
637,Anne Arundel,2718,Anne Arundel Precinct 05-018,2265,201,156,538,596,96,2718,1,0.8333333333333334,0.0739514348785872,0.05739514348785872,0.03532008830022075,1584,0.19793966151582046,0.21927888153053715,0.5827814569536424
638,Anne Arundel,2136,Anne Arundel Precinct 05-022,1936,67,71,577,718,62,2136,1,0.9063670411985019,0.03136704119850187,0.03323970037453183,0.02902621722846442,841,0.2701310861423221,0.33614232209737827,0.3937265917602996
639,Anne Arundel,2178,Anne Arundel Precinct 05-001,1856,211,60,634,799,51,2178,1,0.852157943067034,0.09687786960514233,0.027548209366391185,0.023415977961432508,745,0.2910927456382002,0.36685032139577595,0.34205693296602385
640,Anne Arundel,2073,Anne Arundel Precinct 05-017,1891,43,65,587,735,74,2073,1,0.9122045344910757,0.020742884708152436,0.03135552339604438,0.03569705740472745,751,0.2831644958996623,0.3545586107091172,0.36227689339122043
641,Anne Arundel,2525,Anne Arundel Precinct 05-002,2062,250,146,656,730,67,2525,1,0.8166336633663366,0.09900990099009901,0.057821782178217825,0.026534653465346534,1139,0.2598019801980198,0.2891089108910891,0.4510891089108911
