,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,376,647,323,2236,1,0.8555456171735242,0.14445438282647585,1213,0.16815742397137745,0.2893559928443649,0.5424865831842576
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,412,384,338,1839,1,0.8162044589450789,0.18379554105492116,1043,0.2240348015225666,0.20880913539967375,0.5671560630777597
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,337,670,197,2418,1,0.9185277088502894,0.08147229114971051,1411,0.1393713813068652,0.2770885028949545,0.5835401157981803
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,166,338,272,2785,1,0.9023339317773789,0.09766606822262118,2281,0.05960502692998205,0.12136445242369838,0.8190305206463195
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,366,832,200,2923,1,0.9315771467670202,0.06842285323297982,1725,0.12521382141635307,0.28463906944919604,0.5901471091344509
340,Anne Arundel,3247,Anne Arundel Precinct 07-009,2512,410,499,735,3247,1,0.7736372035725285,0.2263627964274715,2338,0.12627040344933785,0.15368032029565754,0.7200492762550046
350,Anne Arundel,2407,Anne Arundel Precinct 07-021,2072,334,728,335,2407,1,0.8608226007478189,0.13917739925218114,1345,0.1387619443290403,0.30245118404653093,0.5587868716244287
351,Anne Arundel,2960,Anne Arundel Precinct 07-001,2718,460,833,242,2960,1,0.9182432432432432,0.08175675675675675,1667,0.1554054054054054,0.2814189189189189,0.5631756756756757
595,Anne Arundel,2234,Anne Arundel Precinct 03-013,2120,233,920,114,2234,1,0.9489704565801254,0.051029543419874666,1081,0.10429722470904208,0.41181736794986573,0.4838854073410922
596,Anne Arundel,2342,Anne Arundel Precinct 03-018,2095,287,884,247,2342,1,0.894534585824082,0.10546541417591802,1171,0.12254483347566182,0.3774551665243382,0.5
597,Anne Arundel,2290,Anne Arundel Precinct 03-016,2008,326,693,282,2290,1,0.8768558951965065,0.12314410480349346,1271,0.1423580786026201,0.3026200873362445,0.5550218340611354
598,Anne Arundel,2081,Anne Arundel Precinct 03-001,1849,301,728,232,2081,1,0.8885151369533878,0.1114848630466122,1052,0.1446419990389236,0.3498318116290245,0.5055261893320518
599,Anne Arundel,3428,Anne Arundel Precinct 03-003,2995,445,973,433,3428,1,0.8736872812135356,0.1263127187864644,2010,0.12981330221703619,0.2838389731621937,0.5863477246207701
600,Anne Arundel,2683,Anne Arundel Precinct 03-021,2255,416,747,428,2683,1,0.8404770778978755,0.1595229221021245,1520,0.15505031680954157,0.2784196794632874,0.5665300037271711
601,Anne Arundel,2353,Anne Arundel Precinct 03-007,2050,366,695,303,2353,1,0.8712282192945177,0.12877178070548237,1292,0.15554611134721633,0.29536761580960474,0.5490862728431789
602,Anne Arundel,1767,Anne Arundel Precinct 03-020,1677,246,646,90,1767,1,0.9490662139219015,0.050933786078098474,875,0.13921901528013583,0.3655913978494624,0.4951895868704018
603,Anne Arundel,2826,Anne Arundel Precinct 03-024,2556,379,805,270,2826,1,0.9044585987261147,0.09554140127388536,1642,0.13411181882519463,0.28485491861288037,0.581033262561925
604,Anne Arundel,2071,Anne Arundel Precinct 03-019,1963,218,799,108,2071,1,0.9478512795750845,0.0521487204249155,1054,0.10526315789473684,0.3858039594398841,0.5089328826653791
605,Anne Arundel,1896,Anne Arundel Precinct 03-014,1804,229,568,92,1896,1,0.9514767932489452,0.04852320675105485,1099,0.12078059071729957,0.29957805907172996,0.5796413502109705
606,Anne Arundel,1673,Anne Arundel Precinct 03-002,1598,213,437,75,1673,1,0.9551703526598924,0.04482964734010759,1023,0.12731619844590555,0.2612074118350269,0.6114763897190676
607,Anne Arundel,2247,Anne Arundel Precinct 03-010,2134,275,909,113,2247,1,0.94971072541166,0.05028927458834001,1063,0.12238540275923454,0.4045393858477971,0.4730752113929684
608,Anne Arundel,2451,Anne Arundel Precinct 03-011,2354,296,970,97,2451,1,0.9604243166054671,0.039575683394532844,1185,0.12076703386372908,0.39575683394532846,0.4834761321909425
