,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,66,31,31,23,1090,1,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,962,0.060550458715596334,0.028440366972477066,0.028440366972477066,0.8825688073394495
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,80,30,54,43,1429,1,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,1265,0.05598320503848846,0.02099370188943317,0.03778866340097971,0.8852344296710987
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,70,20,46,57,1467,1,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,1331,0.047716428084526245,0.013633265167007498,0.03135650988411725,0.907293796864349
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,48,13,36,26,985,1,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,888,0.048730964467005075,0.013197969543147208,0.03654822335025381,0.9015228426395939
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,17,3,8,17,502,1,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,474,0.03386454183266932,0.00597609561752988,0.01593625498007968,0.9442231075697212
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,41,19,50,90,2426,1,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,2316,0.016900247320692497,0.007831821929101401,0.020610057708161583,0.9546578730420445
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,56,12,49,120,2095,1,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,1978,0.02673031026252983,0.005727923627684964,0.023389021479713605,0.9441527446300716
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,33,7,24,64,782,1,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,718,0.04219948849104859,0.008951406649616368,0.030690537084398978,0.9181585677749361
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,38,5,35,98,1623,1,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1545,0.02341343191620456,0.0030807147258163892,0.021565003080714726,0.9519408502772643
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,32,7,22,44,1434,1,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,1373,0.022315202231520222,0.0048814504881450485,0.015341701534170154,0.9574616457461645
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,21,6,25,37,1562,1,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1510,0.013444302176696543,0.0038412291933418692,0.016005121638924456,0.9667093469910372
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,62,40,50,44,1463,1,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,1311,0.04237867395762133,0.02734107997265892,0.03417634996582365,0.8961038961038961
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,146,85,123,89,4697,1,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,4343,0.031083670427932725,0.018096657440919737,0.026186927826272088,0.9246327443048754
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,86,40,55,162,3265,1,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,3084,0.026339969372128638,0.01225114854517611,0.016845329249617153,0.9445635528330781
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,78,38,60,37,2660,1,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,2484,0.029323308270676692,0.014285714285714285,0.022556390977443608,0.9338345864661655
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,60,30,47,9,1089,1,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,952,0.05509641873278237,0.027548209366391185,0.04315886134067952,0.8741965105601469
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,67,31,73,38,1595,1,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,1424,0.04200626959247649,0.019435736677115987,0.045768025078369905,0.8927899686520376
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,90,14,50,135,3555,1,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,3401,0.02531645569620253,0.003938115330520394,0.014064697609001406,0.9566807313642757
811,Baltimore City,929,Baltimore City Precinct 20-009,527,341,34,14,14,25,27,929,1,0.5672766415500539,0.36706135629709363,0.03659849300322928,0.02906350914962325,876,0.015069967707212056,0.015069967707212056,0.02691065662002153,0.9429494079655544
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,1001,8,42,31,51,12,1049,1,0.02669208770257388,0.9542421353670162,0.0076263107721639654,0.011439466158245948,925,0.04003813155386082,0.029551954242135366,0.04861773117254528,0.8817921830314586
