,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,230,13,948,1090,1,0.13027522935779817,0.8697247706422019,847,0.21100917431192662,0.011926605504587157,0.7770642201834862
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,309,47,1107,1429,1,0.22533240027991602,0.7746675997200839,1073,0.21623512946116166,0.032890132960111965,0.7508747375787264
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,305,32,995,1467,1,0.321745057941377,0.678254942058623,1130,0.20790729379686435,0.021813224267211998,0.7702794819359237
559,Baltimore City,985,Baltimore City Precinct 26-030,419,278,35,566,985,1,0.42538071065989846,0.5746192893401015,672,0.28223350253807106,0.03553299492385787,0.682233502538071
574,Baltimore City,502,Baltimore City Precinct 26-001,417,50,41,85,502,1,0.8306772908366534,0.1693227091633466,411,0.099601593625498,0.08167330677290836,0.8187250996015937
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,252,74,1418,2426,1,0.4154987633965375,0.5845012366034625,2100,0.10387469084913438,0.030502885408079144,0.8656224237427865
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,200,152,691,2095,1,0.6701670644391408,0.3298329355608592,1743,0.0954653937947494,0.07255369928400955,0.831980906921241
581,Baltimore City,782,Baltimore City Precinct 26-005,514,99,59,268,782,1,0.6572890025575447,0.34271099744245526,624,0.1265984654731458,0.07544757033248081,0.7979539641943734
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,150,84,525,1623,1,0.6765249537892791,0.3234750462107209,1389,0.09242144177449169,0.051756007393715345,0.8558225508317929
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,268,137,635,1434,1,0.5571827057182706,0.44281729428172945,1029,0.18688981868898186,0.09553695955369595,0.7175732217573222
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,115,79,512,1562,1,0.6722151088348272,0.32778489116517284,1368,0.0736235595390525,0.05057618437900128,0.8758002560819462
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,362,22,1347,1463,1,0.07928913192071087,0.9207108680792891,1079,0.24743677375256323,0.015037593984962405,0.7375256322624744
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,765,57,4100,4697,1,0.12710240579093038,0.8728975942090696,3875,0.16286991696827763,0.01213540557802853,0.8249946774536938
