,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,232,7,23,1090,1,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,851,0.21284403669724772,0.006422018348623854,0.7807339449541284
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,318,37,43,1429,1,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,1074,0.2225332400279916,0.02589223233030091,0.7515745276417075
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,313,20,57,1467,1,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,1134,0.21336059986366734,0.013633265167007498,0.7730061349693251
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,291,24,26,985,1,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,670,0.2954314720812183,0.024365482233502538,0.6802030456852792
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,61,28,17,502,1,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,413,0.12151394422310757,0.055776892430278883,0.8227091633466136
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,272,55,90,2426,1,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,2099,0.11211871393239901,0.02267106347897774,0.8652102225886232
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,223,123,120,2095,1,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,1749,0.10644391408114559,0.058711217183770883,0.8348448687350836
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,109,50,64,782,1,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,623,0.13938618925831203,0.0639386189258312,0.7966751918158568
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,177,56,98,1623,1,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1390,0.10905730129390019,0.03450400492914356,0.8564386937769563
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,269,120,44,1434,1,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,1045,0.18758716875871687,0.08368200836820083,0.7287308228730823
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,118,72,37,1562,1,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1372,0.07554417413572344,0.046094750320102434,0.8783610755441741
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,362,20,44,1463,1,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,1081,0.24743677375256323,0.01367053998632946,0.7388926862611073
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,778,42,89,4697,1,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,3877,0.1656376410474771,0.00894187779433681,0.8254204811581861
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,472,63,162,3265,1,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,2730,0.1445635528330781,0.019295558958652374,0.8361408882082695
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,375,17,37,2660,1,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,2268,0.14097744360902256,0.006390977443609023,0.8526315789473684
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,232,8,9,1089,1,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,849,0.2130394857667585,0.0073461891643709825,0.7796143250688705
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,274,11,38,1595,1,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,1310,0.17178683385579938,0.006896551724137931,0.8213166144200627
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,530,187,135,3555,1,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,2838,0.1490857946554149,0.05260196905766526,0.7983122362869198
811,Baltimore City,929,Baltimore City Precinct 20-009,527,341,34,119,30,27,929,1,0.5672766415500539,0.36706135629709363,0.03659849300322928,0.02906350914962325,780,0.12809472551130247,0.03229278794402583,0.8396124865446717
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,1001,8,230,10,12,1049,1,0.02669208770257388,0.9542421353670162,0.0076263107721639654,0.011439466158245948,809,0.219256434699714,0.009532888465204958,0.771210676835081
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,472,145,379,202,177,3568,1,0.7774663677130045,0.13228699551569506,0.0406390134529148,0.04960762331838565,2987,0.1062219730941704,0.05661434977578475,0.8371636771300448
814,Baltimore City,756,Baltimore City Precinct 20-010,333,353,45,49,9,25,756,1,0.44047619047619047,0.4669312169312169,0.05952380952380952,0.03306878306878307,698,0.06481481481481481,0.011904761904761904,0.9232804232804233
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,2229,6,241,7,33,2322,1,0.023255813953488372,0.9599483204134367,0.002583979328165375,0.014211886304909561,2074,0.10378983634797588,0.0030146425495262705,0.8931955211024979
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,1287,65,205,36,103,2303,1,0.36821537125488496,0.5588363004776379,0.02822405557967868,0.04472427268779852,2062,0.08901432913590969,0.015631784628745114,0.8953538862353452
817,Baltimore City,950,Baltimore City Precinct 20-002,70,853,7,119,5,20,950,1,0.07368421052631578,0.8978947368421053,0.007368421052631579,0.021052631578947368,826,0.12526315789473685,0.005263157894736842,0.8694736842105263
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,1711,4,316,16,31,1760,1,0.007954545454545454,0.9721590909090909,0.0022727272727272726,0.017613636363636363,1428,0.17954545454545454,0.00909090909090909,0.8113636363636364
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,1891,15,431,26,34,1950,1,0.005128205128205128,0.9697435897435898,0.007692307692307693,0.017435897435897435,1493,0.221025641025641,0.013333333333333334,0.7656410256410257
820,Baltimore City,240,Baltimore City Precinct 20-004,4,226,3,66,3,7,240,1,0.016666666666666666,0.9416666666666667,0.0125,0.029166666666666667,171,0.275,0.0125,0.7125
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,1426,21,200,6,24,1495,1,0.016053511705685617,0.9538461538461539,0.014046822742474917,0.016053511705685617,1289,0.13377926421404682,0.004013377926421404,0.8622073578595317
822,Baltimore City,901,Baltimore City Precinct 26-031,516,339,13,198,44,33,901,1,0.5726970033296337,0.3762486126526082,0.014428412874583796,0.03662597114317425,659,0.21975582685904552,0.048834628190899,0.7314095449500555
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,1388,38,720,102,101,2719,1,0.4383964692901802,0.5104817947774917,0.013975726369988967,0.03714600956233909,1897,0.26480323648400145,0.03751379183523354,0.697682971680765
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,820,103,749,239,59,2670,1,0.6322097378277154,0.30711610486891383,0.03857677902621723,0.022097378277153558,1682,0.2805243445692884,0.08951310861423221,0.6299625468164795
828,Baltimore City,842,Baltimore City Precinct 27-010,645,155,22,240,82,20,842,1,0.7660332541567696,0.1840855106888361,0.026128266033254157,0.023752969121140142,520,0.2850356294536817,0.09738717339667459,0.6175771971496437
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,754,59,257,21,95,1038,1,0.1252408477842004,0.7263969171483622,0.05684007707129094,0.09152215799614644,760,0.24759152215799615,0.02023121387283237,0.7321772639691715
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,497,82,551,54,151,1718,1,0.5750873108265425,0.2892898719441211,0.047729918509895226,0.08789289871944121,1113,0.32072176949941794,0.03143189755529686,0.6478463329452853
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,1370,76,386,22,88,1916,1,0.19937369519832984,0.7150313152400835,0.03966597077244259,0.04592901878914405,1508,0.20146137787056367,0.011482254697286013,0.7870563674321504
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,181,220,131,47,66,1139,1,0.5899912203687445,0.15891132572431957,0.19315188762071994,0.05794556628621598,961,0.11501316944688324,0.041264266900790166,0.8437225636523266
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,588,307,220,91,99,2273,1,0.5626924769027717,0.258688957325121,0.1350637923449186,0.04355477342718874,1962,0.09678838539375274,0.04003519577650682,0.8631764188297404
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,905,52,202,29,58,1483,1,0.3155765340525961,0.6102494942683749,0.03506405933917734,0.03910991233985165,1252,0.13621038435603505,0.019554956169925825,0.8442346594740391
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,334,135,113,45,43,1262,1,0.5942947702060222,0.26465927099841524,0.10697305863708399,0.03407290015847861,1104,0.089540412044374,0.03565768621236133,0.8748019017432647
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,744,110,186,39,73,1628,1,0.4305896805896806,0.457002457002457,0.06756756756756757,0.04484029484029484,1403,0.11425061425061425,0.023955773955773956,0.8617936117936118
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,525,115,237,98,159,2415,1,0.6691511387163561,0.21739130434782608,0.047619047619047616,0.06583850931677018,2080,0.09813664596273292,0.04057971014492753,0.8612836438923396
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,43,68,801,301,114,2673,1,0.9158249158249159,0.016086793864571642,0.02543958099513655,0.04264870931537598,1571,0.2996632996632997,0.1126075570520015,0.5877291432846988
889,Baltimore City,878,Baltimore City Precinct 24-002,775,30,29,278,112,44,878,1,0.8826879271070615,0.03416856492027335,0.03302961275626424,0.05011389521640091,488,0.31662870159453305,0.1275626423690205,0.5558086560364465
890,Baltimore City,722,Baltimore City Precinct 24-001,632,41,18,247,88,31,722,1,0.8753462603878116,0.05678670360110803,0.024930747922437674,0.04293628808864266,387,0.34210526315789475,0.12188365650969529,0.53601108033241
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,46,43,565,215,108,1728,1,0.8859953703703703,0.02662037037037037,0.02488425925925926,0.0625,948,0.3269675925925926,0.1244212962962963,0.5486111111111112
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,223,166,443,159,184,1994,1,0.7126379137412236,0.11183550651955868,0.08324974924774323,0.09227683049147442,1392,0.22216649949849548,0.07973921765295888,0.6980942828485457
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,60,58,1214,491,113,3017,1,0.9234338747099768,0.019887305270135897,0.0192243950944647,0.03745442492542261,1312,0.40238647663241633,0.16274444812727876,0.43486907524030494
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,106,164,686,212,198,2635,1,0.8223908918406072,0.040227703984819736,0.06223908918406072,0.07514231499051234,1737,0.2603415559772296,0.08045540796963947,0.6592030360531309
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,157,396,499,120,119,2074,1,0.6759884281581485,0.07569913211186113,0.1909353905496625,0.05737704918032787,1455,0.24059787849566056,0.05785920925747348,0.7015429122468659
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,102,203,580,132,106,2117,1,0.8058573452999528,0.048181388757675955,0.0958904109589041,0.050070854983467174,1405,0.273972602739726,0.06235238545111006,0.6636750118091639
897,Baltimore City,1947,Baltimore City Precinct 01-003,1710,56,93,435,167,88,1947,1,0.8782742681047766,0.028762198253723677,0.04776579352850539,0.04519774011299435,1345,0.22342064714946072,0.08577298407806883,0.6908063687724705
898,Baltimore City,2617,Baltimore City Precinct 05-001,202,2276,86,243,13,53,2617,1,0.07718761941153993,0.8696981276270539,0.032862055789071455,0.020252197172334733,2361,0.09285441345051586,0.004967520061138708,0.9021780664883454
899,Baltimore City,658,Baltimore City Precinct 10-004,17,620,13,144,2,8,658,1,0.025835866261398176,0.9422492401215805,0.019756838905775075,0.0121580547112462,512,0.2188449848024316,0.00303951367781155,0.7781155015197568
900,Baltimore City,5665,Baltimore City Precinct 10-003,789,4761,71,79,6,44,5665,1,0.13927625772285968,0.840423654015887,0.012533097969991174,0.007766990291262136,5580,0.013945278022947925,0.001059135039717564,0.9849955869373345
901,Baltimore City,836,Baltimore City Precinct 03-002,231,487,43,130,18,75,836,1,0.27631578947368424,0.5825358851674641,0.05143540669856459,0.08971291866028708,688,0.15550239234449761,0.0215311004784689,0.8229665071770335
913,Baltimore City,2765,Baltimore City Precinct 07-004,124,2450,119,376,20,72,2765,1,0.04484629294755877,0.8860759493670886,0.043037974683544304,0.026039783001808318,2369,0.1359855334538879,0.007233273056057866,0.8567811934900542
914,Baltimore City,3497,Baltimore City Precinct 26-010,1389,683,1290,441,121,135,3497,1,0.3971975979410924,0.1953102659422362,0.3688876179582499,0.0386045181584215,2935,0.12610809265084358,0.03460108664569631,0.8392908207034601
915,Baltimore City,923,Baltimore City Precinct 26-012,85,564,203,118,6,71,923,1,0.09209100758396534,0.6110509209100758,0.2199349945828819,0.07692307692307693,799,0.12784398699891658,0.0065005417118093175,0.8656554712892741
916,Baltimore City,3245,Baltimore City Precinct 08-010,18,3159,33,689,36,35,3245,1,0.005546995377503852,0.973497688751926,0.010169491525423728,0.01078582434514638,2520,0.212326656394453,0.011093990755007704,0.7765793528505393
917,Baltimore City,577,Baltimore City Precinct 08-011,13,548,4,138,3,12,577,1,0.022530329289428077,0.949740034662045,0.006932409012131715,0.02079722703639515,436,0.2391681109185442,0.005199306759098787,0.755632582322357
918,Baltimore City,1998,Baltimore City Precinct 08-003,70,1883,18,373,17,27,1998,1,0.035035035035035036,0.9424424424424425,0.009009009009009009,0.013513513513513514,1608,0.1866866866866867,0.00850850850850851,0.8048048048048048
919,Baltimore City,1675,Baltimore City Precinct 26-019,143,1472,16,433,18,44,1675,1,0.0853731343283582,0.8788059701492538,0.00955223880597015,0.02626865671641791,1224,0.25850746268656716,0.010746268656716417,0.7307462686567164
920,Baltimore City,783,Baltimore City Precinct 26-020,50,719,7,192,10,7,783,1,0.06385696040868455,0.9182630906768838,0.008939974457215836,0.008939974457215836,581,0.24521072796934865,0.01277139208173691,0.7420178799489144
921,Baltimore City,1709,Baltimore City Precinct 26-011,785,268,560,132,45,96,1709,1,0.4593329432416618,0.15681685196021064,0.32767700409596257,0.056173200702165006,1532,0.07723815096547688,0.02633118782913985,0.8964306612053833
922,Baltimore City,1355,Baltimore City Precinct 26-013,1074,54,195,151,98,32,1355,1,0.792619926199262,0.03985239852398524,0.14391143911439114,0.023616236162361623,1106,0.11143911439114391,0.07232472324723248,0.8162361623616237
923,Baltimore City,339,Baltimore City Precinct 26-017,33,280,10,155,8,16,339,1,0.09734513274336283,0.8259587020648967,0.029498525073746312,0.0471976401179941,176,0.45722713864306785,0.02359882005899705,0.5191740412979351
924,Baltimore City,2928,Baltimore City Precinct 26-018,256,2613,25,725,31,34,2928,1,0.08743169398907104,0.8924180327868853,0.00853825136612022,0.011612021857923498,2172,0.24760928961748635,0.01058743169398907,0.7418032786885246
925,Baltimore City,1249,Baltimore City Precinct 26-016,74,1115,6,321,10,54,1249,1,0.059247397918334666,0.8927141713370697,0.004803843074459567,0.04323458767013611,918,0.2570056044835869,0.008006405124099279,0.7349879903923139
982,Baltimore City,2683,Baltimore City Precinct 26-024,242,2170,23,461,22,248,2683,1,0.09019754006708908,0.8087961237420798,0.008572493477450614,0.09243384271338054,2200,0.17182258665672753,0.008199776369735371,0.8199776369735371
983,Baltimore City,2299,Baltimore City Precinct 26-025,146,1992,28,332,21,133,2299,1,0.06350587211831231,0.8664636798608091,0.012179208351457155,0.05785123966942149,1946,0.14441061331013483,0.009134406263592866,0.8464549804262723
984,Baltimore City,1812,Baltimore City Precinct 26-026,482,1240,48,419,38,42,1812,1,0.26600441501103755,0.6843267108167771,0.026490066225165563,0.023178807947019868,1355,0.2312362030905077,0.02097130242825607,0.7477924944812362
985,Baltimore City,2585,Baltimore City Precinct 27-005,1273,1168,45,726,105,99,2585,1,0.49245647969052225,0.4518375241779497,0.017408123791102514,0.03829787234042553,1754,0.28085106382978725,0.04061895551257253,0.6785299806576403
986,Baltimore City,3355,Baltimore City Precinct 27-006,959,2259,52,803,71,85,3355,1,0.28584202682563337,0.6733233979135619,0.015499254843517139,0.02533532041728763,2481,0.23934426229508196,0.021162444113263786,0.7394932935916543
987,Baltimore City,780,Baltimore City Precinct 27-019,33,725,17,178,6,5,780,1,0.04230769230769231,0.9294871794871795,0.021794871794871794,0.00641025641025641,596,0.2282051282051282,0.007692307692307693,0.764102564102564
988,Baltimore City,2289,Baltimore City Precinct 27-015,400,1768,63,573,39,58,2289,1,0.17474879860200962,0.7723896898208825,0.027522935779816515,0.025338575797291395,1677,0.2503276539973788,0.01703800786369594,0.7326343381389253
992,Baltimore City,2647,Baltimore City Precinct 27-014,1453,1028,61,788,168,105,2647,1,0.5489233094068757,0.38836418587079713,0.0230449565545901,0.039667548167737064,1691,0.297695504344541,0.0634680770683793,0.6388364185870797
993,Baltimore City,3409,Baltimore City Precinct 27-013,915,2303,118,691,99,73,3409,1,0.26840715752420063,0.675564681724846,0.034614256380170134,0.02141390437078322,2619,0.2026987386330302,0.029040774420651217,0.7682604869463185
994,Baltimore City,1492,Baltimore City Precinct 27-009,843,537,50,499,91,62,1492,1,0.5650134048257373,0.3599195710455764,0.03351206434316354,0.04155495978552279,902,0.3344504021447721,0.06099195710455764,0.6045576407506702
995,Baltimore City,762,Baltimore City Precinct 27-012,550,153,42,191,58,17,762,1,0.7217847769028871,0.20078740157480315,0.05511811023622047,0.02230971128608924,513,0.25065616797900264,0.07611548556430446,0.6732283464566929
