,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,35,55,3,0,8,23,1090,1,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,989,0.03211009174311927,0.05045871559633028,0.0027522935779816515,0.0,0.007339449541284404,0.9073394495412844
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,37,80,6,0,20,43,1429,1,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,1286,0.02589223233030091,0.05598320503848846,0.004198740377886634,0.0,0.013995801259622114,0.8999300209937019
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,44,66,10,1,11,57,1467,1,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,1335,0.029993183367416496,0.044989775051124746,0.006816632583503749,0.0006816632583503749,0.007498295841854124,0.9100204498977505
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,47,30,6,3,19,26,985,1,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,880,0.047715736040609136,0.030456852791878174,0.006091370558375634,0.003045685279187817,0.019289340101522844,0.8934010152284264
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,4,2,0,1,4,17,502,1,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,491,0.00796812749003984,0.00398406374501992,0.0,0.00199203187250996,0.00796812749003984,0.9780876494023905
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,33,30,8,2,16,90,2426,1,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,2337,0.013602638087386645,0.01236603462489695,0.0032976092333058533,0.0008244023083264633,0.006595218466611707,0.9633140972794724
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,33,16,4,3,14,120,2095,1,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,2025,0.015751789976133652,0.0076372315035799524,0.0019093078758949881,0.001431980906921241,0.006682577565632458,0.9665871121718377
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,22,20,9,4,7,64,782,1,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,720,0.028132992327365727,0.02557544757033248,0.011508951406649617,0.005115089514066497,0.008951406649616368,0.9207161125319693
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,20,15,8,3,13,98,1623,1,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1564,0.012322858903265557,0.009242144177449169,0.004929143561306223,0.0018484288354898336,0.008009858287122612,0.9636475662353666
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,39,9,11,4,12,44,1434,1,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,1359,0.027196652719665274,0.006276150627615063,0.007670850767085077,0.002789400278940028,0.008368200836820083,0.9476987447698745
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,15,7,1,0,4,37,1562,1,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1535,0.009603072983354673,0.004481434058898848,0.0006402048655569782,0.0,0.002560819462227913,0.9827144686299616
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,73,60,12,0,24,44,1463,1,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,1294,0.04989747095010253,0.04101161995898838,0.008202323991797676,0.0,0.016404647983595352,0.8844839371155161
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,106,205,11,2,38,89,4697,1,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,4335,0.022567596338088143,0.04364487971045348,0.00234192037470726,0.0004258037044922291,0.008090270385352353,0.9229295294869065
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,79,31,12,6,28,162,3265,1,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,3109,0.02419601837672282,0.009494640122511486,0.003675344563552833,0.0018376722817764165,0.008575803981623277,0.9522205206738131
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,64,38,6,1,27,37,2660,1,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,2524,0.02406015037593985,0.014285714285714285,0.002255639097744361,0.00037593984962406017,0.010150375939849625,0.9488721804511279
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,59,22,4,1,19,9,1089,1,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,984,0.05417814508723599,0.020202020202020204,0.0036730945821854912,0.0009182736455463728,0.017447199265381085,0.9035812672176309
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,58,18,4,2,17,38,1595,1,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,1496,0.03636363636363636,0.01128526645768025,0.0025078369905956114,0.0012539184952978057,0.010658307210031349,0.9379310344827586
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,55,58,16,5,13,135,3555,1,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,3408,0.015471167369901548,0.01631504922644163,0.00450070323488045,0.0014064697609001407,0.0036568213783403658,0.9586497890295359
