,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,914,11,385,15,23,1090,1,0.13027522935779817,0.8385321100917431,0.010091743119266056,0.02110091743119266,690,0.3532110091743119,0.013761467889908258,0.6330275229357798
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,1033,31,490,59,43,1429,1,0.22533240027991602,0.7228831350594822,0.021693491952414275,0.030090972708187544,880,0.34289713086074175,0.041287613715885234,0.615815255423373
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,907,31,519,76,57,1467,1,0.321745057941377,0.6182685753237901,0.021131561008861623,0.03885480572597137,872,0.3537832310838446,0.051806407634628494,0.5944103612815269
559,Baltimore City,985,Baltimore City Precinct 26-030,419,511,29,334,83,26,985,1,0.42538071065989846,0.5187817258883248,0.029441624365482234,0.026395939086294416,568,0.33908629441624366,0.08426395939086294,0.5766497461928934
574,Baltimore City,502,Baltimore City Precinct 26-001,417,33,35,78,58,17,502,1,0.8306772908366534,0.06573705179282868,0.0697211155378486,0.03386454183266932,366,0.1553784860557769,0.11553784860557768,0.7290836653386454
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,789,539,544,117,90,2426,1,0.4154987633965375,0.32522671063478975,0.22217642209398186,0.03709810387469085,1765,0.22423742786479803,0.048227535037098104,0.7275350370981039
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,210,361,291,212,120,2095,1,0.6701670644391408,0.10023866348448687,0.17231503579952268,0.057279236276849645,1592,0.13890214797136038,0.10119331742243437,0.7599045346062052
581,Baltimore City,782,Baltimore City Precinct 26-005,514,71,133,132,87,64,782,1,0.6572890025575447,0.0907928388746803,0.170076726342711,0.08184143222506395,563,0.16879795396419436,0.11125319693094629,0.7199488491048593
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,134,293,258,161,98,1623,1,0.6765249537892791,0.08256315465187923,0.18052988293284042,0.06038200862600123,1204,0.1589648798521257,0.09919901417128774,0.7418361059765866
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,101,490,215,91,44,1434,1,0.5571827057182706,0.07043235704323571,0.3417015341701534,0.030683403068340307,1128,0.1499302649930265,0.06345885634588563,0.7866108786610879
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,136,339,178,108,37,1562,1,0.6722151088348272,0.08706786171574904,0.21702944942381563,0.023687580025608196,1276,0.11395646606914213,0.06914212548015365,0.8169014084507042
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,1277,26,614,17,44,1463,1,0.07928913192071087,0.872863978127136,0.0177717019822283,0.03007518796992481,832,0.41968557758031444,0.01161995898838004,0.5686944634313056
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,3916,95,1425,63,89,4697,1,0.12710240579093038,0.8337236533957846,0.02022567596338088,0.018948264849904195,3209,0.3033851394507132,0.013412816691505217,0.6832020438577816
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,1696,585,837,115,162,3265,1,0.2517611026033691,0.519448698315467,0.17917304747320062,0.04961715160796325,2313,0.2563552833078101,0.03522205206738132,0.7084226646248086
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,2484,65,1060,6,37,2660,1,0.027819548872180452,0.9338345864661655,0.02443609022556391,0.013909774436090226,1594,0.39849624060150374,0.002255639097744361,0.5992481203007519
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,1064,7,650,2,9,1089,1,0.008264462809917356,0.9770431588613406,0.006427915518824609,0.008264462809917356,437,0.5968778696051423,0.0018365472910927456,0.40128558310376494
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,1486,25,716,2,38,1595,1,0.02884012539184953,0.9316614420062695,0.01567398119122257,0.023824451410658306,877,0.4489028213166144,0.0012539184952978057,0.5498432601880878
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,746,104,609,389,135,3555,1,0.7229254571026723,0.20984528832630098,0.029254571026722926,0.0379746835443038,2557,0.17130801687763714,0.10942334739803095,0.719268635724332
811,Baltimore City,929,Baltimore City Precinct 20-009,527,341,34,215,48,27,929,1,0.5672766415500539,0.36706135629709363,0.03659849300322928,0.02906350914962325,666,0.23143164693218515,0.05166846071044134,0.7168998923573735
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,1001,8,483,3,12,1049,1,0.02669208770257388,0.9542421353670162,0.0076263107721639654,0.011439466158245948,563,0.4604385128693994,0.002859866539561487,0.5367016205910391
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,472,145,542,362,177,3568,1,0.7774663677130045,0.13228699551569506,0.0406390134529148,0.04960762331838565,2664,0.15190582959641255,0.10145739910313901,0.7466367713004485
814,Baltimore City,756,Baltimore City Precinct 20-010,333,353,45,164,29,25,756,1,0.44047619047619047,0.4669312169312169,0.05952380952380952,0.03306878306878307,563,0.21693121693121692,0.03835978835978836,0.7447089947089947
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,2229,6,956,6,33,2322,1,0.023255813953488372,0.9599483204134367,0.002583979328165375,0.014211886304909561,1360,0.4117140396210164,0.002583979328165375,0.5857019810508183
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,1287,65,603,63,103,2303,1,0.36821537125488496,0.5588363004776379,0.02822405557967868,0.04472427268779852,1637,0.26183239253148066,0.02735562310030395,0.7108119843682154
817,Baltimore City,950,Baltimore City Precinct 20-002,70,853,7,294,8,20,950,1,0.07368421052631578,0.8978947368421053,0.007368421052631579,0.021052631578947368,648,0.3094736842105263,0.008421052631578947,0.6821052631578948
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,1711,4,752,6,31,1760,1,0.007954545454545454,0.9721590909090909,0.0022727272727272726,0.017613636363636363,1002,0.42727272727272725,0.003409090909090909,0.5693181818181818
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,1891,15,841,9,34,1950,1,0.005128205128205128,0.9697435897435898,0.007692307692307693,0.017435897435897435,1100,0.43128205128205127,0.004615384615384616,0.5641025641025641
820,Baltimore City,240,Baltimore City Precinct 20-004,4,226,3,125,3,7,240,1,0.016666666666666666,0.9416666666666667,0.0125,0.029166666666666667,112,0.5208333333333334,0.0125,0.4666666666666667
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,1426,21,641,2,24,1495,1,0.016053511705685617,0.9538461538461539,0.014046822742474917,0.016053511705685617,852,0.4287625418060201,0.0013377926421404682,0.5698996655518395
822,Baltimore City,901,Baltimore City Precinct 26-031,516,339,13,243,116,33,901,1,0.5726970033296337,0.3762486126526082,0.014428412874583796,0.03662597114317425,542,0.26970033296337403,0.12874583795782463,0.6015538290788013
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,1388,38,883,240,101,2719,1,0.4383964692901802,0.5104817947774917,0.013975726369988967,0.03714600956233909,1596,0.32475174696579623,0.08826774549466716,0.5869805075395366
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,820,103,810,428,59,2670,1,0.6322097378277154,0.30711610486891383,0.03857677902621723,0.022097378277153558,1432,0.30337078651685395,0.16029962546816479,0.5363295880149813
828,Baltimore City,842,Baltimore City Precinct 27-010,645,155,22,222,160,20,842,1,0.7660332541567696,0.1840855106888361,0.026128266033254157,0.023752969121140142,460,0.26365795724465557,0.19002375296912113,0.5463182897862233
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,754,59,412,11,95,1038,1,0.1252408477842004,0.7263969171483622,0.05684007707129094,0.09152215799614644,615,0.3969171483622351,0.010597302504816955,0.5924855491329479
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,497,82,551,47,151,1718,1,0.5750873108265425,0.2892898719441211,0.047729918509895226,0.08789289871944121,1120,0.32072176949941794,0.027357392316647265,0.6519208381839348
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,1370,76,649,21,88,1916,1,0.19937369519832984,0.7150313152400835,0.03966597077244259,0.04592901878914405,1246,0.3387265135699374,0.010960334029227558,0.6503131524008351
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,181,220,164,96,66,1139,1,0.5899912203687445,0.15891132572431957,0.19315188762071994,0.05794556628621598,879,0.14398595258999122,0.08428446005267778,0.771729587357331
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,588,307,359,154,99,2273,1,0.5626924769027717,0.258688957325121,0.1350637923449186,0.04355477342718874,1760,0.15794104707435108,0.06775186977562693,0.774307083150022
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,905,52,394,42,58,1483,1,0.3155765340525961,0.6102494942683749,0.03506405933917734,0.03910991233985165,1047,0.26567768037761297,0.028320971004720162,0.706001348617667
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,334,135,176,75,43,1262,1,0.5942947702060222,0.26465927099841524,0.10697305863708399,0.03407290015847861,1011,0.13946117274167988,0.059429477020602216,0.8011093502377179
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,744,110,397,72,73,1628,1,0.4305896805896806,0.457002457002457,0.06756756756756757,0.04484029484029484,1159,0.24385749385749386,0.044226044226044224,0.711916461916462
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,525,115,392,144,159,2415,1,0.6691511387163561,0.21739130434782608,0.047619047619047616,0.06583850931677018,1879,0.16231884057971013,0.05962732919254658,0.7780538302277433
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,43,68,739,522,114,2673,1,0.9158249158249159,0.016086793864571642,0.02543958099513655,0.04264870931537598,1412,0.2764683875794987,0.19528619528619529,0.5282454171343061
889,Baltimore City,878,Baltimore City Precinct 24-002,775,30,29,242,168,44,878,1,0.8826879271070615,0.03416856492027335,0.03302961275626424,0.05011389521640091,468,0.275626423690205,0.19134396355353075,0.5330296127562643
890,Baltimore City,722,Baltimore City Precinct 24-001,632,41,18,239,126,31,722,1,0.8753462603878116,0.05678670360110803,0.024930747922437674,0.04293628808864266,357,0.33102493074792244,0.1745152354570637,0.49445983379501385
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,46,43,507,367,108,1728,1,0.8859953703703703,0.02662037037037037,0.02488425925925926,0.0625,854,0.2934027777777778,0.21238425925925927,0.49421296296296297
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,223,166,454,263,184,1994,1,0.7126379137412236,0.11183550651955868,0.08324974924774323,0.09227683049147442,1277,0.22768304914744233,0.13189568706118354,0.6404212637913741
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,60,58,865,685,113,3017,1,0.9234338747099768,0.019887305270135897,0.0192243950944647,0.03745442492542261,1467,0.2867086509777925,0.22704673516738483,0.48624461385482265
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,106,164,689,282,198,2635,1,0.8223908918406072,0.040227703984819736,0.06223908918406072,0.07514231499051234,1664,0.26148007590132827,0.10702087286527515,0.6314990512333966
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,157,396,544,182,119,2074,1,0.6759884281581485,0.07569913211186113,0.1909353905496625,0.05737704918032787,1348,0.26229508196721313,0.08775313404050145,0.6499517839922855
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,102,203,609,223,106,2117,1,0.8058573452999528,0.048181388757675955,0.0958904109589041,0.050070854983467174,1285,0.2876712328767123,0.10533774208786018,0.6069910250354275
