,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,250,16,948,1090,1.0,0.13027522935779817,0.8697247706422019,824,0.22935779816513763,0.014678899082568808,0.7559633027522936
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,357,49,1107,1429,1.0,0.22533240027991602,0.7746675997200839,1023,0.2498250524842547,0.034289713086074175,0.7158852344296711
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,364,42,995,1467,1.0,0.321745057941377,0.678254942058623,1061,0.24812542603953647,0.028629856850715747,0.7232447171097478
559,Baltimore City,985,Baltimore City Precinct 26-030,419,286,60,566,985,1.0,0.42538071065989846,0.5746192893401015,639,0.29035532994923857,0.06091370558375635,0.6487309644670051
574,Baltimore City,502,Baltimore City Precinct 26-001,417,63,77,85,502,1.0,0.8306772908366534,0.1693227091633466,362,0.1254980079681275,0.15338645418326693,0.7211155378486056
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,413,99,1418,2426,1.0,0.4154987633965375,0.5845012366034625,1914,0.17023907666941468,0.04080791426215993,0.7889530090684254
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,233,251,691,2095,1.0,0.6701670644391408,0.3298329355608592,1611,0.11121718377088305,0.1198090692124105,0.7689737470167064
581,Baltimore City,782,Baltimore City Precinct 26-005,514,115,74,268,782,1.0,0.6572890025575447,0.34271099744245526,593,0.14705882352941177,0.09462915601023018,0.7583120204603581
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,173,168,525,1623,1.0,0.6765249537892791,0.3234750462107209,1282,0.10659272951324707,0.10351201478743069,0.7898952556993223
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,248,155,635,1434,1.0,0.5571827057182706,0.44281729428172945,1031,0.17294281729428174,0.10808926080892609,0.7189679218967922
584,Baltimore City,1562,Baltimore City Precinct 26-014,1050,141,152,512,1562,1.0,0.6722151088348272,0.32778489116517284,1269,0.09026888604353393,0.0973111395646607,0.8124199743918054
585,Baltimore City,1463,Baltimore City Precinct 26-015,116,463,19,1347,1463,1.0,0.07928913192071087,0.9207108680792891,981,0.316473000683527,0.012987012987012988,0.67053998632946
586,Baltimore City,4697,Baltimore City Precinct 26-029,597,1051,44,4100,4697,1.0,0.12710240579093038,0.8728975942090696,3602,0.22375984671066637,0.00936768149882904,0.7668724717905046
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,653,117,2443,3265,1.0,0.2517611026033691,0.748238897396631,2495,0.2,0.035834609494640124,0.7641653905053599
