,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
556,Baltimore City,1090,Baltimore City Precinct 26-028,142,248,16,948,1090,1.0,0.13027522935779817,0.8697247706422019,826,0.22752293577981653,0.014678899082568808,0.7577981651376147
557,Baltimore City,1429,Baltimore City Precinct 26-027,322,341,53,1107,1429,1.0,0.22533240027991602,0.7746675997200839,1035,0.23862841147655703,0.0370888733379986,0.7242827151854444
558,Baltimore City,1467,Baltimore City Precinct 27-007,472,349,52,995,1467,1.0,0.321745057941377,0.678254942058623,1066,0.23790047716428084,0.0354464894342195,0.7266530334014997
559,Baltimore City,985,Baltimore City Precinct 26-030,419,287,56,566,985,1.0,0.42538071065989846,0.5746192893401015,642,0.2913705583756345,0.05685279187817259,0.6517766497461929
574,Baltimore City,502,Baltimore City Precinct 26-001,417,77,61,85,502,1.0,0.8306772908366534,0.1693227091633466,364,0.15338645418326693,0.12151394422310757,0.7250996015936255
575,Baltimore City,2426,Baltimore City Precinct 26-002,1008,407,91,1418,2426,1.0,0.4154987633965375,0.5845012366034625,1928,0.16776586974443528,0.03751030502885408,0.7947238252267106
576,Baltimore City,2095,Baltimore City Precinct 26-003,1404,240,233,691,2095,1.0,0.6701670644391408,0.3298329355608592,1622,0.11455847255369929,0.11121718377088305,0.7742243436754177
581,Baltimore City,782,Baltimore City Precinct 26-005,514,115,71,268,782,1.0,0.6572890025575447,0.34271099744245526,596,0.14705882352941177,0.0907928388746803,0.7621483375959079
582,Baltimore City,1623,Baltimore City Precinct 26-004,1098,200,146,525,1623,1.0,0.6765249537892791,0.3234750462107209,1277,0.12322858903265557,0.08995686999383858,0.7868145409735059
583,Baltimore City,1434,Baltimore City Precinct 26-007,799,234,183,635,1434,1.0,0.5571827057182706,0.44281729428172945,1017,0.16317991631799164,0.12761506276150628,0.7092050209205021
