,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,417,428,276,2889,1,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,2044,0.14434060228452752,0.14814814814814814,0.7075112495673244
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,683,450,471,4130,1,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,2997,0.16537530266343825,0.1089588377723971,0.7256658595641646
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,170,152,158,1265,1,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,943,0.13438735177865613,0.12015810276679842,0.7454545454545455
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,449,429,101,3157,1,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,2279,0.14222363002850807,0.13588850174216027,0.7218878682293316
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,1032,736,522,5523,1,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,3755,0.1868549701249321,0.13326090892630815,0.6798841209487597
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,169,355,34,1411,1,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,887,0.11977321048901489,0.2515946137491141,0.628632175761871
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,591,295,298,6204,1,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,5318,0.09526112185686654,0.04754996776273372,0.8571889103803998
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,511,658,277,3736,1,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,2567,0.13677730192719487,0.17612419700214133,0.6870985010706638
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,621,872,220,2316,1,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,823,0.26813471502590674,0.3765112262521589,0.3553540587219344
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,353,531,202,2818,1,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,1934,0.12526614620298085,0.18843151171043293,0.6863023420865862
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,251,521,62,2037,1,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,1265,0.12322042218949436,0.2557682866961217,0.6210112911143839
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,535,707,434,3470,1,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,2228,0.15417867435158503,0.2037463976945245,0.6420749279538905
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,353,546,323,2386,1,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,1487,0.1479463537300922,0.22883487007544007,0.6232187761944677
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,46,41,417,1351,69,4029,1,0.9612807148175726,0.011417225117895259,0.010176222387689253,0.01712583767684289,2261,0.10349962769918093,0.33531893770166293,0.5611814345991561
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,40,30,448,742,94,2502,1,0.9344524380495604,0.01598721023181455,0.011990407673860911,0.037569944044764186,1312,0.17905675459632295,0.2965627498001599,0.5243804956035172
439,Baltimore County,300,Baltimore County Precinct 10-005,276,1,6,63,113,17,300,1,0.92,0.0033333333333333335,0.02,0.056666666666666664,124,0.21,0.37666666666666665,0.41333333333333333
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,11,25,177,361,44,1364,1,0.9413489736070382,0.008064516129032258,0.018328445747800588,0.03225806451612903,826,0.12976539589442815,0.26466275659824046,0.6055718475073314
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,14,45,319,814,53,3090,1,0.9637540453074434,0.004530744336569579,0.014563106796116505,0.01715210355987055,1957,0.10323624595469255,0.2634304207119741,0.6333333333333333
