,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,453,365,276,2889,1,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,2071,0.15680166147455868,0.12634129456559362,0.7168570439598477
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,541,433,471,4130,1,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,3156,0.13099273607748185,0.10484261501210654,0.7641646489104116
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,139,160,158,1265,1,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,966,0.10988142292490119,0.12648221343873517,0.7636363636363637
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,513,335,101,3157,1,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,2309,0.16249604054482103,0.10611339879632563,0.7313905606588533
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,1022,688,522,5523,1,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,3813,0.1850443599493029,0.12456998008328807,0.690385659967409
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,253,288,34,1411,1,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,870,0.1793054571226081,0.20411055988660523,0.6165839829907866
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,526,349,298,6204,1,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,5329,0.08478401031592521,0.05625402965828498,0.8589619600257898
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,604,624,277,3736,1,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,2508,0.16167023554603854,0.1670235546038544,0.671306209850107
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,826,827,220,2316,1,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,663,0.35664939550949915,0.35708117443868737,0.2862694300518135
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,484,500,202,2818,1,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,1834,0.1717530163236338,0.177430801987225,0.6508161816891412
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,384,414,62,2037,1,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,1239,0.18851251840942562,0.203240058910162,0.6082474226804123
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,450,526,434,3470,1,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,2494,0.12968299711815562,0.1515850144092219,0.7187319884726224
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,353,424,323,2386,1,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,1609,0.1479463537300922,0.1777032690695725,0.6743503772003353
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,46,41,775,1171,69,4029,1,0.9612807148175726,0.011417225117895259,0.010176222387689253,0.01712583767684289,2083,0.192355423181931,0.29064283941424673,0.5170017374038223
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,40,30,648,706,94,2502,1,0.9344524380495604,0.01598721023181455,0.011990407673860911,0.037569944044764186,1148,0.2589928057553957,0.2821742605915268,0.45883293365307753
439,Baltimore County,300,Baltimore County Precinct 10-005,276,1,6,104,82,17,300,1,0.92,0.0033333333333333335,0.02,0.056666666666666664,114,0.3466666666666667,0.2733333333333333,0.38
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,11,25,376,449,44,1364,1,0.9413489736070382,0.008064516129032258,0.018328445747800588,0.03225806451612903,539,0.2756598240469208,0.3291788856304985,0.3951612903225806
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,14,45,706,924,53,3090,1,0.9637540453074434,0.004530744336569579,0.014563106796116505,0.01715210355987055,1460,0.2284789644012945,0.29902912621359223,0.47249190938511326
445,Baltimore County,3678,Baltimore County Precinct 15-007,2778,748,78,549,408,74,3678,1,0.7553017944535073,0.20337139749864055,0.021207177814029365,0.02011963023382273,2721,0.14926590538336051,0.11092985318107668,0.7398042414355628
446,Baltimore County,2060,Baltimore County Precinct 15-025,1956,44,30,422,568,30,2060,1,0.9495145631067962,0.021359223300970873,0.014563106796116505,0.014563106796116505,1070,0.20485436893203884,0.2757281553398058,0.5194174757281553
447,Baltimore County,3091,Baltimore County Precinct 15-008,2496,440,85,531,504,70,3091,1,0.8075056615981883,0.1423487544483986,0.027499191200258816,0.022646392753154318,2056,0.1717890650274992,0.16305402782271108,0.6651569071497897
448,Baltimore County,2662,Baltimore County Precinct 15-006,2499,93,24,516,686,46,2662,1,0.9387678437265214,0.03493613824192337,0.009015777610818933,0.01728024042073629,1460,0.19383921863260706,0.2577009767092412,0.5484598046581518
449,Baltimore County,2544,Baltimore County Precinct 11-004,1999,204,52,375,470,289,2544,1,0.7857704402515723,0.08018867924528301,0.020440251572327043,0.11360062893081761,1699,0.1474056603773585,0.18474842767295596,0.6678459119496856
450,Baltimore County,86,Baltimore County Precinct 11-020,73,7,6,17,25,0,86,1,0.8488372093023255,0.08139534883720931,0.06976744186046512,0.0,44,0.19767441860465115,0.29069767441860467,0.5116279069767442
560,Baltimore County,3508,Baltimore County Precinct 15-022,3315,81,38,594,677,74,3508,1,0.9449828962371721,0.023090079817559863,0.010832383124287344,0.021094640820980615,2237,0.169327251995439,0.19298745724059294,0.6376852907639681
561,Baltimore County,4160,Baltimore County Precinct 15-021,3797,226,43,713,824,94,4160,1,0.9127403846153846,0.05432692307692308,0.010336538461538461,0.022596153846153846,2623,0.17139423076923077,0.19807692307692307,0.6305288461538462
562,Baltimore County,4692,Baltimore County Precinct 15-020,4264,226,97,625,663,105,4692,1,0.9087809036658141,0.04816709292412617,0.020673486786018755,0.02237851662404092,3404,0.13320545609548168,0.14130434782608695,0.7254901960784313
563,Baltimore County,2809,Baltimore County Precinct 15-015,2416,180,87,312,405,126,2809,1,0.8600925596297615,0.06407974368102527,0.03097187611249555,0.04485582057671769,2092,0.11107155571377715,0.14417942328230687,0.7447490210039159
564,Baltimore County,1897,Baltimore County Precinct 15-013,1758,41,30,327,378,68,1897,1,0.926726410121244,0.02161307327358988,0.0158144438587243,0.03584607274644175,1192,0.1723774380600949,0.1992619926199262,0.628360569319979
565,Baltimore County,2156,Baltimore County Precinct 15-012,1954,58,61,406,396,83,2156,1,0.9063079777365491,0.026901669758812616,0.02829313543599258,0.03849721706864564,1354,0.18831168831168832,0.1836734693877551,0.6280148423005566
566,Baltimore County,3144,Baltimore County Precinct 15-016,2489,372,123,322,352,160,3144,1,0.7916666666666666,0.1183206106870229,0.039122137404580155,0.05089058524173028,2470,0.10241730279898219,0.11195928753180662,0.7856234096692112
567,Baltimore County,3506,Baltimore County Precinct 15-017,1421,1699,274,635,220,112,3506,1,0.40530519110096974,0.48459783228750714,0.07815173987450086,0.03194523673702225,2651,0.1811180832857958,0.06274957216200798,0.7561323445521962
568,Baltimore County,5453,Baltimore County Precinct 15-023,1748,3206,284,654,141,215,5453,1,0.3205574912891986,0.5879332477535302,0.0520814230698698,0.03942783788740143,4658,0.11993398129470016,0.025857326242435356,0.8542086924628645
569,Baltimore County,975,Baltimore County Precinct 15-024,813,86,30,146,126,46,975,1,0.8338461538461538,0.0882051282051282,0.03076923076923077,0.04717948717948718,703,0.14974358974358976,0.12923076923076923,0.721025641025641
570,Baltimore County,2919,Baltimore County Precinct 15-018,2086,569,156,431,386,108,2919,1,0.7146282973621103,0.19492977046933882,0.05344295991778006,0.03699897225077081,2102,0.1476533059266872,0.13223706748886604,0.7201096265844468
571,Baltimore County,3443,Baltimore County Precinct 15-019,3220,122,46,469,606,55,3443,1,0.9352309032820215,0.03543421434795237,0.01336044147545745,0.01597444089456869,2368,0.13621841417368574,0.17600929422015685,0.6877722916061574
572,Baltimore County,1739,Baltimore County Precinct 15-026,1696,7,12,379,533,24,1739,1,0.9752731454859115,0.0040253018976423235,0.006900517538815411,0.013801035077630822,827,0.21794134560092007,0.3064979873490512,0.47556066705002875
573,Baltimore County,2441,Baltimore County Precinct 12-012,2188,111,71,344,382,71,2441,1,0.8963539532978287,0.0454731667349447,0.029086439983613273,0.029086439983613273,1715,0.14092585006145023,0.15649324047521507,0.7025809094633347
