,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,46,75,63,276,2889,1,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,2705,0.015922464520595363,0.02596053997923157,0.021806853582554516,0.9363101419176185
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,59,75,83,471,4130,1,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,3913,0.014285714285714285,0.018159806295399514,0.02009685230024213,0.9474576271186441
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,14,33,21,158,1265,1,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,1197,0.011067193675889328,0.02608695652173913,0.016600790513833993,0.9462450592885375
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,59,103,70,101,3157,1,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,2925,0.018688628444726005,0.032625910674691165,0.022172949002217297,0.9265125118783656
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,157,152,114,522,5523,1,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,5100,0.028426579757378237,0.027521274669563642,0.020640956002172733,0.9234111895708854
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,32,77,41,34,1411,1,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,1261,0.022678951098511695,0.05457122608079376,0.029057406094968107,0.8936924167257264
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,62,62,67,298,6204,1,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,6013,0.009993552546744036,0.009993552546744036,0.010799484203739523,0.9692134107027724
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,54,142,98,277,3736,1,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,3442,0.014453961456102784,0.03800856531049251,0.026231263383297645,0.921306209850107
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,76,154,121,220,2316,1,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,1965,0.03281519861830743,0.06649395509499137,0.05224525043177893,0.8484455958549223
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,42,105,59,202,2818,1,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,2612,0.014904187366926898,0.03726046841731725,0.020936834634492547,0.9268985095812633
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,32,89,68,62,2037,1,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,1848,0.015709376534118802,0.043691703485517916,0.033382425135002454,0.9072164948453608
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,45,75,45,434,3470,1,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,3305,0.012968299711815562,0.021613832853025938,0.012968299711815562,0.952449567723343
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,34,67,42,323,2386,1,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,2243,0.014249790444258172,0.028080469404861693,0.01760268231349539,0.9400670578373848
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,46,41,36,155,99,69,4029,1,0.9612807148175726,0.011417225117895259,0.010176222387689253,0.01712583767684289,3739,0.008935219657483246,0.0384710846363862,0.024571854058078928,0.9280218416480516
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,40,30,38,59,70,94,2502,1,0.9344524380495604,0.01598721023181455,0.011990407673860911,0.037569944044764186,2335,0.015187849720223821,0.02358113509192646,0.027977617905675458,0.9332533972821743
439,Baltimore County,300,Baltimore County Precinct 10-005,276,1,6,2,19,16,17,300,1,0.92,0.0033333333333333335,0.02,0.056666666666666664,263,0.006666666666666667,0.06333333333333334,0.05333333333333334,0.8766666666666667
440,Baltimore County,1364,Baltimore County Precinct 10-003,1284,11,25,24,68,52,44,1364,1,0.9413489736070382,0.008064516129032258,0.018328445747800588,0.03225806451612903,1220,0.017595307917888565,0.04985337243401759,0.03812316715542522,0.8944281524926686
442,Baltimore County,3090,Baltimore County Precinct 11-002,2978,14,45,36,92,98,53,3090,1,0.9637540453074434,0.004530744336569579,0.014563106796116505,0.01715210355987055,2864,0.011650485436893204,0.02977346278317152,0.03171521035598705,0.9268608414239482
445,Baltimore County,3678,Baltimore County Precinct 15-007,2778,748,78,89,92,77,74,3678,1,0.7553017944535073,0.20337139749864055,0.021207177814029365,0.02011963023382273,3420,0.024197933659597607,0.025013594344752584,0.020935290918977705,0.9298531810766721
446,Baltimore County,2060,Baltimore County Precinct 15-025,1956,44,30,26,119,61,30,2060,1,0.9495145631067962,0.021359223300970873,0.014563106796116505,0.014563106796116505,1854,0.01262135922330097,0.05776699029126214,0.029611650485436892,0.9
447,Baltimore County,3091,Baltimore County Precinct 15-008,2496,440,85,60,93,62,70,3091,1,0.8075056615981883,0.1423487544483986,0.027499191200258816,0.022646392753154318,2876,0.019411193788417987,0.03008735037204788,0.020058233581365253,0.9304432222581689
448,Baltimore County,2662,Baltimore County Precinct 15-006,2499,93,24,30,134,95,46,2662,1,0.9387678437265214,0.03493613824192337,0.009015777610818933,0.01728024042073629,2403,0.011269722013523666,0.05033809166040571,0.035687453042824946,0.9027047332832456
449,Baltimore County,2544,Baltimore County Precinct 11-004,1999,204,52,23,53,23,289,2544,1,0.7857704402515723,0.08018867924528301,0.020440251572327043,0.11360062893081761,2445,0.009040880503144654,0.020833333333333332,0.009040880503144654,0.9610849056603774
450,Baltimore County,86,Baltimore County Precinct 11-020,73,7,6,3,7,2,0,86,1,0.8488372093023255,0.08139534883720931,0.06976744186046512,0.0,74,0.03488372093023256,0.08139534883720931,0.023255813953488372,0.8604651162790697
560,Baltimore County,3508,Baltimore County Precinct 15-022,3315,81,38,54,198,141,74,3508,1,0.9449828962371721,0.023090079817559863,0.010832383124287344,0.021094640820980615,3115,0.01539338654503991,0.056442417331812995,0.040193842645381984,0.8879703534777651
561,Baltimore County,4160,Baltimore County Precinct 15-021,3797,226,43,81,192,124,94,4160,1,0.9127403846153846,0.05432692307692308,0.010336538461538461,0.022596153846153846,3763,0.019471153846153846,0.046153846153846156,0.02980769230769231,0.9045673076923076
562,Baltimore County,4692,Baltimore County Precinct 15-020,4264,226,97,51,177,140,105,4692,1,0.9087809036658141,0.04816709292412617,0.020673486786018755,0.02237851662404092,4324,0.010869565217391304,0.037723785166240406,0.029838022165387893,0.9215686274509803
563,Baltimore County,2809,Baltimore County Precinct 15-015,2416,180,87,32,66,66,126,2809,1,0.8600925596297615,0.06407974368102527,0.03097187611249555,0.04485582057671769,2645,0.011391954432182272,0.023495906016375936,0.023495906016375936,0.9416162335350658
564,Baltimore County,1897,Baltimore County Precinct 15-013,1758,41,30,28,83,65,68,1897,1,0.926726410121244,0.02161307327358988,0.0158144438587243,0.03584607274644175,1721,0.014760147601476014,0.043753294675803904,0.03426462836056932,0.9072219293621507
565,Baltimore County,2156,Baltimore County Precinct 15-012,1954,58,61,43,105,55,83,2156,1,0.9063079777365491,0.026901669758812616,0.02829313543599258,0.03849721706864564,1953,0.019944341372912802,0.048701298701298704,0.025510204081632654,0.9058441558441559
566,Baltimore County,3144,Baltimore County Precinct 15-016,2489,372,123,34,84,51,160,3144,1,0.7916666666666666,0.1183206106870229,0.039122137404580155,0.05089058524173028,2975,0.010814249363867684,0.026717557251908396,0.016221374045801526,0.9462468193384224
567,Baltimore County,3506,Baltimore County Precinct 15-017,1421,1699,274,129,81,46,112,3506,1,0.40530519110096974,0.48459783228750714,0.07815173987450086,0.03194523673702225,3250,0.03679406731317741,0.023103251568739304,0.013120365088419851,0.9269823160296634
568,Baltimore County,5453,Baltimore County Precinct 15-023,1748,3206,284,112,40,60,215,5453,1,0.3205574912891986,0.5879332477535302,0.0520814230698698,0.03942783788740143,5241,0.02053915275994865,0.007335411699981661,0.011003117549972493,0.9611223179900972
569,Baltimore County,975,Baltimore County Precinct 15-024,813,86,30,23,27,26,46,975,1,0.8338461538461538,0.0882051282051282,0.03076923076923077,0.04717948717948718,899,0.02358974358974359,0.027692307692307693,0.02666666666666667,0.9220512820512821
570,Baltimore County,2919,Baltimore County Precinct 15-018,2086,569,156,50,88,54,108,2919,1,0.7146282973621103,0.19492977046933882,0.05344295991778006,0.03699897225077081,2727,0.0171291538198013,0.03014731072285029,0.018499486125385406,0.934224049331963
571,Baltimore County,3443,Baltimore County Precinct 15-019,3220,122,46,31,149,102,55,3443,1,0.9352309032820215,0.03543421434795237,0.01336044147545745,0.01597444089456869,3161,0.009003775776938717,0.04327621260528609,0.029625326749927388,0.9180946848678478
