,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,207,611,276,2889,1,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,2071,0.07165109034267912,0.21149186569747316,0.7168570439598477
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,309,663,471,4130,1,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,3158,0.074818401937046,0.16053268765133172,0.7646489104116223
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,63,235,158,1265,1,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,967,0.04980237154150197,0.1857707509881423,0.7644268774703558
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,271,576,101,3157,1,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,2310,0.08584098828001267,0.1824516946468166,0.7317073170731707
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,626,1088,522,5523,1,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,3809,0.11334419699438711,0.19699438710845554,0.6896614158971573
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,88,451,34,1411,1,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,872,0.06236711552090716,0.3196314670446492,0.6180014174344437
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,345,524,298,6204,1,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,5335,0.05560928433268859,0.08446163765312702,0.8599290780141844
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,227,1025,277,3736,1,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,2484,0.06076017130620985,0.2743576017130621,0.6648822269807281
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,325,1361,220,2316,1,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,630,0.14032815198618306,0.5876511226252159,0.27202072538860106
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,166,831,202,2818,1,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,1821,0.058907026259758695,0.2948899929027679,0.6462029808374734
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,133,679,62,2037,1,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,1225,0.06529209621993128,0.3333333333333333,0.6013745704467354
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,196,784,434,3470,1,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,2490,0.05648414985590778,0.22593659942363112,0.7175792507204611
436,Baltimore County,2386,Baltimore County Precinct 11-005,1880,133,50,125,671,323,2386,1,0.787929589270746,0.055741827326068735,0.020955574182732608,0.13537300922045264,1590,0.052388935456831515,0.2812238055322716,0.6663872590108969
437,Baltimore County,4029,Baltimore County Precinct 11-003,3873,46,41,186,1785,69,4029,1,0.9612807148175726,0.011417225117895259,0.010176222387689253,0.01712583767684289,2058,0.04616530156366344,0.4430379746835443,0.5107967237527923
438,Baltimore County,2502,Baltimore County Precinct 11-001,2338,40,30,280,1067,94,2502,1,0.9344524380495604,0.01598721023181455,0.011990407673860911,0.037569944044764186,1155,0.11191047162270183,0.42645883293365305,0.4616306954436451
439,Baltimore County,300,Baltimore County Precinct 10-005,276,1,6,40,145,17,300,1,0.92,0.0033333333333333335,0.02,0.056666666666666664,115,0.13333333333333333,0.48333333333333334,0.38333333333333336
