,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
424,Baltimore County,2889,Baltimore County Precinct 11-019,2270,282,61,408,560,276,2889,1,0.7857390100380754,0.0976116303219107,0.021114572516441676,0.09553478712357218,1921,0.14122533748701974,0.19383869851159571,0.6649359640013845
425,Baltimore County,4130,Baltimore County Precinct 14-003,2875,634,150,608,606,471,4130,1,0.6961259079903148,0.15351089588377723,0.03631961259079903,0.11404358353510896,2916,0.14721549636803874,0.1467312348668281,0.7060532687651332
426,Baltimore County,1265,Baltimore County Precinct 11-013,891,162,54,175,209,158,1265,1,0.7043478260869566,0.12806324110671938,0.042687747035573126,0.12490118577075099,881,0.1383399209486166,0.16521739130434782,0.6964426877470355
427,Baltimore County,3157,Baltimore County Precinct 15-010,2444,510,102,556,586,101,3157,1,0.774152676591701,0.16154577130186887,0.03230915426037377,0.031992397846056383,2015,0.1761165663604688,0.1856192587899905,0.6382641748495407
428,Baltimore County,5523,Baltimore County Precinct 15-005,2822,1710,469,1157,883,522,5523,1,0.5109541915625566,0.309614340032591,0.08491761723700887,0.09451385116784357,3483,0.20948759732029695,0.1598768785080572,0.6306355241716458
429,Baltimore County,1411,Baltimore County Precinct 15-009,1311,38,28,182,415,34,1411,1,0.9291282778171509,0.026931254429482635,0.019844082211197732,0.024096385542168676,814,0.12898653437278526,0.29411764705882354,0.5768958185683912
430,Baltimore County,6204,Baltimore County Precinct 15-004,4276,1238,392,710,375,298,6204,1,0.6892327530625403,0.19954867827208253,0.06318504190844616,0.04803352675693101,5119,0.11444229529335913,0.06044487427466151,0.8251128304319794
431,Baltimore County,3736,Baltimore County Precinct 11-012,3099,275,85,438,875,277,3736,1,0.8294967880085653,0.07360813704496788,0.022751605995717343,0.07414346895074947,2423,0.11723768736616702,0.23420770877944325,0.6485546038543897
432,Baltimore County,2316,Baltimore County Precinct 11-007,1947,97,52,628,1040,220,2316,1,0.8406735751295337,0.041882556131260795,0.022452504317789293,0.09499136442141623,648,0.2711571675302245,0.44905008635578586,0.27979274611398963
433,Baltimore County,2818,Baltimore County Precinct 11-014,2465,96,55,336,669,202,2818,1,0.8747338537970192,0.034066713981547196,0.019517388218594747,0.0716820440028389,1813,0.11923349893541518,0.23740241305890702,0.6433640880056778
434,Baltimore County,2037,Baltimore County Precinct 11-006,1892,44,39,255,613,62,2037,1,0.9288168875797742,0.021600392734413353,0.01914580265095729,0.03043691703485518,1169,0.1251840942562592,0.3009327442317133,0.5738831615120275
435,Baltimore County,3470,Baltimore County Precinct 11-022,2749,221,66,456,765,434,3470,1,0.7922190201729107,0.06368876080691642,0.019020172910662825,0.1250720461095101,2249,0.1314121037463977,0.22046109510086456,0.6481268011527378
