,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,77,28,51,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,2536,0.028603268945022287,0.010401188707280832,0.018945022288261514,0.9420505200594353
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,73,20,64,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,2496,0.02751601960045232,0.007538635506973238,0.02412363362231436,0.94082171127026
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,68,28,76,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,3302,0.01957397812320092,0.008059873344847437,0.021876799078871616,0.9504893494530801
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,94,25,84,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,3025,0.029120198265179677,0.007744733581164808,0.026022304832713755,0.9371127633209417
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,61,11,73,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,1506,0.036947304663840094,0.006662628709872804,0.044215626892792244,0.9121744397334949
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,108,42,65,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,2665,0.0375,0.014583333333333334,0.022569444444444444,0.9253472222222222
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,85,23,63,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,2059,0.03811659192825112,0.01031390134529148,0.028251121076233184,0.9233183856502242
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,71,20,48,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,2935,0.02309694209499024,0.006506180871828237,0.015614834092387769,0.9547820429407937
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,79,21,55,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,2528,0.029444651509504285,0.007827059262020127,0.020499440924338426,0.9422288483041371
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,92,37,88,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,3343,0.025842696629213482,0.010393258426966293,0.024719101123595506,0.9390449438202247
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,87,27,87,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,2810,0.02889405513118565,0.008967120557954168,0.02889405513118565,0.9332447691796745
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,75,8,59,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,2225,0.031685678073510776,0.0033798056611744824,0.024926066751161807,0.940008449514153
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,86,31,73,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,2175,0.03636363636363636,0.013107822410147992,0.030866807610993658,0.919661733615222
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,89,29,66,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,2179,0.03766398645789251,0.012272534913245875,0.0279305966991113,0.9221328819297503
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,65,27,50,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,2827,0.021892893230043786,0.009093971034018189,0.016840687100033683,0.9521724486359043
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,62,30,56,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,3393,0.01750917819824908,0.008472182999152781,0.015814741598418527,0.9582038972041796
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,62,19,62,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,2822,0.0209106239460371,0.0064080944350758855,0.0209106239460371,0.95177065767285
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,71,23,66,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,2939,0.02291061632784769,0.007421748951274605,0.021297192642787996,0.9483704420780897
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,63,21,54,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,2260,0.02627189324437031,0.008757297748123435,0.022518765638031693,0.9424520433694745
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,121,27,68,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,2658,0.04210160055671538,0.009394572025052192,0.023660403618649965,0.9248434237995825
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,74,26,74,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,2361,0.029191321499013805,0.010256410256410256,0.029191321499013805,0.9313609467455621
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,62,31,53,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,3337,0.017800746482917025,0.008900373241458513,0.015216767154751652,0.9580821131208728
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,56,29,54,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,3272,0.01641747288185283,0.008501905599530929,0.0158311345646438,0.9592494869539725
