,COUNTY,VAP,NAME,WVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,318,735,379,2692,1,0.8592124814264487,0.14078751857355126,1639,0.11812778603268945,0.2730312035661218,0.6088410104011887
342,Calvert,2653,Calvert Precinct 02-006,2176,348,612,477,2653,1,0.8202035431586883,0.17979645684131174,1693,0.13117225782133435,0.23068224651338107,0.6381454956652846
343,Calvert,3474,Calvert Precinct 02-008,2865,402,665,609,3474,1,0.8246977547495682,0.17530224525043178,2407,0.1157167530224525,0.19142199194012666,0.6928612550374208
344,Calvert,3228,Calvert Precinct 03-003,2225,444,680,1003,3228,1,0.6892812887236679,0.3107187112763321,2104,0.137546468401487,0.21065675340768278,0.6517967781908303
345,Calvert,1651,Calvert Precinct 02-007,1552,331,741,99,1651,1,0.9400363416111448,0.05996365838885524,579,0.20048455481526348,0.44881889763779526,0.35069654754694124
346,Calvert,2880,Calvert Precinct 03-005,2457,499,706,423,2880,1,0.853125,0.146875,1675,0.17326388888888888,0.24513888888888888,0.5815972222222222
347,Calvert,2230,Calvert Precinct 03-007,1946,385,851,284,2230,1,0.8726457399103139,0.1273542600896861,994,0.1726457399103139,0.38161434977578473,0.44573991031390137
348,Calvert,3074,Calvert Precinct 03-004,2642,333,658,432,3074,1,0.8594664931685101,0.1405335068314899,2083,0.10832791151594014,0.21405335068314899,0.6776187378009109
349,Calvert,2683,Calvert Precinct 03-008,2217,535,741,466,2683,1,0.8263138278046962,0.17368617219530377,1407,0.1994036526276556,0.2761833768169959,0.5244129705553485
385,Calvert,3560,Calvert Precinct 02-002,2532,441,597,1028,3560,1,0.7112359550561798,0.28876404494382024,2522,0.12387640449438202,0.16769662921348313,0.7084269662921349
386,Calvert,3011,Calvert Precinct 02-001,2414,445,670,597,3011,1,0.8017270009963468,0.19827299900365328,1896,0.1477914314181335,0.22251743606775157,0.6296911325141149
393,Calvert,2367,Calvert Precinct 03-006,2018,320,798,349,2367,1,0.8525559780312632,0.1474440219687368,1249,0.13519222644697929,0.33713561470215464,0.527672158850866
902,Calvert,2365,Calvert Precinct 01-004,1979,349,644,386,2365,1,0.8367864693446089,0.16321353065539113,1372,0.14756871035940802,0.2723044397463002,0.5801268498942918
903,Calvert,2363,Calvert Precinct 02-004,1630,443,527,733,2363,1,0.6898011002962336,0.3101988997037664,1393,0.18747355057130766,0.22302158273381295,0.5895048666948793
904,Calvert,2969,Calvert Precinct 01-003,2481,330,591,488,2969,1,0.8356348939036713,0.16436510609632873,2048,0.1111485348602223,0.19905692152239812,0.6897945436173796
905,Calvert,3541,Calvert Precinct 01-006,2855,386,708,686,3541,1,0.806269415419373,0.19373058458062695,2447,0.10900875458909913,0.19994351878000566,0.6910477266308952
906,Calvert,2965,Calvert Precinct 02-005,2571,382,830,394,2965,1,0.8671163575042159,0.13288364249578416,1753,0.12883642495784148,0.2799325463743676,0.5912310286677909
907,Calvert,3099,Calvert Precinct 03-002,2465,423,524,634,3099,1,0.7954178767344304,0.20458212326556954,2152,0.13649564375605033,0.1690868021942562,0.6944175540496934
908,Calvert,2398,Calvert Precinct 03-001,2042,367,441,356,2398,1,0.8515429524603837,0.14845704753961636,1590,0.1530442035029191,0.18390325271059216,0.6630525437864887
955,Calvert,2874,Calvert Precinct 01-001,2444,450,611,430,2874,1,0.8503827418232429,0.14961725817675714,1813,0.15657620041753653,0.21259568545581073,0.6308281141266527
956,Calvert,2535,Calvert Precinct 01-007,2065,433,747,470,2535,1,0.814595660749507,0.1854043392504931,1355,0.1708086785009862,0.29467455621301775,0.534516765285996
957,Calvert,3483,Calvert Precinct 01-005,2710,388,695,773,3483,1,0.7780648865920183,0.22193511340798164,2400,0.1113982199253517,0.19954062589721505,0.6890611541774333
958,Calvert,3411,Calvert Precinct 01-002,2504,427,495,907,3411,1,0.7340955731457051,0.26590442685429494,2489,0.12518323072412782,0.14511873350923482,0.7296980357666374
