,COUNTY,VAP,NAME,WVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,391,712,379,2692,1,0.8592124814264487,0.14078751857355126,1589,0.14524517087667163,0.26448736998514116,0.5902674591381872
342,Calvert,2653,Calvert Precinct 02-006,2176,400,613,477,2653,1,0.8202035431586883,0.17979645684131174,1640,0.15077271013946475,0.23105917828872974,0.6181681115718055
343,Calvert,3474,Calvert Precinct 02-008,2865,441,682,609,3474,1,0.8246977547495682,0.17530224525043178,2351,0.12694300518134716,0.1963154864709269,0.676741508347726
344,Calvert,3228,Calvert Precinct 03-003,2225,502,665,1003,3228,1,0.6892812887236679,0.3107187112763321,2061,0.15551425030978935,0.20600991325898388,0.6384758364312267
345,Calvert,1651,Calvert Precinct 02-007,1552,406,733,99,1651,1,0.9400363416111448,0.05996365838885524,512,0.24591156874621442,0.4439733494851605,0.31011508176862507
346,Calvert,2880,Calvert Precinct 03-005,2457,569,693,423,2880,1,0.853125,0.146875,1618,0.19756944444444444,0.240625,0.5618055555555556
347,Calvert,2230,Calvert Precinct 03-007,1946,460,841,284,2230,1,0.8726457399103139,0.1273542600896861,929,0.2062780269058296,0.37713004484304935,0.41659192825112107
348,Calvert,3074,Calvert Precinct 03-004,2642,415,656,432,3074,1,0.8594664931685101,0.1405335068314899,2003,0.13500325309043593,0.21340273259596618,0.6515940143135979
349,Calvert,2683,Calvert Precinct 03-008,2217,582,767,466,2683,1,0.8263138278046962,0.17368617219530377,1334,0.21692135669027207,0.28587402161759223,0.4972046216921357
385,Calvert,3560,Calvert Precinct 02-002,2532,504,590,1028,3560,1,0.7112359550561798,0.28876404494382024,2466,0.14157303370786517,0.16573033707865167,0.6926966292134832
386,Calvert,3011,Calvert Precinct 02-001,2414,513,685,597,3011,1,0.8017270009963468,0.19827299900365328,1813,0.1703752906011292,0.22749916971105946,0.6021255396878114
393,Calvert,2367,Calvert Precinct 03-006,2018,406,771,349,2367,1,0.8525559780312632,0.1474440219687368,1190,0.17152513730460497,0.3257287705956908,0.5027460920997042
902,Calvert,2365,Calvert Precinct 01-004,1979,430,640,386,2365,1,0.8367864693446089,0.16321353065539113,1295,0.18181818181818182,0.27061310782241016,0.547568710359408
903,Calvert,2363,Calvert Precinct 02-004,1630,509,523,733,2363,1,0.6898011002962336,0.3101988997037664,1331,0.21540414727041896,0.22132881929750317,0.5632670334320778
904,Calvert,2969,Calvert Precinct 01-003,2481,388,605,488,2969,1,0.8356348939036713,0.16436510609632873,1976,0.13068373189626137,0.20377231391040754,0.6655439541933311
905,Calvert,3541,Calvert Precinct 01-006,2855,453,735,686,3541,1,0.806269415419373,0.19373058458062695,2353,0.12792996328720702,0.20756848347924314,0.6645015532335499
906,Calvert,2965,Calvert Precinct 02-005,2571,477,807,394,2965,1,0.8671163575042159,0.13288364249578416,1681,0.1608768971332209,0.27217537942664416,0.5669477234401349
907,Calvert,3099,Calvert Precinct 03-002,2465,476,533,634,3099,1,0.7954178767344304,0.20458212326556954,2090,0.15359793481768313,0.17199096482736367,0.6744111003549532
908,Calvert,2398,Calvert Precinct 03-001,2042,437,426,356,2398,1,0.8515429524603837,0.14845704753961636,1535,0.18223519599666388,0.17764804003336113,0.640116763969975
955,Calvert,2874,Calvert Precinct 01-001,2444,513,610,430,2874,1,0.8503827418232429,0.14961725817675714,1751,0.17849686847599164,0.21224773834377175,0.6092553931802366
956,Calvert,2535,Calvert Precinct 01-007,2065,493,786,470,2535,1,0.814595660749507,0.1854043392504931,1256,0.19447731755424064,0.31005917159763313,0.49546351084812623
957,Calvert,3483,Calvert Precinct 01-005,2710,453,734,773,3483,1,0.7780648865920183,0.22193511340798164,2296,0.13006029285099052,0.21073786965259833,0.6592018374964111
958,Calvert,3411,Calvert Precinct 01-002,2504,470,518,907,3411,1,0.7340955731457051,0.26590442685429494,2423,0.13778950454412195,0.15186162415713866,0.7103488712987394
