,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,480,594,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,1618,0.17830609212481427,0.22065378900445765,0.6010401188707281
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,492,527,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,1634,0.18545043347154166,0.19864304560874482,0.6159065209197135
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,559,634,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,2281,0.16090961427748993,0.1824985607369027,0.6565918249856074
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,597,603,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,2028,0.18494423791821563,0.18680297397769516,0.6282527881040892
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,470,615,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,566,0.28467595396729256,0.3725015142337977,0.34282253179890976
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,658,602,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,1620,0.22847222222222222,0.20902777777777778,0.5625
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,602,720,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,908,0.2699551569506726,0.32286995515695066,0.40717488789237666
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,582,608,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,1884,0.1893298633702017,0.1977878985035784,0.6128822381262199
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,840,682,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,1161,0.31308237048080506,0.2541930674617965,0.43272456205739845
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,557,570,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,2433,0.15646067415730336,0.1601123595505618,0.6834269662921348
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,617,631,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,1763,0.20491531052806378,0.2095649285951511,0.5855197608767851
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,560,691,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,1116,0.23658639628221378,0.29193071398394593,0.4714828897338403
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,503,580,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,1282,0.21268498942917546,0.2452431289640592,0.5420718816067653
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,568,525,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,1270,0.24037240795598816,0.22217520101565807,0.5374523910283537
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,466,556,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,1947,0.15695520377231392,0.18726844055237454,0.6557763556753116
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,623,584,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,2334,0.1759390002824061,0.1649251623835075,0.6591358373340864
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,582,675,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,1708,0.19629005059021923,0.22765598650927488,0.5760539629005059
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,592,500,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,2007,0.1910293643110681,0.16134236850596967,0.6476282671829623
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,531,470,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,1397,0.22143452877397832,0.19599666388657214,0.5825688073394495
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,712,581,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,1581,0.2477383437717467,0.20215727209464163,0.5501043841336117
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,674,620,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,1241,0.2658777120315582,0.2445759368836292,0.48954635108481265
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,639,656,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,2188,0.1834625322997416,0.18834338214183174,0.6281940855584266
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,622,445,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,2344,0.1823512166520082,0.13046027557900908,0.6871885077689827
