,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,73,66,30,379,2692,1,0.8592124814264487,0.14078751857355126,2523,0.02711738484398217,0.02451708766716196,0.011144130757800892,0.937221396731055
342,Calvert,2653,Calvert Precinct 02-006,2176,91,43,30,477,2653,1,0.8202035431586883,0.17979645684131174,2489,0.03430079155672823,0.01620806633999246,0.011307953260459858,0.9381831888428195
343,Calvert,3474,Calvert Precinct 02-008,2865,80,68,33,609,3474,1,0.8246977547495682,0.17530224525043178,3293,0.023028209556706966,0.01957397812320092,0.009499136442141624,0.9478986758779505
344,Calvert,3228,Calvert Precinct 03-003,2225,142,58,29,1003,3228,1,0.6892812887236679,0.3107187112763321,2999,0.04399008674101611,0.017967781908302356,0.008983890954151178,0.9290582403965304
345,Calvert,1651,Calvert Precinct 02-007,1552,52,73,34,99,1651,1,0.9400363416111448,0.05996365838885524,1492,0.031496062992125984,0.044215626892792244,0.02059357964869776,0.903694730466384
346,Calvert,2880,Calvert Precinct 03-005,2457,140,63,27,423,2880,1,0.853125,0.146875,2650,0.04861111111111111,0.021875,0.009375,0.9201388888888888
347,Calvert,2230,Calvert Precinct 03-007,1946,80,59,36,284,2230,1,0.8726457399103139,0.1273542600896861,2055,0.03587443946188341,0.026457399103139014,0.016143497757847534,0.92152466367713
348,Calvert,3074,Calvert Precinct 03-004,2642,58,57,36,432,3074,1,0.8594664931685101,0.1405335068314899,2923,0.018867924528301886,0.018542615484710475,0.011711125569290826,0.9508783344176968
349,Calvert,2683,Calvert Precinct 03-008,2217,79,46,35,466,2683,1,0.8263138278046962,0.17368617219530377,2523,0.029444651509504285,0.01714498695490123,0.013045098770033545,0.940365262765561
385,Calvert,3560,Calvert Precinct 02-002,2532,134,72,33,1028,3560,1,0.7112359550561798,0.28876404494382024,3321,0.037640449438202245,0.020224719101123594,0.009269662921348315,0.9328651685393259
386,Calvert,3011,Calvert Precinct 02-001,2414,127,66,32,597,3011,1,0.8017270009963468,0.19827299900365328,2786,0.042178678180006646,0.021919628030554632,0.010627698439056792,0.9252739953503819
393,Calvert,2367,Calvert Precinct 03-006,2018,72,57,29,349,2367,1,0.8525559780312632,0.1474440219687368,2209,0.030418250950570342,0.024081115335868188,0.0122517955217575,0.9332488381918039
902,Calvert,2365,Calvert Precinct 01-004,1979,95,74,33,386,2365,1,0.8367864693446089,0.16321353065539113,2163,0.040169133192389,0.03128964059196617,0.013953488372093023,0.9145877378435519
903,Calvert,2363,Calvert Precinct 02-004,1630,112,58,34,733,2363,1,0.6898011002962336,0.3101988997037664,2159,0.04739737621667372,0.02454506982649175,0.014388489208633094,0.9136690647482014
904,Calvert,2969,Calvert Precinct 01-003,2481,67,54,31,488,2969,1,0.8356348939036713,0.16436510609632873,2817,0.02256652071404513,0.018187942068036377,0.010441226002020883,0.9488043112158976
905,Calvert,3541,Calvert Precinct 01-006,2855,61,35,47,686,3541,1,0.806269415419373,0.19373058458062695,3398,0.01722677209827732,0.009884213499011578,0.01327308669867269,0.9596159277040384
906,Calvert,2965,Calvert Precinct 02-005,2571,58,52,49,394,2965,1,0.8671163575042159,0.13288364249578416,2806,0.019561551433389546,0.017537942664418212,0.016526138279932545,0.9463743676222597
907,Calvert,3099,Calvert Precinct 03-002,2465,81,47,41,634,3099,1,0.7954178767344304,0.20458212326556954,2930,0.026137463697967087,0.015166182639561149,0.013230074217489512,0.9454662794449823
908,Calvert,2398,Calvert Precinct 03-001,2042,67,54,24,356,2398,1,0.8515429524603837,0.14845704753961636,2253,0.02793994995829858,0.022518765638031693,0.010008340283569641,0.9395329441201001
955,Calvert,2874,Calvert Precinct 01-001,2444,118,76,42,430,2874,1,0.8503827418232429,0.14961725817675714,2638,0.04105775922059847,0.026443980514961725,0.014613778705636743,0.9178844815588031
956,Calvert,2535,Calvert Precinct 01-007,2065,83,56,37,470,2535,1,0.814595660749507,0.1854043392504931,2359,0.03274161735700197,0.022090729783037475,0.014595660749506903,0.9305719921104536
957,Calvert,3483,Calvert Precinct 01-005,2710,73,32,47,773,3483,1,0.7780648865920183,0.22193511340798164,3331,0.020958943439563595,0.00918748205569911,0.013494114269308067,0.9563594602354293
958,Calvert,3411,Calvert Precinct 01-002,2504,96,39,21,907,3411,1,0.7340955731457051,0.26590442685429494,3255,0.028144239226033423,0.011433597185576077,0.006156552330694811,0.9542656112576957
