,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,63,16,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,2613,0.023402674591381872,0.005943536404160475,0.9706537890044576
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,80,22,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,2551,0.03015454202789295,0.008292499057670561,0.9615529589144365
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,93,39,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,3342,0.02677029360967185,0.011226252158894647,0.9620034542314335
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,106,67,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,3055,0.03283767038413878,0.020755885997521685,0.9464064436183395
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,67,6,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,1578,0.04058146577831617,0.0036341611144760752,0.9557843731072078
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,87,20,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,2773,0.030208333333333334,0.006944444444444444,0.9628472222222222
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,74,8,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,2148,0.033183856502242155,0.003587443946188341,0.9632286995515695
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,68,21,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,2985,0.022121014964216004,0.0068314899154196486,0.9710474951203644
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,64,15,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,2604,0.023853894893775623,0.005590756615728662,0.9705553484904957
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,102,46,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,3412,0.028651685393258425,0.012921348314606741,0.9584269662921349
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,104,33,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,2874,0.034540019926934576,0.010959814015277316,0.9545001660577881
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,81,18,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,2268,0.034220532319391636,0.0076045627376425855,0.9581749049429658
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,96,28,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,2241,0.04059196617336152,0.011839323467230444,0.947568710359408
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,78,13,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,2272,0.033008887008040624,0.005501481168006771,0.9614896318239526
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,58,12,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,2899,0.01953519703603907,0.0040417649040080834,0.9764230380599529
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,71,18,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,3452,0.02005083309799492,0.005083309799491669,0.9748658571025134
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,86,12,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,2867,0.02900505902192243,0.004047217537942664,0.9669477234401349
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,102,27,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,2970,0.03291384317521781,0.008712487899322363,0.9583736689254598
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,75,6,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,2317,0.03127606338615513,0.0025020850708924102,0.9662218515429525
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,139,21,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,2714,0.04836464857341684,0.007306889352818371,0.9443284620737648
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,83,27,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,2425,0.03274161735700197,0.010650887573964497,0.9566074950690335
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,72,17,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,3394,0.020671834625323,0.004880849842090152,0.9744473155325869
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,106,27,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,3278,0.03107593081207857,0.0079155672823219,0.9610085019055995
