,COUNTY,VAP,NAME,WVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,435,658,379,2692,1,0.8592124814264487,0.14078751857355126,1599,0.16158989598811294,0.24442793462109955,0.5939821693907875
342,Calvert,2653,Calvert Precinct 02-006,2176,459,599,477,2653,1,0.8202035431586883,0.17979645684131174,1595,0.17301168488503582,0.22578213343384848,0.6012061816811157
343,Calvert,3474,Calvert Precinct 02-008,2865,631,579,609,3474,1,0.8246977547495682,0.17530224525043178,2264,0.18163500287852619,0.16666666666666666,0.6516983304548072
344,Calvert,3228,Calvert Precinct 03-003,2225,745,556,1003,3228,1,0.6892812887236679,0.3107187112763321,1927,0.23079306071871128,0.17224287484510534,0.5969640644361834
345,Calvert,1651,Calvert Precinct 02-007,1552,300,485,99,1651,1,0.9400363416111448,0.05996365838885524,866,0.18170805572380375,0.29376135675348275,0.5245305875227135
346,Calvert,2880,Calvert Precinct 03-005,2457,554,678,423,2880,1,0.853125,0.146875,1648,0.19236111111111112,0.23541666666666666,0.5722222222222222
347,Calvert,2230,Calvert Precinct 03-007,1946,376,543,284,2230,1,0.8726457399103139,0.1273542600896861,1311,0.16860986547085202,0.24349775784753364,0.5878923766816143
348,Calvert,3074,Calvert Precinct 03-004,2642,613,628,432,3074,1,0.8594664931685101,0.1405335068314899,1833,0.19941444372153547,0.20429407937540664,0.596291476903058
349,Calvert,2683,Calvert Precinct 03-008,2217,557,527,466,2683,1,0.8263138278046962,0.17368617219530377,1599,0.20760342899739098,0.19642191576593365,0.5959746552366754
385,Calvert,3560,Calvert Precinct 02-002,2532,704,630,1028,3560,1,0.7112359550561798,0.28876404494382024,2226,0.19775280898876405,0.17696629213483145,0.6252808988764045
386,Calvert,3011,Calvert Precinct 02-001,2414,605,591,597,3011,1,0.8017270009963468,0.19827299900365328,1815,0.20092992361341747,0.19628030554633014,0.6027897708402524
393,Calvert,2367,Calvert Precinct 03-006,2018,426,681,349,2367,1,0.8525559780312632,0.1474440219687368,1260,0.17997465145754118,0.2877059569074778,0.532319391634981
902,Calvert,2365,Calvert Precinct 01-004,1979,478,556,386,2365,1,0.8367864693446089,0.16321353065539113,1331,0.2021141649048626,0.2350951374207188,0.5627906976744186
903,Calvert,2363,Calvert Precinct 02-004,1630,463,324,733,2363,1,0.6898011002962336,0.3101988997037664,1576,0.19593736775285653,0.13711383834109184,0.6669487939060517
904,Calvert,2969,Calvert Precinct 01-003,2481,555,621,488,2969,1,0.8356348939036713,0.16436510609632873,1793,0.18693162681037387,0.20916133378241833,0.6039070394072078
905,Calvert,3541,Calvert Precinct 01-006,2855,609,700,686,3541,1,0.806269415419373,0.19373058458062695,2232,0.17198531488280147,0.1976842699802316,0.630330415136967
906,Calvert,2965,Calvert Precinct 02-005,2571,564,768,394,2965,1,0.8671163575042159,0.13288364249578416,1633,0.19021922428330523,0.2590219224283305,0.5507588532883643
907,Calvert,3099,Calvert Precinct 03-002,2465,698,607,634,3099,1,0.7954178767344304,0.20458212326556954,1794,0.22523394643433364,0.19586963536624719,0.5788964181994192
908,Calvert,2398,Calvert Precinct 03-001,2042,444,371,356,2398,1,0.8515429524603837,0.14845704753961636,1583,0.18515429524603835,0.15471226021684736,0.6601334445371143
955,Calvert,2874,Calvert Precinct 01-001,2444,540,549,430,2874,1,0.8503827418232429,0.14961725817675714,1785,0.18789144050104384,0.19102296450939457,0.6210855949895616
956,Calvert,2535,Calvert Precinct 01-007,2065,489,571,470,2535,1,0.814595660749507,0.1854043392504931,1475,0.19289940828402366,0.2252465483234714,0.5818540433925049
957,Calvert,3483,Calvert Precinct 01-005,2710,643,698,773,3483,1,0.7780648865920183,0.22193511340798164,2142,0.184610967556704,0.20040195233993682,0.6149870801033591
958,Calvert,3411,Calvert Precinct 01-002,2504,724,593,907,3411,1,0.7340955731457051,0.26590442685429494,2094,0.21225447082966872,0.17384931105247728,0.613896218117854
