,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,149,59,379,2692,1,0.8592124814264487,0.14078751857355126,2484,0.055349182763744426,0.021916790490341752,0.9227340267459139
342,Calvert,2653,Calvert Precinct 02-006,2176,161,92,477,2653,1,0.8202035431586883,0.17979645684131174,2400,0.06068601583113457,0.034677723332076894,0.9046362608367885
343,Calvert,3474,Calvert Precinct 02-008,2865,138,113,609,3474,1,0.8246977547495682,0.17530224525043178,3223,0.039723661485319514,0.032527345998848586,0.9277489925158319
344,Calvert,3228,Calvert Precinct 03-003,2225,187,114,1003,3228,1,0.6892812887236679,0.3107187112763321,2927,0.057930607187112765,0.03531598513011153,0.9067534076827757
345,Calvert,1651,Calvert Precinct 02-007,1552,176,58,99,1651,1,0.9400363416111448,0.05996365838885524,1417,0.10660205935796487,0.03513022410660206,0.8582677165354331
346,Calvert,2880,Calvert Precinct 03-005,2457,203,121,423,2880,1,0.853125,0.146875,2556,0.07048611111111111,0.04201388888888889,0.8875
347,Calvert,2230,Calvert Precinct 03-007,1946,179,84,284,2230,1,0.8726457399103139,0.1273542600896861,1967,0.08026905829596413,0.03766816143497758,0.8820627802690583
348,Calvert,3074,Calvert Precinct 03-004,2642,127,76,432,3074,1,0.8594664931685101,0.1405335068314899,2871,0.0413142485361093,0.0247234873129473,0.9339622641509434
349,Calvert,2683,Calvert Precinct 03-008,2217,205,127,466,2683,1,0.8263138278046962,0.17368617219530377,2351,0.07640700708162505,0.047335072679836006,0.876257920238539
385,Calvert,3560,Calvert Precinct 02-002,2532,142,119,1028,3560,1,0.7112359550561798,0.28876404494382024,3299,0.039887640449438204,0.03342696629213483,0.9266853932584269
386,Calvert,3011,Calvert Precinct 02-001,2414,182,112,597,3011,1,0.8017270009963468,0.19827299900365328,2717,0.060445034872135504,0.03719694453669877,0.9023580205911658
393,Calvert,2367,Calvert Precinct 03-006,2018,172,86,349,2367,1,0.8525559780312632,0.1474440219687368,2109,0.07266582171525138,0.03633291085762569,0.8910012674271229
902,Calvert,2365,Calvert Precinct 01-004,1979,148,82,386,2365,1,0.8367864693446089,0.16321353065539113,2135,0.06257928118393234,0.0346723044397463,0.9027484143763214
903,Calvert,2363,Calvert Precinct 02-004,1630,156,123,733,2363,1,0.6898011002962336,0.3101988997037664,2084,0.06601777401608125,0.052052475666525606,0.8819297503173932
904,Calvert,2969,Calvert Precinct 01-003,2481,124,99,488,2969,1,0.8356348939036713,0.16436510609632873,2746,0.04176490400808353,0.03334456045806669,0.9248905355338498
905,Calvert,3541,Calvert Precinct 01-006,2855,134,108,686,3541,1,0.806269415419373,0.19373058458062695,3299,0.03784241739621576,0.030499858796950014,0.9316577238068342
906,Calvert,2965,Calvert Precinct 02-005,2571,165,91,394,2965,1,0.8671163575042159,0.13288364249578416,2709,0.05564924114671164,0.03069139966273187,0.9136593591905565
907,Calvert,3099,Calvert Precinct 03-002,2465,151,115,634,3099,1,0.7954178767344304,0.20458212326556954,2833,0.04872539528880284,0.037108744756373026,0.9141658599548241
908,Calvert,2398,Calvert Precinct 03-001,2042,155,96,356,2398,1,0.8515429524603837,0.14845704753961636,2147,0.0646371976647206,0.040033361134278564,0.8953294412010009
955,Calvert,2874,Calvert Precinct 01-001,2444,209,96,430,2874,1,0.8503827418232429,0.14961725817675714,2569,0.07272094641614475,0.033402922755741124,0.8938761308281141
956,Calvert,2535,Calvert Precinct 01-007,2065,167,104,470,2535,1,0.814595660749507,0.1854043392504931,2264,0.06587771203155819,0.041025641025641026,0.8930966469428008
957,Calvert,3483,Calvert Precinct 01-005,2710,127,117,773,3483,1,0.7780648865920183,0.22193511340798164,3239,0.03646281940855584,0.03359173126614987,0.9299454493252943
958,Calvert,3411,Calvert Precinct 01-002,2504,128,126,907,3411,1,0.7340955731457051,0.26590442685429494,3157,0.037525652301377894,0.036939313984168866,0.9255350337144532
