,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,378,685,110,2692,1,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,1629,0.14041604754829123,0.25445765230312034,0.6051263001485884
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,434,579,108,2653,1,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,1640,0.16358839050131926,0.21824349792687522,0.6181681115718055
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,487,693,116,3474,1,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,2294,0.14018422567645367,0.19948186528497408,0.6603339090385723
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,535,640,76,3228,1,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,2053,0.16573729863692688,0.1982651796778191,0.635997521685254
345,Calvert,1651,Calvert Precinct 02-007,1552,39,30,379,696,30,1651,1,0.9400363416111448,0.023622047244094488,0.018170805572380374,0.018170805572380374,576,0.22955784373107208,0.4215626892792247,0.34887946698970324
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,585,653,96,2880,1,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,1642,0.203125,0.2267361111111111,0.5701388888888889
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,509,800,103,2230,1,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,921,0.2282511210762332,0.35874439461883406,0.41300448430493275
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,474,678,103,3074,1,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,1922,0.1541964866623292,0.22055953155497723,0.6252439817826936
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,780,723,102,2683,1,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,1180,0.2907193440178904,0.2694744688781215,0.43980618710398806
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,476,647,111,3560,1,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,2437,0.13370786516853933,0.18174157303370786,0.6845505617977528
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,504,723,69,3011,1,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,1784,0.16738625041514446,0.24011956160743939,0.5924941879774162
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,467,777,107,2367,1,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,1123,0.1972961554710604,0.3282636248415716,0.474440219687368
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,401,668,43,2365,1,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,1296,0.16955602536997885,0.2824524312896406,0.5479915433403806
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,494,582,64,2363,1,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,1287,0.2090562843842573,0.24629707998307238,0.5446466356326704
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,409,591,66,2969,1,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,1969,0.1377568204782755,0.19905692152239812,0.6631862579993264
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,552,620,144,3541,1,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,2369,0.15588816718441117,0.1750917819824908,0.669020050833098
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,474,765,106,2965,1,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,1726,0.15986509274873525,0.2580101180438449,0.58212478920742
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,543,539,89,3099,1,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,2017,0.17521781219748306,0.1739270732494353,0.6508551145530816
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,460,504,76,2398,1,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,1434,0.19182652210175147,0.21017514595496248,0.5979983319432861
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,630,634,69,2874,1,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,1610,0.21920668058455114,0.22059846903270702,0.5601948503827419
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,578,700,76,2535,1,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,1257,0.2280078895463511,0.27613412228796846,0.4958579881656805
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,551,693,133,3483,1,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,2239,0.15819695664656905,0.19896640826873385,0.6428366350846971
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,564,489,101,3411,1,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,2358,0.16534740545294635,0.14335971855760773,0.6912928759894459
