,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,220,577,172,2986,1,0.942397856664434,0.05760214333556597,2189,0.07367716008037509,0.19323509711989284,0.7330877427997321
134,Carroll,1186,Carroll Precinct 12-001,1086,144,301,100,1186,1,0.9156829679595279,0.08431703204047218,741,0.12141652613827993,0.25379426644182124,0.6247892074198989
135,Carroll,2833,Carroll Precinct 11-001,2645,349,826,188,2833,1,0.9336392516766678,0.06636074832333215,1658,0.12319096364278151,0.2915637133780445,0.585245322979174
396,Carroll,1084,Carroll Precinct 10-001,1040,98,369,44,1084,1,0.959409594095941,0.04059040590405904,617,0.09040590405904059,0.3404059040590406,0.5691881918819188
397,Carroll,7012,Carroll Precinct 01-001,6558,815,1938,454,7012,1,0.9352538505419281,0.06474614945807187,4259,0.11622932116371934,0.27638334284084426,0.6073873359954364
398,Carroll,1424,Carroll Precinct 02-001,1389,200,511,35,1424,1,0.9754213483146067,0.02457865168539326,713,0.1404494382022472,0.35884831460674155,0.5007022471910112
399,Carroll,1786,Carroll Precinct 02-002,1731,223,635,55,1786,1,0.9692049272116461,0.030795072788353865,928,0.12486002239641657,0.3555431131019037,0.5195968645016797
927,Carroll,6623,Carroll Precinct 14-002,6214,815,1935,409,6623,1,0.9382455080779103,0.061754491922089684,3873,0.12305601691076551,0.2921636720519402,0.5847803110372943
928,Carroll,3192,Carroll Precinct 05-001,2872,639,879,320,3192,1,0.899749373433584,0.10025062656641603,1674,0.20018796992481203,0.27537593984962405,0.5244360902255639
929,Carroll,647,Carroll Precinct 05-006,626,142,164,21,647,1,0.9675425038639877,0.03245749613601236,341,0.21947449768160743,0.2534775888717156,0.527047913446677
931,Carroll,2786,Carroll Precinct 14-001,2611,486,884,175,2786,1,0.9371859296482412,0.06281407035175879,1416,0.17444364680545585,0.3173007896625987,0.5082555635319455
932,Carroll,2559,Carroll Precinct 05-005,2276,564,743,283,2559,1,0.889409925752247,0.11059007424775302,1252,0.22039859320046892,0.2903477921062915,0.4892536146932395
933,Carroll,2727,Carroll Precinct 09-001,2601,455,1167,126,2727,1,0.9537953795379538,0.0462046204620462,1105,0.16685001833516686,0.42794279427942794,0.40520718738540523
934,Carroll,5574,Carroll Precinct 07-007,5011,845,1370,563,5574,1,0.8989953354861858,0.10100466451381414,3359,0.1515966989594546,0.24578399712952997,0.6026193039110155
935,Carroll,1903,Carroll Precinct 07-008,1759,242,602,144,1903,1,0.9243300052548608,0.07566999474513926,1059,0.12716763005780346,0.3163426169206516,0.5564897530215449
936,Carroll,960,Carroll Precinct 07-005,945,213,246,15,960,1,0.984375,0.015625,501,0.221875,0.25625,0.521875
937,Carroll,2365,Carroll Precinct 04-002,2282,317,788,83,2365,1,0.9649048625792812,0.03509513742071882,1260,0.13403805496828752,0.3331923890063425,0.53276955602537
938,Carroll,2537,Carroll Precinct 07-006,2326,326,597,211,2537,1,0.9168309026409145,0.08316909735908554,1614,0.12849822625147814,0.23531730390224675,0.6361844698462751
939,Carroll,3647,Carroll Precinct 07-003,3100,442,560,547,3647,1,0.8500137098985467,0.14998629010145326,2645,0.12119550315327667,0.15355086372360843,0.7252536331231149
940,Carroll,2385,Carroll Precinct 07-001,2135,279,401,250,2385,1,0.8951781970649895,0.10482180293501048,1705,0.1169811320754717,0.1681341719077568,0.7148846960167715
941,Carroll,7644,Carroll Precinct 05-004,6509,1418,2193,1135,7644,1,0.8515175300889587,0.14848246991104133,4033,0.18550497121925694,0.2868916797488226,0.5276033490319204
943,Carroll,4313,Carroll Precinct 05-002,3922,875,1493,391,4313,1,0.9093438441919778,0.09065615580802226,1945,0.202875028982147,0.3461627637375377,0.45096220728031533
1170,Carroll,2549,Carroll Precinct 05-003,2418,466,859,131,2549,1,0.9486072969792075,0.05139270302079247,1224,0.18281679089839153,0.3369948999607689,0.48018830914083954
1181,Carroll,6184,Carroll Precinct 04-001,5840,817,1805,344,6184,1,0.944372574385511,0.055627425614489,3562,0.1321151358344114,0.291882276843467,0.5760025873221216
1182,Carroll,4802,Carroll Precinct 08-001,4594,556,1552,208,4802,1,0.9566847147022074,0.043315285297792584,2694,0.11578508954602248,0.3231986672219908,0.5610162432319866
1187,Carroll,7419,Carroll Precinct 07-004,6548,877,1412,871,7419,1,0.8825987329828818,0.11740126701711821,5130,0.11821000134789054,0.19032214584175766,0.6914678528103518
1188,Carroll,4295,Carroll Precinct 03-001,4156,365,1286,139,4295,1,0.9676367869615833,0.032363213038416765,2644,0.08498253783469151,0.29941792782305005,0.6155995343422584
1189,Carroll,3836,Carroll Precinct 07-002,3328,418,868,508,3836,1,0.867570385818561,0.132429614181439,2550,0.10896767466110532,0.22627737226277372,0.664754953076121
1190,Carroll,5993,Carroll Precinct 06-001,5728,625,1918,265,5993,1,0.9557817453695978,0.04421825463040214,3450,0.10428833639245787,0.3200400467211747,0.5756716168863675
1191,Carroll,3510,Carroll Precinct 08-002,3268,434,1111,242,3510,1,0.931054131054131,0.06894586894586895,1965,0.12364672364672365,0.31652421652421653,0.5598290598290598
1192,Carroll,2717,Carroll Precinct 08-003,2574,403,854,143,2717,1,0.9473684210526315,0.05263157894736842,1460,0.14832535885167464,0.31431726168568275,0.5373573794626426
1193,Carroll,4591,Carroll Precinct 06-002,4324,574,1620,267,4591,1,0.9418427357874102,0.05815726421258985,2397,0.12502722718362014,0.3528642997168373,0.5221084730995426
1770,Carroll,7060,Carroll Precinct 13-001,6426,1267,2352,634,7060,1,0.9101983002832861,0.08980169971671388,3441,0.1794617563739377,0.33314447592067986,0.48739376770538245
1794,Carroll,4768,Carroll Precinct 04-003,4514,615,1482,254,4768,1,0.9467281879194631,0.05327181208053691,2671,0.12898489932885907,0.3108221476510067,0.5601929530201343
