,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,45,69,310,524,58,2986,1,0.942397856664434,0.01507032819825854,0.023107836570663093,0.01942397856664434,2152,0.10381781647689216,0.17548559946416611,0.7206965840589418
134,Carroll,1186,Carroll Precinct 12-001,1086,70,17,211,244,13,1186,1,0.9156829679595279,0.05902192242833052,0.01433389544688027,0.010961214165261383,731,0.17790893760539628,0.2057335581787521,0.6163575042158516
135,Carroll,2833,Carroll Precinct 11-001,2645,87,63,520,736,38,2833,1,0.9336392516766678,0.030709495234733496,0.02223791034239322,0.013413342746205436,1577,0.18355100600070595,0.25979527003176844,0.5566537239675255
396,Carroll,1084,Carroll Precinct 10-001,1040,12,15,162,252,17,1084,1,0.959409594095941,0.01107011070110701,0.013837638376383764,0.015682656826568265,670,0.14944649446494465,0.23247232472324722,0.6180811808118081
397,Carroll,7012,Carroll Precinct 01-001,6558,201,129,1022,1421,124,7012,1,0.9352538505419281,0.028665145464917285,0.018397033656588704,0.017683970336565887,4569,0.145750142612664,0.20265259555048487,0.6515972618368511
398,Carroll,1424,Carroll Precinct 02-001,1389,11,16,286,411,8,1424,1,0.9754213483146067,0.007724719101123595,0.011235955056179775,0.0056179775280898875,727,0.20084269662921347,0.288623595505618,0.5105337078651685
399,Carroll,1786,Carroll Precinct 02-002,1731,9,19,322,481,27,1786,1,0.9692049272116461,0.005039193729003359,0.010638297872340425,0.015117581187010079,983,0.18029115341545351,0.26931690929451285,0.5503919372900336
927,Carroll,6623,Carroll Precinct 14-002,6214,125,131,1172,1802,153,6623,1,0.9382455080779103,0.018873622225577532,0.019779556092405254,0.0231013136041069,3649,0.17695908198701496,0.2720821380039257,0.5509587800090593
928,Carroll,3192,Carroll Precinct 05-001,2872,133,80,656,793,107,3192,1,0.899749373433584,0.041666666666666664,0.02506265664160401,0.03352130325814536,1743,0.20551378446115287,0.24843358395989976,0.5460526315789473
929,Carroll,647,Carroll Precinct 05-006,626,5,6,164,137,10,647,1,0.9675425038639877,0.0077279752704791345,0.00927357032457496,0.015455950540958269,346,0.2534775888717156,0.2117465224111283,0.5347758887171561
931,Carroll,2786,Carroll Precinct 14-001,2611,70,52,574,795,53,2786,1,0.9371859296482412,0.02512562814070352,0.01866475233309404,0.019023689877961235,1417,0.20603015075376885,0.28535534816941854,0.5086145010768126
932,Carroll,2559,Carroll Precinct 05-005,2276,87,77,504,671,119,2559,1,0.889409925752247,0.03399765533411489,0.03008987885892927,0.04650254005470887,1384,0.1969519343493552,0.26221180148495504,0.5408362641656898
933,Carroll,2727,Carroll Precinct 09-001,2601,49,40,678,1078,37,2727,1,0.9537953795379538,0.01796846351301797,0.014668133480014669,0.013568023469013568,971,0.24862486248624863,0.3953061972863953,0.3560689402273561
934,Carroll,5574,Carroll Precinct 07-007,5011,218,157,915,1151,188,5574,1,0.8989953354861858,0.03911015428776462,0.0281664872622892,0.03372802296376032,3508,0.16415500538213132,0.20649443846429852,0.6293505561535702
935,Carroll,1903,Carroll Precinct 07-008,1759,65,29,345,468,50,1903,1,0.9243300052548608,0.03415659485023647,0.015239096163951655,0.02627430373095113,1090,0.1812926957435628,0.24592748292170258,0.5727798213347346
936,Carroll,960,Carroll Precinct 07-005,945,9,3,249,199,3,960,1,0.984375,0.009375,0.003125,0.003125,512,0.259375,0.20729166666666668,0.5333333333333333
937,Carroll,2365,Carroll Precinct 04-002,2282,28,19,413,679,36,2365,1,0.9649048625792812,0.011839323467230444,0.008033826638477801,0.01522198731501057,1273,0.17463002114164905,0.28710359408033825,0.5382663847780127
938,Carroll,2537,Carroll Precinct 07-006,2326,65,59,446,513,87,2537,1,0.9168309026409145,0.025620811982656682,0.023255813953488372,0.03429247142294048,1578,0.1757981868348443,0.20220733149389042,0.6219944816712653
