,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,45,69,22,10,7,2,12,58,2986,1,0.942397856664434,0.01507032819825854,0.023107836570663093,0.01942397856664434,2933,0.007367716008037508,0.003348961821835231,0.002344273275284662,0.0006697923643670462,0.004018754186202277,0.9822505023442732
134,Carroll,1186,Carroll Precinct 12-001,1086,70,17,22,5,4,1,4,13,1186,1,0.9156829679595279,0.05902192242833052,0.01433389544688027,0.010961214165261383,1150,0.01854974704890388,0.0042158516020236085,0.003372681281618887,0.0008431703204047217,0.003372681281618887,0.96964586846543
135,Carroll,2833,Carroll Precinct 11-001,2645,87,63,48,12,12,5,16,38,2833,1,0.9336392516766678,0.030709495234733496,0.02223791034239322,0.013413342746205436,2740,0.01694316978468055,0.004235792446170138,0.004235792446170138,0.0017649135192375574,0.0056477232615601836,0.9671726085421815
396,Carroll,1084,Carroll Precinct 10-001,1040,12,15,9,2,5,4,3,17,1084,1,0.959409594095941,0.01107011070110701,0.013837638376383764,0.015682656826568265,1061,0.008302583025830259,0.0018450184501845018,0.004612546125461255,0.0036900369003690036,0.0027675276752767526,0.9787822878228782
397,Carroll,7012,Carroll Precinct 01-001,6558,201,129,58,27,17,3,19,124,7012,1,0.9352538505419281,0.028665145464917285,0.018397033656588704,0.017683970336565887,6888,0.00827153451226469,0.0038505419281232175,0.0024244152880775814,0.00042783799201369084,0.0027096406160867087,0.9823160296634341
398,Carroll,1424,Carroll Precinct 02-001,1389,11,16,29,6,9,5,11,8,1424,1,0.9754213483146067,0.007724719101123595,0.011235955056179775,0.0056179775280898875,1364,0.020365168539325844,0.004213483146067416,0.006320224719101123,0.0035112359550561797,0.007724719101123595,0.9578651685393258
399,Carroll,1786,Carroll Precinct 02-002,1731,9,19,37,5,8,2,4,27,1786,1,0.9692049272116461,0.005039193729003359,0.010638297872340425,0.015117581187010079,1730,0.020716685330347144,0.002799552071668533,0.004479283314669653,0.0011198208286674132,0.0022396416573348264,0.9686450167973124
927,Carroll,6623,Carroll Precinct 14-002,6214,125,131,89,17,44,12,31,153,6623,1,0.9382455080779103,0.018873622225577532,0.019779556092405254,0.0231013136041069,6430,0.013438019024611203,0.0025668126226785445,0.0066435150234032915,0.0018118677336554432,0.004680658311943228,0.9708591272837083
928,Carroll,3192,Carroll Precinct 05-001,2872,133,80,92,15,40,6,23,107,3192,1,0.899749373433584,0.041666666666666664,0.02506265664160401,0.03352130325814536,3016,0.02882205513784461,0.004699248120300752,0.012531328320802004,0.0018796992481203006,0.0072055137844611525,0.9448621553884712
929,Carroll,647,Carroll Precinct 05-006,626,5,6,24,9,4,0,16,10,647,1,0.9675425038639877,0.0077279752704791345,0.00927357032457496,0.015455950540958269,594,0.03709428129829984,0.013910355486862442,0.0061823802163833074,0.0,0.02472952086553323,0.9180834621329211
931,Carroll,2786,Carroll Precinct 14-001,2611,70,52,71,19,34,4,20,53,2786,1,0.9371859296482412,0.02512562814070352,0.01866475233309404,0.019023689877961235,2638,0.025484565685570712,0.0068198133524766695,0.012203876525484566,0.0014357501794687725,0.007178750897343862,0.9468772433596554
932,Carroll,2559,Carroll Precinct 05-005,2276,87,77,80,26,20,9,23,119,2559,1,0.889409925752247,0.03399765533411489,0.03008987885892927,0.04650254005470887,2401,0.03126221180148495,0.01016021883548261,0.007815552950371238,0.0035169988276670576,0.008987885892926924,0.9382571316920673
933,Carroll,2727,Carroll Precinct 09-001,2601,49,40,43,18,23,6,21,37,2727,1,0.9537953795379538,0.01796846351301797,0.014668133480014669,0.013568023469013568,2616,0.015768243491015767,0.006600660066006601,0.008434176751008434,0.0022002200220022,0.007700770077007701,0.9592959295929593
934,Carroll,5574,Carroll Precinct 07-007,5011,218,157,131,20,48,9,35,188,5574,1,0.8989953354861858,0.03911015428776462,0.0281664872622892,0.03372802296376032,5331,0.023501973448152136,0.003588087549336204,0.008611410118406888,0.0016146393972012918,0.0062791532113383565,0.9564047362755651
935,Carroll,1903,Carroll Precinct 07-008,1759,65,29,27,9,7,5,9,50,1903,1,0.9243300052548608,0.03415659485023647,0.015239096163951655,0.02627430373095113,1846,0.01418812401471361,0.004729374671571204,0.0036784025223331584,0.002627430373095113,0.004729374671571204,0.9700472937467157
936,Carroll,960,Carroll Precinct 07-005,945,9,3,27,13,10,7,17,3,960,1,0.984375,0.009375,0.003125,0.003125,886,0.028125,0.013541666666666667,0.010416666666666666,0.007291666666666667,0.017708333333333333,0.9229166666666667
