,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,45,69,238,779,58,2986,1,0.942397856664434,0.01507032819825854,0.023107836570663093,0.01942397856664434,1969,0.07970529135967849,0.2608841259209645,0.659410582719357
134,Carroll,1186,Carroll Precinct 12-001,1086,70,17,153,431,13,1186,1,0.9156829679595279,0.05902192242833052,0.01433389544688027,0.010961214165261383,602,0.12900505902192244,0.3634064080944351,0.5075885328836425
135,Carroll,2833,Carroll Precinct 11-001,2645,87,63,311,1172,38,2833,1,0.9336392516766678,0.030709495234733496,0.02223791034239322,0.013413342746205436,1350,0.10977762089657607,0.41369572890928347,0.4765266501941405
396,Carroll,1084,Carroll Precinct 10-001,1040,12,15,103,465,17,1084,1,0.959409594095941,0.01107011070110701,0.013837638376383764,0.015682656826568265,516,0.09501845018450185,0.4289667896678967,0.47601476014760147
397,Carroll,7012,Carroll Precinct 01-001,6558,201,129,729,2490,124,7012,1,0.9352538505419281,0.028665145464917285,0.018397033656588704,0.017683970336565887,3793,0.10396463205932686,0.35510553337136336,0.5409298345693098
398,Carroll,1424,Carroll Precinct 02-001,1389,11,16,201,639,8,1424,1,0.9754213483146067,0.007724719101123595,0.011235955056179775,0.0056179775280898875,584,0.14115168539325842,0.4487359550561798,0.4101123595505618
399,Carroll,1786,Carroll Precinct 02-002,1731,9,19,219,760,27,1786,1,0.9692049272116461,0.005039193729003359,0.010638297872340425,0.015117581187010079,807,0.12262038073908174,0.425531914893617,0.4518477043673012
927,Carroll,6623,Carroll Precinct 14-002,6214,125,131,912,2515,153,6623,1,0.9382455080779103,0.018873622225577532,0.019779556092405254,0.0231013136041069,3196,0.1377019477578137,0.37973727917861994,0.4825607730635664
928,Carroll,3192,Carroll Precinct 05-001,2872,133,80,709,1056,107,3192,1,0.899749373433584,0.041666666666666664,0.02506265664160401,0.03352130325814536,1427,0.22211779448621555,0.3308270676691729,0.44705513784461154
929,Carroll,647,Carroll Precinct 05-006,626,5,6,138,188,10,647,1,0.9675425038639877,0.0077279752704791345,0.00927357032457496,0.015455950540958269,321,0.2132921174652241,0.29057187017001546,0.49613601236476046
931,Carroll,2786,Carroll Precinct 14-001,2611,70,52,473,1135,53,2786,1,0.9371859296482412,0.02512562814070352,0.01866475233309404,0.019023689877961235,1178,0.16977745872218233,0.4073941134242642,0.42282842785355346
932,Carroll,2559,Carroll Precinct 05-005,2276,87,77,545,894,119,2559,1,0.889409925752247,0.03399765533411489,0.03008987885892927,0.04650254005470887,1120,0.21297381789761627,0.3493552168815944,0.43767096522078935
933,Carroll,2727,Carroll Precinct 09-001,2601,49,40,466,1526,37,2727,1,0.9537953795379538,0.01796846351301797,0.014668133480014669,0.013568023469013568,735,0.17088375504217088,0.5595892922625596,0.26952695269526955
934,Carroll,5574,Carroll Precinct 07-007,5011,218,157,850,1609,188,5574,1,0.8989953354861858,0.03911015428776462,0.0281664872622892,0.03372802296376032,3115,0.15249372084678867,0.2886616433440976,0.5588446358091137
935,Carroll,1903,Carroll Precinct 07-008,1759,65,29,191,662,50,1903,1,0.9243300052548608,0.03415659485023647,0.015239096163951655,0.02627430373095113,1050,0.10036784025223332,0.34787178139779296,0.5517603783499737
936,Carroll,960,Carroll Precinct 07-005,945,9,3,190,268,3,960,1,0.984375,0.009375,0.003125,0.003125,502,0.19791666666666666,0.2791666666666667,0.5229166666666667
937,Carroll,2365,Carroll Precinct 04-002,2282,28,19,288,908,36,2365,1,0.9649048625792812,0.011839323467230444,0.008033826638477801,0.01522198731501057,1169,0.12177589852008457,0.3839323467230444,0.49429175475687104
938,Carroll,2537,Carroll Precinct 07-006,2326,65,59,339,701,87,2537,1,0.9168309026409145,0.025620811982656682,0.023255813953488372,0.03429247142294048,1497,0.13362238864800946,0.27631060307449745,0.5900670082774931
939,Carroll,3647,Carroll Precinct 07-003,3100,264,178,453,676,105,3647,1,0.8500137098985467,0.07238826432684398,0.04880723882643268,0.028790786948176585,2518,0.12421168083356184,0.18535782835207018,0.690430490814368
940,Carroll,2385,Carroll Precinct 07-001,2135,105,101,236,449,44,2385,1,0.8951781970649895,0.0440251572327044,0.042348008385744235,0.018448637316561847,1700,0.0989517819706499,0.18825995807127882,0.7127882599580713
941,Carroll,7644,Carroll Precinct 05-004,6509,725,141,1479,2602,269,7644,1,0.8515175300889587,0.09484563055991628,0.018445839874411302,0.03519099947671376,3563,0.1934850863422292,0.34039769754055466,0.4661172161172161
943,Carroll,4313,Carroll Precinct 05-002,3922,228,63,894,1732,100,4313,1,0.9093438441919778,0.05286343612334802,0.014607002086714584,0.023185717597959656,1687,0.20728031532575933,0.4015766287966613,0.3911430558775794
1170,Carroll,2549,Carroll Precinct 05-003,2418,38,34,504,1016,59,2549,1,0.9486072969792075,0.01490780698313064,0.013338564142801098,0.02314633189486073,1029,0.19772459788152216,0.39858768144370343,0.40368772067477443
1181,Carroll,6184,Carroll Precinct 04-001,5840,132,76,758,2145,136,6184,1,0.944372574385511,0.021345407503234153,0.012289780077619664,0.02199223803363519,3281,0.12257438551099611,0.346862871927555,0.5305627425614489
1182,Carroll,4802,Carroll Precinct 08-001,4594,54,55,527,1807,99,4802,1,0.9566847147022074,0.011245314452311536,0.011453561016243232,0.020616409829237816,2468,0.10974593919200333,0.3763015410245731,0.5139525197834236
1187,Carroll,7419,Carroll Precinct 07-004,6548,335,265,853,1666,271,7419,1,0.8825987329828818,0.045154333468122386,0.03571909960911174,0.03652783393988408,4900,0.11497506402480119,0.22455856584445344,0.6604663701307454
1188,Carroll,4295,Carroll Precinct 03-001,4156,43,42,341,1541,54,4295,1,0.9676367869615833,0.010011641443538999,0.009778812572759022,0.012572759022118742,2413,0.07939464493597206,0.35878928987194414,0.5618160651920838
