,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,37,5,172,2986,1,0.942397856664434,0.05760214333556597,2944,0.012391158740790355,0.0016744809109176155,0.9859343603482921
134,Carroll,1186,Carroll Precinct 12-001,1086,23,0,100,1186,1,0.9156829679595279,0.08431703204047218,1163,0.0193929173693086,0.0,0.9806070826306914
135,Carroll,2833,Carroll Precinct 11-001,2645,48,2,188,2833,1,0.9336392516766678,0.06636074832333215,2783,0.01694316978468055,0.0007059654076950229,0.9823508648076245
396,Carroll,1084,Carroll Precinct 10-001,1040,12,0,44,1084,1,0.959409594095941,0.04059040590405904,1072,0.01107011070110701,0.0,0.988929889298893
397,Carroll,7012,Carroll Precinct 01-001,6558,121,6,454,7012,1,0.9352538505419281,0.06474614945807187,6885,0.017256132344552196,0.0008556759840273817,0.9818881916714204
398,Carroll,1424,Carroll Precinct 02-001,1389,33,0,35,1424,1,0.9754213483146067,0.02457865168539326,1391,0.023174157303370788,0.0,0.9768258426966292
399,Carroll,1786,Carroll Precinct 02-002,1731,35,5,55,1786,1,0.9692049272116461,0.030795072788353865,1746,0.01959686450167973,0.002799552071668533,0.9776035834266518
927,Carroll,6623,Carroll Precinct 14-002,6214,105,3,409,6623,1,0.9382455080779103,0.061754491922089684,6515,0.015853842669485127,0.0004529669334138608,0.983693190397101
928,Carroll,3192,Carroll Precinct 05-001,2872,72,1,320,3192,1,0.899749373433584,0.10025062656641603,3119,0.022556390977443608,0.0003132832080200501,0.9771303258145363
929,Carroll,647,Carroll Precinct 05-006,626,56,1,21,647,1,0.9675425038639877,0.03245749613601236,590,0.0865533230293663,0.0015455950540958269,0.9119010819165378
931,Carroll,2786,Carroll Precinct 14-001,2611,85,3,175,2786,1,0.9371859296482412,0.06281407035175879,2698,0.030509691313711413,0.0010768126346015793,0.968413496051687
932,Carroll,2559,Carroll Precinct 05-005,2276,48,3,283,2559,1,0.889409925752247,0.11059007424775302,2508,0.01875732708089097,0.0011723329425556857,0.9800703399765534
933,Carroll,2727,Carroll Precinct 09-001,2601,59,5,126,2727,1,0.9537953795379538,0.0462046204620462,2663,0.021635496883021636,0.0018335166850018336,0.9765309864319766
934,Carroll,5574,Carroll Precinct 07-007,5011,95,4,563,5574,1,0.8989953354861858,0.10100466451381414,5475,0.017043415859346968,0.0007176175098672408,0.9822389666307858
935,Carroll,1903,Carroll Precinct 07-008,1759,40,1,144,1903,1,0.9243300052548608,0.07566999474513926,1862,0.021019442984760904,0.0005254860746190226,0.9784550709406201
936,Carroll,960,Carroll Precinct 07-005,945,69,1,15,960,1,0.984375,0.015625,890,0.071875,0.0010416666666666667,0.9270833333333334
937,Carroll,2365,Carroll Precinct 04-002,2282,43,2,83,2365,1,0.9649048625792812,0.03509513742071882,2320,0.01818181818181818,0.0008456659619450317,0.9809725158562368
938,Carroll,2537,Carroll Precinct 07-006,2326,63,4,211,2537,1,0.9168309026409145,0.08316909735908554,2470,0.024832479306267245,0.0015766653527788726,0.9735908553409539
939,Carroll,3647,Carroll Precinct 07-003,3100,83,3,547,3647,1,0.8500137098985467,0.14998629010145326,3561,0.02275843158760625,0.0008225939128050452,0.9764189744995887
940,Carroll,2385,Carroll Precinct 07-001,2135,34,0,250,2385,1,0.8951781970649895,0.10482180293501048,2351,0.014255765199161425,0.0,0.9857442348008386
941,Carroll,7644,Carroll Precinct 05-004,6509,149,8,1135,7644,1,0.8515175300889587,0.14848246991104133,7487,0.01949241234955521,0.0010465724751439038,0.9794610151753009
943,Carroll,4313,Carroll Precinct 05-002,3922,107,8,391,4313,1,0.9093438441919778,0.09065615580802226,4198,0.024808717829816834,0.0018548574078367725,0.9733364247623464
1170,Carroll,2549,Carroll Precinct 05-003,2418,62,3,131,2549,1,0.9486072969792075,0.05139270302079247,2484,0.024323264025107885,0.0011769321302471558,0.974499803844645
1181,Carroll,6184,Carroll Precinct 04-001,5840,107,6,344,6184,1,0.944372574385511,0.055627425614489,6071,0.017302716688227686,0.0009702457956015524,0.9817270375161707
1182,Carroll,4802,Carroll Precinct 08-001,4594,83,4,208,4802,1,0.9566847147022074,0.043315285297792584,4715,0.017284464806330696,0.0008329862557267805,0.9818825489379426
1187,Carroll,7419,Carroll Precinct 07-004,6548,128,6,871,7419,1,0.8825987329828818,0.11740126701711821,7285,0.017252999056476613,0.0008087343307723412,0.9819382666127511
1188,Carroll,4295,Carroll Precinct 03-001,4156,82,7,139,4295,1,0.9676367869615833,0.032363213038416765,4206,0.01909196740395809,0.001629802095459837,0.979278230500582
1189,Carroll,3836,Carroll Precinct 07-002,3328,65,5,508,3836,1,0.867570385818561,0.132429614181439,3766,0.01694473409801877,0.0013034410844629822,0.9817518248175182
1190,Carroll,5993,Carroll Precinct 06-001,5728,84,11,265,5993,1,0.9557817453695978,0.04421825463040214,5898,0.014016352411146337,0.0018354747205072584,0.9841481728683464
1191,Carroll,3510,Carroll Precinct 08-002,3268,60,3,242,3510,1,0.931054131054131,0.06894586894586895,3447,0.017094017094017096,0.0008547008547008547,0.982051282051282
1192,Carroll,2717,Carroll Precinct 08-003,2574,33,1,143,2717,1,0.9473684210526315,0.05263157894736842,2683,0.012145748987854251,0.000368052999631947,0.9874861980125138
1193,Carroll,4591,Carroll Precinct 06-002,4324,76,5,267,4591,1,0.9418427357874102,0.05815726421258985,4510,0.016554127641036812,0.0010890873448050533,0.9823567850141581
1770,Carroll,7060,Carroll Precinct 13-001,6426,167,7,634,7060,1,0.9101983002832861,0.08980169971671388,6886,0.023654390934844192,0.000991501416430595,0.9753541076487252
1794,Carroll,4768,Carroll Precinct 04-003,4514,78,2,254,4768,1,0.9467281879194631,0.05327181208053691,4688,0.016359060402684564,0.00041946308724832214,0.9832214765100671
