,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,124,16,172,2986,1,0.942397856664434,0.05760214333556597,2846,0.041527126590756865,0.0053583389149363695,0.9531145344943067
134,Carroll,1186,Carroll Precinct 12-001,1086,69,20,100,1186,1,0.9156829679595279,0.08431703204047218,1097,0.0581787521079258,0.016863406408094434,0.9249578414839797
135,Carroll,2833,Carroll Precinct 11-001,2645,149,40,188,2833,1,0.9336392516766678,0.06636074832333215,2644,0.05259442287327921,0.014119308153900459,0.9332862689728203
396,Carroll,1084,Carroll Precinct 10-001,1040,35,10,44,1084,1,0.959409594095941,0.04059040590405904,1039,0.03228782287822878,0.00922509225092251,0.9584870848708487
397,Carroll,7012,Carroll Precinct 01-001,6558,330,94,454,7012,1,0.9352538505419281,0.06474614945807187,6588,0.04706217912150599,0.013405590416428978,0.939532230462065
398,Carroll,1424,Carroll Precinct 02-001,1389,81,22,35,1424,1,0.9754213483146067,0.02457865168539326,1321,0.05688202247191011,0.01544943820224719,0.9276685393258427
399,Carroll,1786,Carroll Precinct 02-002,1731,96,25,55,1786,1,0.9692049272116461,0.030795072788353865,1665,0.05375139977603583,0.013997760358342666,0.9322508398656215
927,Carroll,6623,Carroll Precinct 14-002,6214,386,89,409,6623,1,0.9382455080779103,0.061754491922089684,6148,0.05828174543258342,0.013438019024611203,0.9282802355428054
928,Carroll,3192,Carroll Precinct 05-001,2872,271,69,320,3192,1,0.899749373433584,0.10025062656641603,2852,0.08489974937343359,0.021616541353383457,0.893483709273183
929,Carroll,647,Carroll Precinct 05-006,626,69,19,21,647,1,0.9675425038639877,0.03245749613601236,559,0.10664605873261206,0.02936630602782071,0.8639876352395672
931,Carroll,2786,Carroll Precinct 14-001,2611,238,56,175,2786,1,0.9371859296482412,0.06281407035175879,2492,0.08542713567839195,0.020100502512562814,0.8944723618090452
932,Carroll,2559,Carroll Precinct 05-005,2276,195,57,283,2559,1,0.889409925752247,0.11059007424775302,2307,0.07620164126611957,0.022274325908558032,0.9015240328253223
933,Carroll,2727,Carroll Precinct 09-001,2601,241,59,126,2727,1,0.9537953795379538,0.0462046204620462,2427,0.08837550421708837,0.021635496883021636,0.88998899889989
934,Carroll,5574,Carroll Precinct 07-007,5011,376,104,563,5574,1,0.8989953354861858,0.10100466451381414,5094,0.06745604592752064,0.018658055256548258,0.9138858988159311
935,Carroll,1903,Carroll Precinct 07-008,1759,113,24,144,1903,1,0.9243300052548608,0.07566999474513926,1766,0.05937992643194955,0.012611665790856543,0.928008407777194
936,Carroll,960,Carroll Precinct 07-005,945,114,16,15,960,1,0.984375,0.015625,830,0.11875,0.016666666666666666,0.8645833333333334
937,Carroll,2365,Carroll Precinct 04-002,2282,160,31,83,2365,1,0.9649048625792812,0.03509513742071882,2174,0.06765327695560254,0.013107822410147992,0.9192389006342495
938,Carroll,2537,Carroll Precinct 07-006,2326,178,34,211,2537,1,0.9168309026409145,0.08316909735908554,2325,0.07016160819865984,0.013401655498620418,0.9164367363027197
939,Carroll,3647,Carroll Precinct 07-003,3100,188,58,547,3647,1,0.8500137098985467,0.14998629010145326,3401,0.051549218535782836,0.015903482314230874,0.9325472991499862
940,Carroll,2385,Carroll Precinct 07-001,2135,85,24,250,2385,1,0.8951781970649895,0.10482180293501048,2276,0.03563941299790356,0.010062893081761006,0.9542976939203355
941,Carroll,7644,Carroll Precinct 05-004,6509,627,167,1135,7644,1,0.8515175300889587,0.14848246991104133,6850,0.08202511773940345,0.02184720041862899,0.8961276818419676
943,Carroll,4313,Carroll Precinct 05-002,3922,420,93,391,4313,1,0.9093438441919778,0.09065615580802226,3800,0.09738001391143056,0.02156271736610248,0.8810572687224669
1170,Carroll,2549,Carroll Precinct 05-003,2418,236,64,131,2549,1,0.9486072969792075,0.05139270302079247,2249,0.09258532757944292,0.025107885445272655,0.8823067869752844
1181,Carroll,6184,Carroll Precinct 04-001,5840,424,114,344,6184,1,0.944372574385511,0.055627425614489,5646,0.0685640362225097,0.018434670116429495,0.9130012936610608
1182,Carroll,4802,Carroll Precinct 08-001,4594,285,54,208,4802,1,0.9566847147022074,0.043315285297792584,4463,0.05935027072053311,0.011245314452311536,0.9294044148271553
1187,Carroll,7419,Carroll Precinct 07-004,6548,376,106,871,7419,1,0.8825987329828818,0.11740126701711821,6937,0.05068068472840005,0.014287639843644695,0.9350316754279553
1188,Carroll,4295,Carroll Precinct 03-001,4156,194,63,139,4295,1,0.9676367869615833,0.032363213038416765,4038,0.045168800931315485,0.014668218859138533,0.940162980209546
1189,Carroll,3836,Carroll Precinct 07-002,3328,198,44,508,3836,1,0.867570385818561,0.132429614181439,3594,0.0516162669447341,0.011470281543274244,0.9369134515119917
1190,Carroll,5993,Carroll Precinct 06-001,5728,248,74,265,5993,1,0.9557817453695978,0.04421825463040214,5671,0.04138161188052728,0.012347739028867011,0.9462706490906057
1191,Carroll,3510,Carroll Precinct 08-002,3268,211,50,242,3510,1,0.931054131054131,0.06894586894586895,3249,0.06011396011396011,0.014245014245014245,0.9256410256410257
1192,Carroll,2717,Carroll Precinct 08-003,2574,161,46,143,2717,1,0.9473684210526315,0.05263157894736842,2510,0.05925653294074347,0.016930437983069563,0.923813029076187
1193,Carroll,4591,Carroll Precinct 06-002,4324,276,88,267,4591,1,0.9418427357874102,0.05815726421258985,4227,0.06011762143323895,0.01916793726856894,0.9207144412981921
1770,Carroll,7060,Carroll Precinct 13-001,6426,558,114,634,7060,1,0.9101983002832861,0.08980169971671388,6388,0.07903682719546742,0.01614730878186969,0.9048158640226629
1794,Carroll,4768,Carroll Precinct 04-003,4514,296,75,254,4768,1,0.9467281879194631,0.05327181208053691,4397,0.06208053691275168,0.015729865771812082,0.9221895973154363
