,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,45,69,212,523,58,2986,1,0.942397856664434,0.01507032819825854,0.023107836570663093,0.01942397856664434,2251,0.0709979906229069,0.1751507032819826,0.7538513060951105
134,Carroll,1186,Carroll Precinct 12-001,1086,70,17,144,276,13,1186,1,0.9156829679595279,0.05902192242833052,0.01433389544688027,0.010961214165261383,766,0.12141652613827993,0.2327150084317032,0.6458684654300169
135,Carroll,2833,Carroll Precinct 11-001,2645,87,63,347,743,38,2833,1,0.9336392516766678,0.030709495234733496,0.02223791034239322,0.013413342746205436,1743,0.12248499823508648,0.26226614895870104,0.6152488528062124
396,Carroll,1084,Carroll Precinct 10-001,1040,12,15,109,338,17,1084,1,0.959409594095941,0.01107011070110701,0.013837638376383764,0.015682656826568265,637,0.10055350553505535,0.3118081180811808,0.5876383763837638
397,Carroll,7012,Carroll Precinct 01-001,6558,201,129,810,1751,124,7012,1,0.9352538505419281,0.028665145464917285,0.018397033656588704,0.017683970336565887,4451,0.11551625784369653,0.24971477467199088,0.6347689674843126
398,Carroll,1424,Carroll Precinct 02-001,1389,11,16,211,462,8,1424,1,0.9754213483146067,0.007724719101123595,0.011235955056179775,0.0056179775280898875,751,0.14817415730337077,0.324438202247191,0.5273876404494382
399,Carroll,1786,Carroll Precinct 02-002,1731,9,19,234,576,27,1786,1,0.9692049272116461,0.005039193729003359,0.010638297872340425,0.015117581187010079,976,0.13101903695408734,0.322508398656215,0.5464725643896976
927,Carroll,6623,Carroll Precinct 14-002,6214,125,131,806,1724,153,6623,1,0.9382455080779103,0.018873622225577532,0.019779556092405254,0.0231013136041069,4093,0.12169711611052393,0.26030499773516536,0.6179978861543107
928,Carroll,3192,Carroll Precinct 05-001,2872,133,80,662,760,107,3192,1,0.899749373433584,0.041666666666666664,0.02506265664160401,0.03352130325814536,1770,0.20739348370927319,0.23809523809523808,0.5545112781954887
929,Carroll,647,Carroll Precinct 05-006,626,5,6,143,144,10,647,1,0.9675425038639877,0.0077279752704791345,0.00927357032457496,0.015455950540958269,360,0.22102009273570325,0.22256568778979907,0.5564142194744977
931,Carroll,2786,Carroll Precinct 14-001,2611,70,52,480,804,53,2786,1,0.9371859296482412,0.02512562814070352,0.01866475233309404,0.019023689877961235,1502,0.1722900215362527,0.28858578607322327,0.539124192390524
932,Carroll,2559,Carroll Precinct 05-005,2276,87,77,589,658,119,2559,1,0.889409925752247,0.03399765533411489,0.03008987885892927,0.04650254005470887,1312,0.23016803438843297,0.25713169206721376,0.5127002735443532
933,Carroll,2727,Carroll Precinct 09-001,2601,49,40,467,1057,37,2727,1,0.9537953795379538,0.01796846351301797,0.014668133480014669,0.013568023469013568,1203,0.17125045837917124,0.3876054272093876,0.44114411441144114
934,Carroll,5574,Carroll Precinct 07-007,5011,218,157,865,1194,188,5574,1,0.8989953354861858,0.03911015428776462,0.0281664872622892,0.03372802296376032,3515,0.1551847865087908,0.21420882669537136,0.6306063867958378
935,Carroll,1903,Carroll Precinct 07-008,1759,65,29,237,525,50,1903,1,0.9243300052548608,0.03415659485023647,0.015239096163951655,0.02627430373095113,1141,0.12454019968470835,0.27588018917498686,0.5995796111403048
936,Carroll,960,Carroll Precinct 07-005,945,9,3,208,209,3,960,1,0.984375,0.009375,0.003125,0.003125,543,0.21666666666666667,0.21770833333333334,0.565625
937,Carroll,2365,Carroll Precinct 04-002,2282,28,19,315,711,36,2365,1,0.9649048625792812,0.011839323467230444,0.008033826638477801,0.01522198731501057,1339,0.1331923890063425,0.3006342494714588,0.5661733615221988
938,Carroll,2537,Carroll Precinct 07-006,2326,65,59,349,512,87,2537,1,0.9168309026409145,0.025620811982656682,0.023255813953488372,0.03429247142294048,1676,0.13756405202995664,0.2018131651556957,0.6606227828143476
939,Carroll,3647,Carroll Precinct 07-003,3100,264,178,427,504,105,3647,1,0.8500137098985467,0.07238826432684398,0.04880723882643268,0.028790786948176585,2716,0.11708253358925144,0.1381957773512476,0.744721689059501
940,Carroll,2385,Carroll Precinct 07-001,2135,105,101,281,351,44,2385,1,0.8951781970649895,0.0440251572327044,0.042348008385744235,0.018448637316561847,1753,0.11781970649895178,0.1471698113207547,0.7350104821802935
941,Carroll,7644,Carroll Precinct 05-004,6509,725,141,1426,1928,269,7644,1,0.8515175300889587,0.09484563055991628,0.018445839874411302,0.03519099947671376,4290,0.18655154369440083,0.2522239665096808,0.5612244897959183
