,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
200,Charles,2592,Charles Precinct 03-001,1691,785,33,345,495,83,2592,1,0.652391975308642,0.3028549382716049,0.01273148148148148,0.03202160493827161,1752,0.13310185185185186,0.1909722222222222,0.6759259259259259
201,Charles,1606,Charles Precinct 02-001,1303,240,25,201,397,38,1606,1,0.811332503113325,0.149439601494396,0.015566625155666251,0.023661270236612703,1008,0.12515566625155666,0.24719800747198006,0.6276463262764632
202,Charles,3125,Charles Precinct 10-001,1544,1367,58,541,452,156,3125,1,0.49408,0.43744,0.01856,0.04992,2132,0.17312,0.14464,0.68224
203,Charles,2755,Charles Precinct 07-002,1062,1428,75,596,275,190,2755,1,0.385480943738657,0.5183303085299455,0.02722323049001815,0.06896551724137931,1884,0.2163339382940109,0.0998185117967332,0.6838475499092559
204,Charles,3366,Charles Precinct 07-003,1393,1646,77,793,310,250,3366,1,0.4138443256090315,0.489007724301842,0.02287581699346405,0.07427213309566251,2263,0.2355912061794415,0.09209744503862151,0.672311348781937
205,Charles,1655,Charles Precinct 07-001,1311,217,63,180,249,64,1655,1,0.7921450151057402,0.1311178247734139,0.038066465256797584,0.03867069486404834,1226,0.10876132930513595,0.15045317220543808,0.740785498489426
206,Charles,2514,Charles Precinct 07-004,947,1356,87,703,213,124,2514,1,0.37669053301511535,0.5393794749403341,0.034606205250596656,0.049323786793953855,1598,0.27963404932378677,0.08472553699284009,0.6356404136833731
209,Charles,2440,Charles Precinct 01-002,1878,409,43,344,619,110,2440,1,0.769672131147541,0.16762295081967213,0.01762295081967213,0.045081967213114756,1477,0.14098360655737704,0.25368852459016394,0.605327868852459
210,Charles,1733,Charles Precinct 04-002,1449,198,27,181,475,59,1733,1,0.8361223312175419,0.1142527409117138,0.015579919215233698,0.034045008655510675,1077,0.10444316214656665,0.2740911713791114,0.621465666474322
211,Charles,2359,Charles Precinct 01-003,1637,577,62,385,554,83,2359,1,0.6939381093683764,0.24459516744383214,0.02628232301822806,0.035184400169563375,1420,0.1632047477744807,0.23484527342094108,0.6019499788045782
212,Charles,2485,Charles Precinct 01-004,1976,352,62,290,543,95,2485,1,0.7951710261569417,0.14164989939637826,0.024949698189134808,0.03822937625754527,1652,0.11670020120724346,0.21851106639839035,0.6647887323943662
213,Charles,3599,Charles Precinct 05-001,2920,525,42,453,770,112,3599,1,0.81133648235621,0.14587385384829119,0.011669908307863295,0.031119755487635455,2376,0.12586829674909697,0.21394831897749375,0.6601833842734093
214,Charles,2563,Charles Precinct 04-001,2230,242,45,254,666,46,2563,1,0.870074131876707,0.0944206008583691,0.017557549746390948,0.01794771751853297,1643,0.09910261412407335,0.25985173624658603,0.6410456496293406
215,Charles,2392,Charles Precinct 08-001,1757,508,39,457,871,88,2392,1,0.7345317725752508,0.21237458193979933,0.016304347826086956,0.03678929765886288,1064,0.19105351170568563,0.3641304347826087,0.44481605351170567
216,Charles,2371,Charles Precinct 06-001,1797,407,51,356,550,116,2371,1,0.7579080556727119,0.17165752846900043,0.021509911429776464,0.04892450442851118,1465,0.15014761703922397,0.2319696330662168,0.6178827498945593
217,Charles,3623,Charles Precinct 06-014,1425,1808,137,885,379,253,3623,1,0.3933204526635385,0.4990339497653878,0.03781396632624896,0.06983163124482474,2359,0.2442727021805134,0.10460943969086392,0.6511178581286227
378,Charles,2571,Charles Precinct 09-002,1957,462,47,337,576,105,2571,1,0.7611824192921043,0.17969661610268378,0.018280824581874758,0.040840140023337225,1658,0.1310774017891871,0.22403733955659277,0.6448852586542202
387,Charles,2356,Charles Precinct 09-001,1447,758,38,439,520,113,2356,1,0.6141765704584041,0.32173174872665533,0.016129032258064516,0.04796264855687606,1397,0.18633276740237692,0.22071307300509338,0.5929541595925297
454,Charles,3603,Charles Precinct 06-006,1784,1375,224,636,393,220,3603,1,0.49514293644185403,0.38162642242575634,0.062170413544268666,0.06106022758812101,2574,0.1765195670274771,0.10907577019150708,0.7144046627810158
455,Charles,2547,Charles Precinct 06-018,447,1703,133,910,103,264,2547,1,0.17550058892815076,0.6686297605025521,0.05221829603455045,0.10365135453474676,1534,0.3572830781311347,0.04043973301923832,0.602277188849627
456,Charles,2806,Charles Precinct 06-009,1003,1540,130,548,168,133,2806,1,0.357448325017819,0.5488239486813971,0.04632929436920884,0.0473984319315752,2090,0.19529579472558803,0.05987170349251604,0.744832501781896
457,Charles,2084,Charles Precinct 06-008,812,1024,129,450,157,119,2084,1,0.3896353166986564,0.491362763915547,0.06190019193857965,0.05710172744721689,1477,0.21593090211132437,0.07533589251439539,0.7087332053742802
458,Charles,2626,Charles Precinct 06-016,1097,1162,173,395,200,194,2626,1,0.41774562071591775,0.4424980959634425,0.06587966488956588,0.07387661843107388,2031,0.1504188880426504,0.07616146230007616,0.7734196496572734
459,Charles,3458,Charles Precinct 06-015,1025,1939,211,565,141,283,3458,1,0.2964141122035859,0.5607287449392713,0.06101792943898207,0.08183921341816079,2752,0.16338924233661076,0.04077501445922498,0.7958357432041643
460,Charles,1862,Charles Precinct 06-011,599,994,68,594,195,201,1862,1,0.3216970998925886,0.5338345864661654,0.036519871106337275,0.1079484425349087,1073,0.31901181525241673,0.10472610096670247,0.5762620837808807
461,Charles,3992,Charles Precinct 06-007,1423,2073,239,670,231,257,3992,1,0.3564629258517034,0.5192885771543087,0.05986973947895791,0.06437875751503006,3091,0.16783567134268537,0.057865731462925854,0.7742985971943888
462,Charles,2617,Charles Precinct 06-005,575,1689,135,825,142,218,2617,1,0.21971723347344288,0.6453954910202522,0.051585785250286585,0.08330149025601834,1650,0.31524646541841805,0.054260603744745894,0.6304929308368361
463,Charles,1743,Charles Precinct 06-017,855,725,64,341,164,99,1743,1,0.4905335628227194,0.4159495123350545,0.03671830177854274,0.05679862306368331,1238,0.19563970166379804,0.09409064830751578,0.7102696500286861
464,Charles,2599,Charles Precinct 06-022,659,1546,211,427,117,183,2599,1,0.2535590611773759,0.5948441708349365,0.08118507118122355,0.07041169680646403,2055,0.16429395921508272,0.04501731435167372,0.7906887264332435
465,Charles,1568,Charles Precinct 06-012,649,712,110,337,132,97,1568,1,0.4139030612244898,0.45408163265306123,0.07015306122448979,0.06186224489795918,1099,0.2149234693877551,0.08418367346938775,0.7008928571428571
466,Charles,2347,Charles Precinct 08-004,1718,432,78,430,534,119,2347,1,0.731998295696634,0.18406476352790796,0.033233915636983385,0.05070302513847465,1383,0.1832126118449084,0.22752449936088623,0.5892628887942054
467,Charles,1345,Charles Precinct 08-005,1032,252,23,43,108,38,1345,1,0.7672862453531598,0.18736059479553904,0.017100371747211896,0.02825278810408922,1194,0.03197026022304833,0.08029739776951673,0.8877323420074349
468,Charles,2167,Charles Precinct 08-003,1317,664,85,412,309,101,2167,1,0.6077526534379326,0.30641439778495616,0.03922473465620674,0.046608214120904476,1446,0.19012459621596678,0.14259344716197508,0.6672819566220581
469,Charles,2164,Charles Precinct 08-002,1349,637,71,446,423,107,2164,1,0.6233826247689463,0.294362292051756,0.032809611829944546,0.04944547134935305,1295,0.20609981515711645,0.1954713493530499,0.5984288354898336
720,Charles,3857,Charles Precinct 01-001,2541,1001,121,563,513,194,3857,1,0.6588021778584392,0.2595281306715064,0.031371532278973296,0.05029815919108115,2781,0.14596836919885922,0.1330049261083744,0.7210267046927664
721,Charles,3570,Charles Precinct 06-002,2072,1190,126,710,553,182,3570,1,0.5803921568627451,0.3333333333333333,0.03529411764705882,0.050980392156862744,2307,0.19887955182072828,0.15490196078431373,0.646218487394958
722,Charles,1581,Charles Precinct 06-003,476,903,56,586,136,146,1581,1,0.3010752688172043,0.571157495256167,0.03542061986084757,0.09234661606578115,859,0.37065148640101203,0.08602150537634409,0.5433270082226439
723,Charles,1855,Charles Precinct 06-019,983,623,81,471,313,168,1855,1,0.5299191374663073,0.33584905660377357,0.04366576819407008,0.09056603773584905,1071,0.25390835579514826,0.16873315363881403,0.5773584905660377
724,Charles,2458,Charles Precinct 06-004,796,1368,116,824,174,178,2458,1,0.32384052074857606,0.5565500406834825,0.047192839707078924,0.07241659886086249,1460,0.3352318958502848,0.07078925956061839,0.5939788445890968
725,Charles,1494,Charles Precinct 06-020,801,526,71,292,191,96,1494,1,0.536144578313253,0.35207496653279785,0.04752342704149933,0.0642570281124498,1011,0.19544846050870146,0.1278447121820616,0.6767068273092369
726,Charles,1968,Charles Precinct 06-010,596,1107,94,913,218,171,1968,1,0.30284552845528456,0.5625,0.047764227642276426,0.08689024390243902,837,0.4639227642276423,0.11077235772357724,0.4253048780487805
727,Charles,1478,Charles Precinct 06-021,501,788,72,403,133,117,1478,1,0.33897158322056836,0.5331529093369418,0.04871447902571042,0.07916102841677942,942,0.27266576454668473,0.08998646820027063,0.6373477672530447
728,Charles,3773,Charles Precinct 06-013,1407,1870,157,837,378,339,3773,1,0.37291280148423006,0.4956268221574344,0.04161144977471508,0.08984892658362047,2558,0.22183938510469123,0.10018552875695733,0.6779750861383514
