,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
200,Charles,2592,Charles Precinct 03-001,1691,785,33,388,486,83,2592,1,0.652391975308642,0.3028549382716049,0.01273148148148148,0.03202160493827161,1718,0.14969135802469136,0.1875,0.6628086419753086
201,Charles,1606,Charles Precinct 02-001,1303,240,25,229,399,38,1606,1,0.811332503113325,0.149439601494396,0.015566625155666251,0.023661270236612703,978,0.14259028642590285,0.24844333748443337,0.6089663760896638
202,Charles,3125,Charles Precinct 10-001,1544,1367,58,572,447,156,3125,1,0.49408,0.43744,0.01856,0.04992,2106,0.18304,0.14304,0.67392
203,Charles,2755,Charles Precinct 07-002,1062,1428,75,613,289,190,2755,1,0.385480943738657,0.5183303085299455,0.02722323049001815,0.06896551724137931,1853,0.22250453720508168,0.10490018148820326,0.6725952813067151
204,Charles,3366,Charles Precinct 07-003,1393,1646,77,806,346,250,3366,1,0.4138443256090315,0.489007724301842,0.02287581699346405,0.07427213309566251,2214,0.23945335710041593,0.10279263220439691,0.6577540106951871
205,Charles,1655,Charles Precinct 07-001,1311,217,63,204,243,64,1655,1,0.7921450151057402,0.1311178247734139,0.038066465256797584,0.03867069486404834,1208,0.12326283987915408,0.14682779456193354,0.7299093655589124
206,Charles,2514,Charles Precinct 07-004,947,1356,87,736,216,124,2514,1,0.37669053301511535,0.5393794749403341,0.034606205250596656,0.049323786793953855,1562,0.29276054097056486,0.08591885441527446,0.6213206046141607
209,Charles,2440,Charles Precinct 01-002,1878,409,43,404,628,110,2440,1,0.769672131147541,0.16762295081967213,0.01762295081967213,0.045081967213114756,1408,0.16557377049180327,0.2573770491803279,0.5770491803278689
210,Charles,1733,Charles Precinct 04-002,1449,198,27,216,490,59,1733,1,0.8361223312175419,0.1142527409117138,0.015579919215233698,0.034045008655510675,1027,0.12463935372186959,0.2827466820542412,0.5926139642238892
211,Charles,2359,Charles Precinct 01-003,1637,577,62,437,544,83,2359,1,0.6939381093683764,0.24459516744383214,0.02628232301822806,0.035184400169563375,1378,0.18524798643493007,0.23060618906316235,0.5841458245019076
212,Charles,2485,Charles Precinct 01-004,1976,352,62,353,528,95,2485,1,0.7951710261569417,0.14164989939637826,0.024949698189134808,0.03822937625754527,1604,0.1420523138832998,0.2124748490945674,0.6454728370221328
213,Charles,3599,Charles Precinct 05-001,2920,525,42,560,740,112,3599,1,0.81133648235621,0.14587385384829119,0.011669908307863295,0.031119755487635455,2299,0.15559877743817727,0.20561267018616283,0.6387885523756599
214,Charles,2563,Charles Precinct 04-001,2230,242,45,330,644,46,2563,1,0.870074131876707,0.0944206008583691,0.017557549746390948,0.01794771751853297,1589,0.12875536480686695,0.25126804525946156,0.6199765899336714
215,Charles,2392,Charles Precinct 08-001,1757,508,39,538,845,88,2392,1,0.7345317725752508,0.21237458193979933,0.016304347826086956,0.03678929765886288,1009,0.2249163879598662,0.3532608695652174,0.4218227424749164
216,Charles,2371,Charles Precinct 06-001,1797,407,51,400,551,116,2371,1,0.7579080556727119,0.17165752846900043,0.021509911429776464,0.04892450442851118,1420,0.1687051876845213,0.23239139603542808,0.5989034162800506
217,Charles,3623,Charles Precinct 06-014,1425,1808,137,890,399,253,3623,1,0.3933204526635385,0.4990339497653878,0.03781396632624896,0.06983163124482474,2334,0.2456527739442451,0.11012972674579079,0.6442174993099641
378,Charles,2571,Charles Precinct 09-002,1957,462,47,380,576,105,2571,1,0.7611824192921043,0.17969661610268378,0.018280824581874758,0.040840140023337225,1615,0.14780241151302995,0.22403733955659277,0.6281602489303773
387,Charles,2356,Charles Precinct 09-001,1447,758,38,486,507,113,2356,1,0.6141765704584041,0.32173174872665533,0.016129032258064516,0.04796264855687606,1363,0.20628183361629882,0.21519524617996605,0.5785229202037352
454,Charles,3603,Charles Precinct 06-006,1784,1375,224,686,391,220,3603,1,0.49514293644185403,0.38162642242575634,0.062170413544268666,0.06106022758812101,2526,0.1903968914793228,0.10852067721343325,0.701082431307244
455,Charles,2547,Charles Precinct 06-018,447,1703,133,913,123,264,2547,1,0.17550058892815076,0.6686297605025521,0.05221829603455045,0.10365135453474676,1511,0.35846093443266586,0.048292108362779744,0.5932469572045543
456,Charles,2806,Charles Precinct 06-009,1003,1540,130,566,180,133,2806,1,0.357448325017819,0.5488239486813971,0.04632929436920884,0.0473984319315752,2060,0.20171062009978616,0.06414825374198146,0.7341411261582323
457,Charles,2084,Charles Precinct 06-008,812,1024,129,460,174,119,2084,1,0.3896353166986564,0.491362763915547,0.06190019193857965,0.05710172744721689,1450,0.22072936660268713,0.08349328214971209,0.6957773512476008
458,Charles,2626,Charles Precinct 06-016,1097,1162,173,418,204,194,2626,1,0.41774562071591775,0.4424980959634425,0.06587966488956588,0.07387661843107388,2004,0.15917745620715917,0.07768469154607768,0.7631378522467631
459,Charles,3458,Charles Precinct 06-015,1025,1939,211,573,150,283,3458,1,0.2964141122035859,0.5607287449392713,0.06101792943898207,0.08183921341816079,2735,0.16570271833429728,0.04337767495662233,0.7909196067090803
460,Charles,1862,Charles Precinct 06-011,599,994,68,602,203,201,1862,1,0.3216970998925886,0.5338345864661654,0.036519871106337275,0.1079484425349087,1057,0.3233082706766917,0.10902255639097744,0.5676691729323309
461,Charles,3992,Charles Precinct 06-007,1423,2073,239,679,249,257,3992,1,0.3564629258517034,0.5192885771543087,0.05986973947895791,0.06437875751503006,3064,0.17009018036072143,0.062374749498997996,0.7675350701402806
462,Charles,2617,Charles Precinct 06-005,575,1689,135,839,153,218,2617,1,0.21971723347344288,0.6453954910202522,0.051585785250286585,0.08330149025601834,1625,0.32059610240733666,0.058463889950324796,0.6209400076423386
