,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
200,Charles,2592,Charles Precinct 03-001,1691,314,595,901,2592,1,0.652391975308642,0.34760802469135804,1683,0.12114197530864197,0.22955246913580246,0.6493055555555556
201,Charles,1606,Charles Precinct 02-001,1303,169,481,303,1606,1,0.811332503113325,0.18866749688667497,956,0.10523038605230386,0.29950186799501866,0.5952677459526775
202,Charles,3125,Charles Precinct 10-001,1544,473,570,1581,3125,1,0.49408,0.50592,2082,0.15136,0.1824,0.66624
203,Charles,2755,Charles Precinct 07-002,1062,575,338,1693,2755,1,0.385480943738657,0.6145190562613431,1842,0.20871143375680581,0.12268602540834846,0.6686025408348457
204,Charles,3366,Charles Precinct 07-003,1393,764,410,1973,3366,1,0.4138443256090315,0.5861556743909685,2192,0.22697563874034463,0.12180629827688651,0.6512180629827689
205,Charles,1655,Charles Precinct 07-001,1311,145,305,344,1655,1,0.7921450151057402,0.20785498489425983,1205,0.08761329305135952,0.18429003021148035,0.7280966767371602
206,Charles,2514,Charles Precinct 07-004,947,683,267,1567,2514,1,0.37669053301511535,0.6233094669848847,1564,0.271678599840891,0.10620525059665871,0.6221161495624503
209,Charles,2440,Charles Precinct 01-002,1878,267,783,562,2440,1,0.769672131147541,0.230327868852459,1390,0.10942622950819672,0.3209016393442623,0.569672131147541
210,Charles,1733,Charles Precinct 04-002,1449,109,619,284,1733,1,0.8361223312175419,0.16387766878245816,1005,0.06289671090594345,0.3571840738603578,0.5799192152336988
211,Charles,2359,Charles Precinct 01-003,1637,307,705,722,2359,1,0.6939381093683764,0.3060618906316236,1347,0.1301398897838067,0.29885544722339974,0.5710046629927935
212,Charles,2485,Charles Precinct 01-004,1976,236,663,509,2485,1,0.7951710261569417,0.20482897384305834,1586,0.09496981891348089,0.26680080482897384,0.6382293762575453
213,Charles,3599,Charles Precinct 05-001,2920,338,987,679,3599,1,0.81133648235621,0.18866351764378994,2274,0.09391497638232843,0.2742428452347874,0.6318421783828841
214,Charles,2563,Charles Precinct 04-001,2230,154,838,333,2563,1,0.870074131876707,0.12992586812329301,1571,0.060085836909871244,0.3269605930550137,0.6129535700351151
215,Charles,2392,Charles Precinct 08-001,1757,370,1033,635,2392,1,0.7345317725752508,0.2654682274247492,989,0.15468227424749165,0.4318561872909699,0.41346153846153844
216,Charles,2371,Charles Precinct 06-001,1797,293,667,574,2371,1,0.7579080556727119,0.24209194432728806,1411,0.12357654997891185,0.2813159004639393,0.5951075495571488
217,Charles,3623,Charles Precinct 06-014,1425,839,457,2198,3623,1,0.3933204526635385,0.6066795473364615,2327,0.2315760419541816,0.12613855920507866,0.6422853988407398
378,Charles,2571,Charles Precinct 09-002,1957,273,692,614,2571,1,0.7611824192921043,0.23881758070789577,1606,0.10618436406067679,0.2691559704395177,0.6246596654998056
387,Charles,2356,Charles Precinct 09-001,1447,397,604,909,2356,1,0.6141765704584041,0.38582342954159593,1355,0.16850594227504245,0.2563667232597623,0.5751273344651953
454,Charles,3603,Charles Precinct 06-006,1784,604,478,1819,3603,1,0.49514293644185403,0.504857063558146,2521,0.16763807937829586,0.13266722175964474,0.6996946988620594
455,Charles,2547,Charles Precinct 06-018,447,906,125,2100,2547,1,0.17550058892815076,0.8244994110718492,1516,0.35571260306242636,0.04907734589713388,0.5952100510404398
456,Charles,2806,Charles Precinct 06-009,1003,543,210,1803,2806,1,0.357448325017819,0.642551674982181,2053,0.19351389878831077,0.07483962936564505,0.7316464718460441
457,Charles,2084,Charles Precinct 06-008,812,434,201,1272,2084,1,0.3896353166986564,0.6103646833013435,1449,0.20825335892514396,0.09644913627639155,0.6952975047984645
458,Charles,2626,Charles Precinct 06-016,1097,390,235,1529,2626,1,0.41774562071591775,0.5822543792840823,2001,0.1485148514851485,0.0894897182025895,0.761995430312262
459,Charles,3458,Charles Precinct 06-015,1025,552,183,2433,3458,1,0.2964141122035859,0.7035858877964141,2723,0.15962984384037016,0.05292076344707924,0.7874493927125507
460,Charles,1862,Charles Precinct 06-011,599,564,248,1263,1862,1,0.3216970998925886,0.6783029001074113,1050,0.3029001074113856,0.13319011815252416,0.5639097744360902
461,Charles,3992,Charles Precinct 06-007,1423,640,292,2569,3992,1,0.3564629258517034,0.6435370741482966,3060,0.16032064128256512,0.07314629258517034,0.7665330661322646
462,Charles,2617,Charles Precinct 06-005,575,802,192,2042,2617,1,0.21971723347344288,0.7802827665265571,1623,0.3064577760794803,0.07336645013374092,0.6201757737867788
463,Charles,1743,Charles Precinct 06-017,855,325,201,888,1743,1,0.4905335628227194,0.5094664371772806,1217,0.18646012621916236,0.1153184165232358,0.6982214572576019
464,Charles,2599,Charles Precinct 06-022,659,415,142,1940,2599,1,0.2535590611773759,0.7464409388226241,2042,0.1596767987687572,0.05463639861485187,0.7856868026163909
465,Charles,1568,Charles Precinct 06-012,649,335,156,919,1568,1,0.4139030612244898,0.5860969387755102,1077,0.21364795918367346,0.09948979591836735,0.6868622448979592
466,Charles,2347,Charles Precinct 08-004,1718,359,654,629,2347,1,0.731998295696634,0.268001704303366,1334,0.15296122709842352,0.2786536003408607,0.5683851725607159
467,Charles,1345,Charles Precinct 08-005,1032,22,138,313,1345,1,0.7672862453531598,0.23271375464684016,1185,0.016356877323420074,0.10260223048327137,0.8810408921933085
468,Charles,2167,Charles Precinct 08-003,1317,357,393,850,2167,1,0.6077526534379326,0.3922473465620674,1417,0.1647438855560683,0.18135671435163822,0.6538994000922935
469,Charles,2164,Charles Precinct 08-002,1349,418,498,815,2164,1,0.6233826247689463,0.3766173752310536,1248,0.19316081330868762,0.2301293900184843,0.5767097966728281
720,Charles,3857,Charles Precinct 01-001,2541,472,670,1316,3857,1,0.6588021778584392,0.3411978221415608,2715,0.12237490277417683,0.17371013741249675,0.7039149598133264
721,Charles,3570,Charles Precinct 06-002,2072,645,684,1498,3570,1,0.5803921568627451,0.4196078431372549,2241,0.18067226890756302,0.1915966386554622,0.6277310924369748
722,Charles,1581,Charles Precinct 06-003,476,560,181,1105,1581,1,0.3010752688172043,0.6989247311827957,840,0.35420619860847563,0.11448450347881088,0.5313092979127134
723,Charles,1855,Charles Precinct 06-019,983,442,378,872,1855,1,0.5299191374663073,0.47008086253369274,1035,0.23827493261455526,0.2037735849056604,0.5579514824797843
724,Charles,2458,Charles Precinct 06-004,796,803,232,1662,2458,1,0.32384052074857606,0.676159479251424,1423,0.32668836452400324,0.09438567941415785,0.5789259560618389
725,Charles,1494,Charles Precinct 06-020,801,268,236,693,1494,1,0.536144578313253,0.463855421686747,990,0.17938420348058903,0.15796519410977242,0.6626506024096386
726,Charles,1968,Charles Precinct 06-010,596,892,261,1372,1968,1,0.30284552845528456,0.6971544715447154,815,0.4532520325203252,0.1326219512195122,0.4141260162601626
727,Charles,1478,Charles Precinct 06-021,501,375,177,977,1478,1,0.33897158322056836,0.6610284167794317,926,0.25372124492557513,0.11975642760487144,0.6265223274695535
728,Charles,3773,Charles Precinct 06-013,1407,797,471,2366,3773,1,0.37291280148423006,0.62708719851577,2505,0.21123774184998675,0.12483434932414524,0.663927908825868
