,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
200,Charles,2592,Charles Precinct 03-001,1691,785,33,274,650,83,2592,1,0.652391975308642,0.3028549382716049,0.01273148148148148,0.03202160493827161,1668,0.10570987654320987,0.2507716049382716,0.6435185185185185
201,Charles,1606,Charles Precinct 02-001,1303,240,25,102,531,38,1606,1,0.811332503113325,0.149439601494396,0.015566625155666251,0.023661270236612703,973,0.06351183063511831,0.3306351183063512,0.6058530510585305
202,Charles,3125,Charles Precinct 10-001,1544,1367,58,431,682,156,3125,1,0.49408,0.43744,0.01856,0.04992,2012,0.13792,0.21824,0.64384
203,Charles,2755,Charles Precinct 07-002,1062,1428,75,683,461,190,2755,1,0.385480943738657,0.5183303085299455,0.02722323049001815,0.06896551724137931,1611,0.24791288566243194,0.16733212341197823,0.5847549909255898
204,Charles,3366,Charles Precinct 07-003,1393,1646,77,736,560,250,3366,1,0.4138443256090315,0.489007724301842,0.02287581699346405,0.07427213309566251,2070,0.21865715983363043,0.16636957813428402,0.6149732620320856
205,Charles,1655,Charles Precinct 07-001,1311,217,63,118,349,64,1655,1,0.7921450151057402,0.1311178247734139,0.038066465256797584,0.03867069486404834,1188,0.07129909365558912,0.2108761329305136,0.7178247734138973
206,Charles,2514,Charles Precinct 07-004,947,1356,87,888,457,124,2514,1,0.37669053301511535,0.5393794749403341,0.034606205250596656,0.049323786793953855,1169,0.3532219570405728,0.18178202068416865,0.46499602227525855
209,Charles,2440,Charles Precinct 01-002,1878,409,43,204,845,110,2440,1,0.769672131147541,0.16762295081967213,0.01762295081967213,0.045081967213114756,1391,0.08360655737704918,0.3463114754098361,0.5700819672131148
210,Charles,1733,Charles Precinct 04-002,1449,198,27,83,646,59,1733,1,0.8361223312175419,0.1142527409117138,0.015579919215233698,0.034045008655510675,1004,0.04789382573571841,0.37276399307559144,0.5793421811886902
211,Charles,2359,Charles Precinct 01-003,1637,577,62,319,765,83,2359,1,0.6939381093683764,0.24459516744383214,0.02628232301822806,0.035184400169563375,1275,0.13522679101314117,0.32428995337007205,0.5404832556167868
212,Charles,2485,Charles Precinct 01-004,1976,352,62,194,679,95,2485,1,0.7951710261569417,0.14164989939637826,0.024949698189134808,0.03822937625754527,1612,0.07806841046277666,0.27323943661971833,0.648692152917505
213,Charles,3599,Charles Precinct 05-001,2920,525,42,227,1001,112,3599,1,0.81133648235621,0.14587385384829119,0.011669908307863295,0.031119755487635455,2371,0.063073075854404,0.27813281467074186,0.6587941094748542
214,Charles,2563,Charles Precinct 04-001,2230,242,45,117,900,46,2563,1,0.870074131876707,0.0944206008583691,0.017557549746390948,0.01794771751853297,1546,0.04564962934061646,0.351150994927819,0.6031993757315646
215,Charles,2392,Charles Precinct 08-001,1757,508,39,397,1079,88,2392,1,0.7345317725752508,0.21237458193979933,0.016304347826086956,0.03678929765886288,916,0.16596989966555184,0.45108695652173914,0.38294314381270905
216,Charles,2371,Charles Precinct 06-001,1797,407,51,264,675,116,2371,1,0.7579080556727119,0.17165752846900043,0.021509911429776464,0.04892450442851118,1432,0.11134542387178406,0.2846900042176297,0.6039645719105863
217,Charles,3623,Charles Precinct 06-014,1425,1808,137,918,658,253,3623,1,0.3933204526635385,0.4990339497653878,0.03781396632624896,0.06983163124482474,2047,0.2533811758211427,0.18161744410709357,0.5650013800717637
378,Charles,2571,Charles Precinct 09-002,1957,462,47,254,828,105,2571,1,0.7611824192921043,0.17969661610268378,0.018280824581874758,0.040840140023337225,1489,0.09879424348502529,0.3220536756126021,0.5791520809023726
