,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
200,Charles,2592,Charles Precinct 03-001,1691,785,33,518,708,83,2592,1,0.652391975308642,0.3028549382716049,0.01273148148148148,0.03202160493827161,1366,0.19984567901234568,0.27314814814814814,0.5270061728395061
201,Charles,1606,Charles Precinct 02-001,1303,240,25,216,523,38,1606,1,0.811332503113325,0.149439601494396,0.015566625155666251,0.023661270236612703,867,0.13449564134495642,0.325653798256538,0.5398505603985057
202,Charles,3125,Charles Precinct 10-001,1544,1367,58,725,593,156,3125,1,0.49408,0.43744,0.01856,0.04992,1807,0.232,0.18976,0.57824
203,Charles,2755,Charles Precinct 07-002,1062,1428,75,975,323,190,2755,1,0.385480943738657,0.5183303085299455,0.02722323049001815,0.06896551724137931,1457,0.35390199637023595,0.11724137931034483,0.5288566243194193
204,Charles,3366,Charles Precinct 07-003,1393,1646,77,1038,436,250,3366,1,0.4138443256090315,0.489007724301842,0.02287581699346405,0.07427213309566251,1892,0.3083778966131907,0.1295306001188354,0.5620915032679739
205,Charles,1655,Charles Precinct 07-001,1311,217,63,203,336,64,1655,1,0.7921450151057402,0.1311178247734139,0.038066465256797584,0.03867069486404834,1116,0.12265861027190332,0.2030211480362538,0.6743202416918429
206,Charles,2514,Charles Precinct 07-004,947,1356,87,931,281,124,2514,1,0.37669053301511535,0.5393794749403341,0.034606205250596656,0.049323786793953855,1302,0.3703261734287987,0.11177406523468576,0.5178997613365155
209,Charles,2440,Charles Precinct 01-002,1878,409,43,342,674,110,2440,1,0.769672131147541,0.16762295081967213,0.01762295081967213,0.045081967213114756,1424,0.14016393442622951,0.2762295081967213,0.5836065573770491
210,Charles,1733,Charles Precinct 04-002,1449,198,27,196,609,59,1733,1,0.8361223312175419,0.1142527409117138,0.015579919215233698,0.034045008655510675,928,0.11309867282169649,0.3514137334102712,0.5354875937680323
211,Charles,2359,Charles Precinct 01-003,1637,577,62,473,575,83,2359,1,0.6939381093683764,0.24459516744383214,0.02628232301822806,0.035184400169563375,1311,0.20050869012293346,0.2437473505722764,0.5557439593047901
212,Charles,2485,Charles Precinct 01-004,1976,352,62,319,585,95,2485,1,0.7951710261569417,0.14164989939637826,0.024949698189134808,0.03822937625754527,1581,0.1283702213279678,0.23541247484909456,0.6362173038229376
