,COUNTY,VAP,NAME,WVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
200,Charles,2592,Charles Precinct 03-001,1691,590,394,901,2592,1,0.652391975308642,0.34760802469135804,1608,0.22762345679012347,0.15200617283950618,0.6203703703703703
201,Charles,1606,Charles Precinct 02-001,1303,346,356,303,1606,1,0.811332503113325,0.18866749688667497,904,0.21544209215442092,0.22166874221668742,0.5628891656288917
202,Charles,3125,Charles Precinct 10-001,1544,941,370,1581,3125,1,0.49408,0.50592,1814,0.30112,0.1184,0.58048
203,Charles,2755,Charles Precinct 07-002,1062,1018,207,1693,2755,1,0.385480943738657,0.6145190562613431,1530,0.36950998185117967,0.0751361161524501,0.5553539019963702
204,Charles,3366,Charles Precinct 07-003,1393,1159,297,1973,3366,1,0.4138443256090315,0.5861556743909685,1910,0.3443256090314914,0.08823529411764706,0.5674390968508616
205,Charles,1655,Charles Precinct 07-001,1311,260,193,344,1655,1,0.7921450151057402,0.20785498489425983,1202,0.15709969788519637,0.11661631419939578,0.7262839879154078
206,Charles,2514,Charles Precinct 07-004,947,939,188,1567,2514,1,0.37669053301511535,0.6233094669848847,1387,0.373508353221957,0.07478122513922036,0.5517104216388226
209,Charles,2440,Charles Precinct 01-002,1878,493,638,562,2440,1,0.769672131147541,0.230327868852459,1309,0.20204918032786887,0.2614754098360656,0.5364754098360656
210,Charles,1733,Charles Precinct 04-002,1449,264,432,284,1733,1,0.8361223312175419,0.16387766878245816,1037,0.15233698788228506,0.24927870744373917,0.5983843046739757
211,Charles,2359,Charles Precinct 01-003,1637,428,372,722,2359,1,0.6939381093683764,0.3060618906316236,1559,0.1814328105129292,0.15769393810936838,0.6608732513777024
212,Charles,2485,Charles Precinct 01-004,1976,464,484,509,2485,1,0.7951710261569417,0.20482897384305834,1537,0.18672032193158955,0.19476861167002013,0.6185110663983904
213,Charles,3599,Charles Precinct 05-001,2920,656,705,679,3599,1,0.81133648235621,0.18866351764378994,2238,0.18227285357043624,0.19588774659627675,0.6218393998332871
214,Charles,2563,Charles Precinct 04-001,2230,356,618,333,2563,1,0.870074131876707,0.12992586812329301,1589,0.1388997268825595,0.24112368318376903,0.6199765899336714
215,Charles,2392,Charles Precinct 08-001,1757,490,528,635,2392,1,0.7345317725752508,0.2654682274247492,1374,0.2048494983277592,0.22073578595317725,0.5744147157190636
216,Charles,2371,Charles Precinct 06-001,1797,505,485,574,2371,1,0.7579080556727119,0.24209194432728806,1381,0.21299029945170814,0.20455504006748207,0.5824546604808097
217,Charles,3623,Charles Precinct 06-014,1425,1107,354,2198,3623,1,0.3933204526635385,0.6066795473364615,2162,0.3055478884902015,0.09770908087220535,0.5967430306375932
378,Charles,2571,Charles Precinct 09-002,1957,501,491,614,2571,1,0.7611824192921043,0.23881758070789577,1579,0.19486581096849476,0.190976273823415,0.6141579152080903
387,Charles,2356,Charles Precinct 09-001,1447,642,465,909,2356,1,0.6141765704584041,0.38582342954159593,1249,0.27249575551782684,0.19736842105263158,0.5301358234295416
454,Charles,3603,Charles Precinct 06-006,1784,1104,409,1819,3603,1,0.49514293644185403,0.504857063558146,2090,0.3064113238967527,0.11351651401609769,0.5800721620871496
455,Charles,2547,Charles Precinct 06-018,447,1215,95,2100,2547,1,0.17550058892815076,0.8244994110718492,1237,0.47703180212014135,0.03729878288182175,0.4856694149980369
456,Charles,2806,Charles Precinct 06-009,1003,945,151,1803,2806,1,0.357448325017819,0.642551674982181,1710,0.3367783321454027,0.05381325730577334,0.609408410548824
457,Charles,2084,Charles Precinct 06-008,812,771,169,1272,2084,1,0.3896353166986564,0.6103646833013435,1144,0.3699616122840691,0.08109404990403071,0.5489443378119002
458,Charles,2626,Charles Precinct 06-016,1097,563,189,1529,2626,1,0.41774562071591775,0.5822543792840823,1874,0.2143945163747144,0.07197258187357197,0.7136329017517137
459,Charles,3458,Charles Precinct 06-015,1025,851,130,2433,3458,1,0.2964141122035859,0.7035858877964141,2477,0.24609600925390399,0.03759398496240601,0.71631000578369
