,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
200,Charles,2592,Charles Precinct 03-001,1691,785,33,123,112,83,2592,1,0.652391975308642,0.3028549382716049,0.01273148148148148,0.03202160493827161,2357,0.047453703703703706,0.043209876543209874,0.9093364197530864
201,Charles,1606,Charles Precinct 02-001,1303,240,25,79,51,38,1606,1,0.811332503113325,0.149439601494396,0.015566625155666251,0.023661270236612703,1476,0.04919053549190536,0.031755915317559155,0.9190535491905355
202,Charles,3125,Charles Precinct 10-001,1544,1367,58,160,233,156,3125,1,0.49408,0.43744,0.01856,0.04992,2732,0.0512,0.07456,0.87424
203,Charles,2755,Charles Precinct 07-002,1062,1428,75,153,271,190,2755,1,0.385480943738657,0.5183303085299455,0.02722323049001815,0.06896551724137931,2331,0.055535390199637026,0.0983666061705989,0.8460980036297641
204,Charles,3366,Charles Precinct 07-003,1393,1646,77,227,350,250,3366,1,0.4138443256090315,0.489007724301842,0.02287581699346405,0.07427213309566251,2789,0.06743909685086155,0.10398098633392751,0.8285799168152109
205,Charles,1655,Charles Precinct 07-001,1311,217,63,68,52,64,1655,1,0.7921450151057402,0.1311178247734139,0.038066465256797584,0.03867069486404834,1535,0.04108761329305136,0.03141993957703928,0.9274924471299094
206,Charles,2514,Charles Precinct 07-004,947,1356,87,161,344,124,2514,1,0.37669053301511535,0.5393794749403341,0.034606205250596656,0.049323786793953855,2009,0.06404136833731106,0.1368337311058075,0.7991249005568815
209,Charles,2440,Charles Precinct 01-002,1878,409,43,170,96,110,2440,1,0.769672131147541,0.16762295081967213,0.01762295081967213,0.045081967213114756,2174,0.06967213114754098,0.03934426229508197,0.8909836065573771
210,Charles,1733,Charles Precinct 04-002,1449,198,27,65,36,59,1733,1,0.8361223312175419,0.1142527409117138,0.015579919215233698,0.034045008655510675,1632,0.03750721292556261,0.0207732256203116,0.9417195614541258
211,Charles,2359,Charles Precinct 01-003,1637,577,62,159,130,83,2359,1,0.6939381093683764,0.24459516744383214,0.02628232301822806,0.035184400169563375,2070,0.06740144128868164,0.05510809665112336,0.877490462060195
212,Charles,2485,Charles Precinct 01-004,1976,352,62,134,78,95,2485,1,0.7951710261569417,0.14164989939637826,0.024949698189134808,0.03822937625754527,2273,0.053923541247484906,0.031388329979879274,0.9146881287726358
213,Charles,3599,Charles Precinct 05-001,2920,525,42,173,116,112,3599,1,0.81133648235621,0.14587385384829119,0.011669908307863295,0.031119755487635455,3310,0.04806890803000834,0.03223117532647958,0.9196999166435121
214,Charles,2563,Charles Precinct 04-001,2230,242,45,122,82,46,2563,1,0.870074131876707,0.0944206008583691,0.017557549746390948,0.01794771751853297,2359,0.04760046820132657,0.03199375731564573,0.9204057744830277
215,Charles,2392,Charles Precinct 08-001,1757,508,39,223,171,88,2392,1,0.7345317725752508,0.21237458193979933,0.016304347826086956,0.03678929765886288,1998,0.09322742474916387,0.07148829431438126,0.8352842809364549
216,Charles,2371,Charles Precinct 06-001,1797,407,51,177,116,116,2371,1,0.7579080556727119,0.17165752846900043,0.021509911429776464,0.04892450442851118,2078,0.07465204555040067,0.04892450442851118,0.8764234500210881
217,Charles,3623,Charles Precinct 06-014,1425,1808,137,291,434,253,3623,1,0.3933204526635385,0.4990339497653878,0.03781396632624896,0.06983163124482474,2898,0.08032017664918575,0.11979022909191278,0.7998895942589015
378,Charles,2571,Charles Precinct 09-002,1957,462,47,143,117,105,2571,1,0.7611824192921043,0.17969661610268378,0.018280824581874758,0.040840140023337225,2311,0.055620381174640215,0.045507584597432905,0.8988720342279268
387,Charles,2356,Charles Precinct 09-001,1447,758,38,154,202,113,2356,1,0.6141765704584041,0.32173174872665533,0.016129032258064516,0.04796264855687606,2000,0.06536502546689305,0.08573853989813243,0.8488964346349746
454,Charles,3603,Charles Precinct 06-006,1784,1375,224,199,309,220,3603,1,0.49514293644185403,0.38162642242575634,0.062170413544268666,0.06106022758812101,3095,0.055231751318345824,0.08576186511240633,0.8590063835692479
455,Charles,2547,Charles Precinct 06-018,447,1703,133,178,510,264,2547,1,0.17550058892815076,0.6686297605025521,0.05221829603455045,0.10365135453474676,1859,0.06988614055751866,0.20023557126030625,0.7298782881821752
456,Charles,2806,Charles Precinct 06-009,1003,1540,130,221,214,133,2806,1,0.357448325017819,0.5488239486813971,0.04632929436920884,0.0473984319315752,2371,0.07875980042765503,0.07626514611546685,0.8449750534568781
457,Charles,2084,Charles Precinct 06-008,812,1024,129,116,195,119,2084,1,0.3896353166986564,0.491362763915547,0.06190019193857965,0.05710172744721689,1773,0.05566218809980806,0.0935700575815739,0.8507677543186181
458,Charles,2626,Charles Precinct 06-016,1097,1162,173,112,207,194,2626,1,0.41774562071591775,0.4424980959634425,0.06587966488956588,0.07387661843107388,2307,0.04265041888804265,0.07882711348057883,0.8785224676313785
459,Charles,3458,Charles Precinct 06-015,1025,1939,211,126,294,283,3458,1,0.2964141122035859,0.5607287449392713,0.06101792943898207,0.08183921341816079,3038,0.03643724696356275,0.08502024291497975,0.8785425101214575
460,Charles,1862,Charles Precinct 06-011,599,994,68,136,281,201,1862,1,0.3216970998925886,0.5338345864661654,0.036519871106337275,0.1079484425349087,1445,0.07303974221267455,0.15091299677765843,0.776047261009667
461,Charles,3992,Charles Precinct 06-007,1423,2073,239,157,298,257,3992,1,0.3564629258517034,0.5192885771543087,0.05986973947895791,0.06437875751503006,3537,0.039328657314629256,0.0746492985971944,0.8860220440881763
462,Charles,2617,Charles Precinct 06-005,575,1689,135,179,418,218,2617,1,0.21971723347344288,0.6453954910202522,0.051585785250286585,0.08330149025601834,2020,0.06839893007260221,0.15972487581199848,0.7718761941153993
463,Charles,1743,Charles Precinct 06-017,855,725,64,96,149,99,1743,1,0.4905335628227194,0.4159495123350545,0.03671830177854274,0.05679862306368331,1498,0.055077452667814115,0.08548479632816983,0.8594377510040161
464,Charles,2599,Charles Precinct 06-022,659,1546,211,113,207,183,2599,1,0.2535590611773759,0.5948441708349365,0.08118507118122355,0.07041169680646403,2279,0.043478260869565216,0.07964601769911504,0.8768757214313198
465,Charles,1568,Charles Precinct 06-012,649,712,110,89,147,97,1568,1,0.4139030612244898,0.45408163265306123,0.07015306122448979,0.06186224489795918,1332,0.056760204081632654,0.09375,0.8494897959183674
466,Charles,2347,Charles Precinct 08-004,1718,432,78,219,226,119,2347,1,0.731998295696634,0.18406476352790796,0.033233915636983385,0.05070302513847465,1902,0.09331060928845335,0.09629314017895185,0.8103962505325948
467,Charles,1345,Charles Precinct 08-005,1032,252,23,23,15,38,1345,1,0.7672862453531598,0.18736059479553904,0.017100371747211896,0.02825278810408922,1307,0.017100371747211896,0.011152416356877323,0.9717472118959107
468,Charles,2167,Charles Precinct 08-003,1317,664,85,143,164,101,2167,1,0.6077526534379326,0.30641439778495616,0.03922473465620674,0.046608214120904476,1860,0.06598984771573604,0.07568066451315182,0.8583294877711122
469,Charles,2164,Charles Precinct 08-002,1349,637,71,177,193,107,2164,1,0.6233826247689463,0.294362292051756,0.032809611829944546,0.04944547134935305,1794,0.08179297597042513,0.08918669131238448,0.8290203327171903
720,Charles,3857,Charles Precinct 01-001,2541,1001,121,167,186,194,3857,1,0.6588021778584392,0.2595281306715064,0.031371532278973296,0.05029815919108115,3504,0.04329789992221934,0.04822400829660358,0.9084780917811771
721,Charles,3570,Charles Precinct 06-002,2072,1190,126,255,366,182,3570,1,0.5803921568627451,0.3333333333333333,0.03529411764705882,0.050980392156862744,2949,0.07142857142857142,0.10252100840336134,0.8260504201680672
722,Charles,1581,Charles Precinct 06-003,476,903,56,134,319,146,1581,1,0.3010752688172043,0.571157495256167,0.03542061986084757,0.09234661606578115,1128,0.08475648323845668,0.2017710309930424,0.713472485768501
723,Charles,1855,Charles Precinct 06-019,983,623,81,137,278,168,1855,1,0.5299191374663073,0.33584905660377357,0.04366576819407008,0.09056603773584905,1440,0.0738544474393531,0.14986522911051212,0.7762803234501348
724,Charles,2458,Charles Precinct 06-004,796,1368,116,206,454,178,2458,1,0.32384052074857606,0.5565500406834825,0.047192839707078924,0.07241659886086249,1798,0.0838079739625712,0.18470301057770544,0.7314890154597233
725,Charles,1494,Charles Precinct 06-020,801,526,71,103,123,96,1494,1,0.536144578313253,0.35207496653279785,0.04752342704149933,0.0642570281124498,1268,0.06894243641231593,0.0823293172690763,0.8487282463186078
726,Charles,1968,Charles Precinct 06-010,596,1107,94,204,518,171,1968,1,0.30284552845528456,0.5625,0.047764227642276426,0.08689024390243902,1246,0.10365853658536585,0.2632113821138211,0.633130081300813
727,Charles,1478,Charles Precinct 06-021,501,788,72,103,204,117,1478,1,0.33897158322056836,0.5331529093369418,0.04871447902571042,0.07916102841677942,1171,0.06968876860622462,0.13802435723951287,0.7922868741542625
728,Charles,3773,Charles Precinct 06-013,1407,1870,157,232,410,339,3773,1,0.37291280148423006,0.4956268221574344,0.04161144977471508,0.08984892658362047,3131,0.06148953087728598,0.10866684336072091,0.8298436257619931
