,COUNTY,VAP,NAME,WVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
0,Somerset,404,Somerset Precinct 02-001,324,52,105,80,404,1.0,0.801980198019802,0.19801980198019803,247,0.12871287128712872,0.2599009900990099,0.6113861386138614
1,Somerset,726,Somerset Precinct 05-001,591,100,200,135,726,1.0,0.8140495867768595,0.1859504132231405,426,0.13774104683195593,0.27548209366391185,0.5867768595041323
2,Somerset,1165,Somerset Precinct 03-001,861,132,284,304,1165,1.0,0.7390557939914163,0.2609442060085837,749,0.11330472103004292,0.24377682403433476,0.6429184549356223
3,Somerset,217,Somerset Precinct 13-003,159,22,54,58,217,1.0,0.7327188940092166,0.2672811059907834,141,0.10138248847926268,0.2488479262672811,0.6497695852534562
4,Somerset,3664,Somerset Precinct 13-002,1072,47,59,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3558,0.012827510917030568,0.016102620087336244,0.9710698689956332
5,Somerset,151,Somerset Precinct 13-001,122,12,36,29,151,1.0,0.8079470198675497,0.19205298013245034,103,0.07947019867549669,0.23841059602649006,0.6821192052980133
6,Somerset,2355,Somerset Precinct 01-002,1257,252,222,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1881,0.1070063694267516,0.09426751592356689,0.7987261146496816
7,Somerset,186,Somerset Precinct 01-003,56,34,32,130,186,1.0,0.3010752688172043,0.6989247311827957,120,0.1827956989247312,0.17204301075268819,0.6451612903225806
8,Somerset,1267,Somerset Precinct 15-002,234,155,60,1033,1267,1.0,0.18468823993685873,0.8153117600631413,1052,0.122336227308603,0.0473559589581689,0.8303078137332282
9,Somerset,1039,Somerset Precinct 01-001,633,78,92,406,1039,1.0,0.6092396535129933,0.39076034648700675,869,0.07507218479307026,0.08854667949951876,0.836381135707411
10,Somerset,3771,Somerset Precinct 15-001,692,88,83,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3600,0.023335985149827633,0.022010076902678335,0.954653937947494
11,Worcester,2315,Worcester Precinct 01-001,1155,621,871,1160,2315,1.0,0.49892008639308855,0.5010799136069114,823,0.2682505399568035,0.37624190064794816,0.35550755939524836
12,Somerset,919,Somerset Precinct 04-001,711,87,192,208,919,1.0,0.7736670293797606,0.22633297062023938,640,0.09466811751904244,0.2089227421109902,0.6964091403699674
13,Dorchester,70,Dorchester Precinct 18-001,65,5,15,5,70,1.0,0.9285714285714286,0.07142857142857142,50,0.07142857142857142,0.21428571428571427,0.7142857142857143
14,Dorchester,49,Dorchester Precinct 11-001,44,8,20,5,49,1.0,0.8979591836734694,0.10204081632653061,21,0.16326530612244897,0.40816326530612246,0.42857142857142855
15,Dorchester,145,Dorchester Precinct 13-002,79,36,17,66,145,1.0,0.5448275862068965,0.45517241379310347,92,0.2482758620689655,0.11724137931034483,0.6344827586206897
16,Dorchester,206,Dorchester Precinct 17-001,169,32,51,37,206,1.0,0.8203883495145631,0.1796116504854369,123,0.1553398058252427,0.24757281553398058,0.5970873786407767
17,Dorchester,63,Dorchester Precinct 14-002,39,11,11,24,63,1.0,0.6190476190476191,0.38095238095238093,41,0.1746031746031746,0.1746031746031746,0.6507936507936508
18,Wicomico,1349,Wicomico Precinct 17-001,1025,215,280,324,1349,1.0,0.759822090437361,0.24017790956263899,854,0.15937731653076354,0.20756115641215717,0.6330615270570793
19,Dorchester,308,Dorchester Precinct 03-001,274,36,73,34,308,1.0,0.8896103896103896,0.11038961038961038,199,0.11688311688311688,0.237012987012987,0.6461038961038961
20,Cecil,4593,Cecil Precinct 05-003,4361,442,1159,232,4593,1.0,0.9494883518397561,0.05051164816024385,2992,0.09623339865011975,0.2523405181798389,0.6514260831700414
21,Kent,1682,Kent Precinct 01-002,1494,223,388,188,1682,1.0,0.8882282996432818,0.1117717003567182,1071,0.13258026159334127,0.23067776456599287,0.6367419738406659
22,Cecil,2280,Cecil Precinct 02-001,2088,229,443,192,2280,1.0,0.9157894736842105,0.08421052631578947,1608,0.10043859649122808,0.19429824561403508,0.7052631578947368
23,Cecil,2076,Cecil Precinct 02-002,1934,213,352,142,2076,1.0,0.9315992292870906,0.06840077071290944,1511,0.10260115606936417,0.16955684007707128,0.7278420038535646
24,Cecil,4897,Cecil Precinct 05-002,4539,531,1232,358,4897,1.0,0.9268940167449459,0.07310598325505412,3134,0.10843373493975904,0.2515826015928119,0.6399836634674291
25,Cecil,3665,Cecil Precinct 09-001,3546,297,946,119,3665,1.0,0.9675306957708049,0.03246930422919509,2422,0.0810368349249659,0.25811732605729876,0.6608458390177353
26,Cecil,2554,Cecil Precinct 05-004,2220,186,285,334,2554,1.0,0.8692247454972593,0.1307752545027408,2083,0.07282693813625685,0.1115896632732968,0.8155833985904464
27,Cecil,4984,Cecil Precinct 05-001,4641,299,572,343,4984,1.0,0.9311797752808989,0.06882022471910113,4113,0.05999197431781701,0.11476725521669343,0.8252407704654896
28,Cecil,7016,Cecil Precinct 03-002,6111,527,940,905,7016,1.0,0.8710091220068416,0.1289908779931585,5549,0.07511402508551882,0.13397947548460662,0.7909064994298746
29,Cecil,6045,Cecil Precinct 03-003,4995,353,487,1050,6045,1.0,0.826302729528536,0.17369727047146402,5205,0.058395368072787425,0.08056244830438379,0.8610421836228288
30,Cecil,4668,Cecil Precinct 04-001,4445,451,848,223,4668,1.0,0.9522279348757497,0.04777206512425022,3369,0.0966152527849186,0.181662382176521,0.7217223650385605
31,Cecil,6876,Cecil Precinct 03-001,5322,494,647,1554,6876,1.0,0.7739965095986039,0.22600349040139617,5735,0.07184409540430482,0.09409540430482839,0.8340605002908668
32,Cecil,1863,Cecil Precinct 04-002,1152,225,204,711,1863,1.0,0.6183574879227053,0.38164251207729466,1434,0.12077294685990338,0.10950080515297907,0.7697262479871175
33,Worcester,988,Worcester Precinct 04-001,812,307,680,176,988,1.6560402684563758,0.8218623481781376,0.17813765182186234,1,0.3107287449392713,0.6882591093117408,0.0010121457489878543
34,Worcester,2209,Worcester Precinct 02-001,1098,104,65,1111,2209,1.0,0.49705749207786326,0.5029425079221367,2040,0.047080126754187414,0.029425079221367133,0.9234947940244455
35,Worcester,2685,Worcester Precinct 04-002,2330,81,183,355,2685,1.0,0.8677839851024208,0.13221601489757914,2421,0.030167597765363128,0.06815642458100558,0.9016759776536313
36,Worcester,802,Worcester Precinct 02-002,629,529,272,173,802,1.1218487394957983,0.78428927680798,0.21571072319201995,1,0.6596009975062345,0.33915211970074816,0.0012468827930174563
37,Wicomico,2459,Wicomico Precinct 15-001,1971,242,524,488,2459,1.0,0.8015453436356242,0.19845465636437576,1693,0.09841398942659618,0.21309475396502645,0.6884912566083774
38,Wicomico,2235,Wicomico Precinct 16-002,1532,299,376,703,2235,1.0,0.6854586129753915,0.3145413870246085,1560,0.1337807606263982,0.16823266219239374,0.697986577181208
39,Wicomico,2655,Wicomico Precinct 08-004,2377,242,416,278,2655,1.0,0.8952919020715631,0.10470809792843691,1997,0.09114877589453861,0.15668549905838042,0.752165725047081
40,Wicomico,1417,Wicomico Precinct 08-003,1099,38,74,318,1417,1.0,0.7755822159491884,0.2244177840508116,1305,0.026817219477769938,0.05222300635144672,0.9209597741707833
41,Wicomico,3627,Wicomico Precinct 13-003,2905,509,559,722,3627,1.0,0.8009374138406397,0.19906258615936034,2559,0.14033636614281775,0.15412186379928317,0.7055417700578991
42,Wicomico,5667,Wicomico Precinct 13-001,4424,81,43,1243,5667,1.0,0.7806599611787541,0.2193400388212458,5543,0.014293276866066702,0.0075877889535909656,0.9781189341803423
43,Wicomico,387,Wicomico Precinct 09-004,258,207,179,129,387,1.544,0.6666666666666666,0.3333333333333333,1,0.5348837209302325,0.4625322997416021,0.002583979328165375
44,Wicomico,3486,Wicomico Precinct 09-002,433,306,7,3053,3486,1.0,0.12421113023522662,0.8757888697647733,3173,0.08777969018932874,0.002008032128514056,0.9102122776821572
45,Wicomico,4914,Wicomico Precinct 13-002,2595,264,166,2319,4914,1.0,0.5280830280830281,0.4719169719169719,4484,0.05372405372405373,0.03378103378103378,0.9124949124949125
46,Wicomico,942,Wicomico Precinct 08-002,842,220,623,100,942,1.0,0.8938428874734607,0.10615711252653928,99,0.23354564755838642,0.6613588110403397,0.10509554140127389
47,Wicomico,4839,Wicomico Precinct 05-002,2095,69,68,2744,4839,1.0,0.43294069022525317,0.5670593097747468,4702,0.01425914445133292,0.014052490183922298,0.9716883653647448
48,Wicomico,1862,Wicomico Precinct 09-001,1151,389,54,711,1862,1.0,0.6181525241675617,0.3818474758324382,1419,0.20891514500537056,0.02900107411385607,0.7620837808807733
49,Wicomico,1802,Wicomico Precinct 08-001,1508,98,287,294,1802,1.0,0.8368479467258602,0.16315205327413984,1417,0.05438401775804662,0.15926748057713652,0.7863485016648168
50,Wicomico,4054,Wicomico Precinct 05-004,3069,241,374,985,4054,1.0,0.7570300937345831,0.24296990626541687,3439,0.05944745929945733,0.09225456339417859,0.8482979773063641
51,Wicomico,2944,Wicomico Precinct 05-003,2205,412,341,739,2944,1.0,0.7489809782608695,0.25101902173913043,2191,0.13994565217391305,0.11582880434782608,0.7442255434782609
52,Wicomico,1613,Wicomico Precinct 05-005,1432,311,678,181,1613,1.0,0.8877867327960323,0.11221326720396776,624,0.19280843149411037,0.4203347799132052,0.38685678859268446
53,Wicomico,936,Wicomico Precinct 11-002,483,401,534,453,936,1.8226120857699806,0.5160256410256411,0.483974358974359,1,0.4284188034188034,0.5705128205128205,0.0010683760683760685
