,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
0,Somerset,404,Somerset Precinct 02-001,324,33,98,80,404,1.0,0.801980198019802,0.19801980198019803,273,0.08168316831683169,0.24257425742574257,0.6757425742574258
1,Somerset,726,Somerset Precinct 05-001,591,97,259,135,726,1.0,0.8140495867768595,0.1859504132231405,370,0.13360881542699724,0.35674931129476584,0.509641873278237
2,Somerset,1165,Somerset Precinct 03-001,861,172,371,304,1165,1.0,0.7390557939914163,0.2609442060085837,622,0.14763948497854076,0.3184549356223176,0.5339055793991416
3,Somerset,217,Somerset Precinct 13-003,159,33,64,58,217,1.0,0.7327188940092166,0.2672811059907834,120,0.15207373271889402,0.29493087557603687,0.5529953917050692
4,Somerset,3664,Somerset Precinct 13-002,1072,56,72,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3536,0.015283842794759825,0.019650655021834062,0.9650655021834061
5,Somerset,151,Somerset Precinct 13-001,122,12,53,29,151,1.0,0.8079470198675497,0.19205298013245034,86,0.07947019867549669,0.3509933774834437,0.5695364238410596
6,Somerset,2355,Somerset Precinct 01-002,1257,324,269,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1762,0.1375796178343949,0.11422505307855627,0.7481953290870488
7,Somerset,186,Somerset Precinct 01-003,56,94,36,130,186,1.0,0.3010752688172043,0.6989247311827957,56,0.5053763440860215,0.1935483870967742,0.3010752688172043
8,Somerset,1267,Somerset Precinct 15-002,234,256,80,1033,1267,1.0,0.18468823993685873,0.8153117600631413,931,0.20205209155485399,0.06314127861089187,0.7348066298342542
9,Somerset,1039,Somerset Precinct 01-001,633,118,136,406,1039,1.0,0.6092396535129933,0.39076034648700675,785,0.11357074109720885,0.13089509143407121,0.7555341674687199
10,Somerset,3771,Somerset Precinct 15-001,692,161,121,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3489,0.042694245558207375,0.032086979581012996,0.9252187748607796
11,Worcester,2315,Worcester Precinct 01-001,1155,1003,1212,1160,2315,1.0,0.49892008639308855,0.5010799136069114,100,0.43326133909287257,0.5235421166306695,0.04319654427645788
12,Somerset,919,Somerset Precinct 04-001,711,96,245,208,919,1.0,0.7736670293797606,0.22633297062023938,578,0.1044613710554951,0.26659412404787813,0.6289445048966268
13,Dorchester,70,Dorchester Precinct 18-001,65,6,18,5,70,1.0,0.9285714285714286,0.07142857142857142,46,0.08571428571428572,0.2571428571428571,0.6571428571428571
14,Dorchester,49,Dorchester Precinct 11-001,44,7,21,5,49,1.0,0.8979591836734694,0.10204081632653061,21,0.14285714285714285,0.42857142857142855,0.42857142857142855
15,Dorchester,145,Dorchester Precinct 13-002,79,37,33,66,145,1.0,0.5448275862068965,0.45517241379310347,75,0.25517241379310346,0.22758620689655173,0.5172413793103449
16,Dorchester,206,Dorchester Precinct 17-001,169,39,65,37,206,1.0,0.8203883495145631,0.1796116504854369,102,0.18932038834951456,0.3155339805825243,0.49514563106796117
17,Dorchester,63,Dorchester Precinct 14-002,39,15,18,24,63,1.0,0.6190476190476191,0.38095238095238093,30,0.23809523809523808,0.2857142857142857,0.47619047619047616
18,Wicomico,1349,Wicomico Precinct 17-001,1025,313,402,324,1349,1.0,0.759822090437361,0.24017790956263899,634,0.23202372127501852,0.29799851742031136,0.4699777613046701
19,Dorchester,308,Dorchester Precinct 03-001,274,62,99,34,308,1.0,0.8896103896103896,0.11038961038961038,147,0.2012987012987013,0.32142857142857145,0.4772727272727273
20,Cecil,4593,Cecil Precinct 05-003,4361,561,1542,232,4593,1.0,0.9494883518397561,0.05051164816024385,2490,0.12214239059438275,0.3357282821685173,0.5421293272371
21,Kent,1682,Kent Precinct 01-002,1494,293,536,188,1682,1.0,0.8882282996432818,0.1117717003567182,853,0.17419738406658739,0.31866825208085614,0.5071343638525565
22,Cecil,2280,Cecil Precinct 02-001,2088,306,670,192,2280,1.0,0.9157894736842105,0.08421052631578947,1304,0.13421052631578947,0.29385964912280704,0.5719298245614035
23,Cecil,2076,Cecil Precinct 02-002,1934,293,532,142,2076,1.0,0.9315992292870906,0.06840077071290944,1251,0.14113680154142583,0.25626204238921,0.6026011560693642
24,Cecil,4897,Cecil Precinct 05-002,4539,886,2028,358,4897,1.0,0.9268940167449459,0.07310598325505412,1983,0.18092709822340208,0.414131100673882,0.40494180110271594
25,Cecil,3665,Cecil Precinct 09-001,3546,367,1314,119,3665,1.0,0.9675306957708049,0.03246930422919509,1984,0.10013642564802183,0.35852660300136424,0.5413369713506139
26,Cecil,2554,Cecil Precinct 05-004,2220,329,435,334,2554,1.0,0.8692247454972593,0.1307752545027408,1790,0.1288175411119812,0.17032106499608457,0.7008613938919342
27,Cecil,4984,Cecil Precinct 05-001,4641,380,834,343,4984,1.0,0.9311797752808989,0.06882022471910113,3770,0.07624398073836276,0.1673354735152488,0.7564205457463884
28,Cecil,7016,Cecil Precinct 03-002,6111,834,1402,905,7016,1.0,0.8710091220068416,0.1289908779931585,4780,0.11887115165336375,0.1998289623717218,0.6812998859749145
29,Cecil,6045,Cecil Precinct 03-003,4995,583,822,1050,6045,1.0,0.826302729528536,0.17369727047146402,4640,0.09644334160463193,0.1359801488833747,0.7675765095119934
30,Cecil,4668,Cecil Precinct 04-001,4445,653,1164,223,4668,1.0,0.9522279348757497,0.04777206512425022,2851,0.13988860325621252,0.2493573264781491,0.6107540702656384
31,Cecil,6876,Cecil Precinct 03-001,5322,914,1047,1554,6876,1.0,0.7739965095986039,0.22600349040139617,4915,0.1329261198371146,0.15226876090750435,0.714805119255381
32,Cecil,1863,Cecil Precinct 04-002,1152,437,359,711,1863,1.0,0.6183574879227053,0.38164251207729466,1067,0.2345679012345679,0.19269994632313472,0.5727321524422974
33,Worcester,1273,Worcester Precinct 04-001,1046,381,891,227,1273,2.134228187919463,0.821681068342498,0.17831893165750196,1,0.2992930086410055,0.6999214454045561,0.0007855459544383347
34,Worcester,2209,Worcester Precinct 02-001,1098,167,103,1111,2209,1.0,0.49705749207786326,0.5029425079221367,1939,0.0755998189225894,0.046627433227704844,0.8777727478497057
35,Worcester,2685,Worcester Precinct 04-002,2330,82,234,355,2685,1.0,0.8677839851024208,0.13221601489757914,2369,0.030540037243947857,0.08715083798882682,0.8823091247672253
36,Worcester,1275,Worcester Precinct 02-002,1000,822,452,275,1275,1.7843137254901962,0.7843137254901961,0.21568627450980393,1,0.6447058823529411,0.3545098039215686,0.000784313725490196
37,Wicomico,2459,Wicomico Precinct 15-001,1971,322,762,488,2459,1.0,0.8015453436356242,0.19845465636437576,1375,0.13094753965026434,0.3098820658804392,0.5591703944692965
38,Wicomico,2235,Wicomico Precinct 16-002,1532,463,506,703,2235,1.0,0.6854586129753915,0.3145413870246085,1266,0.20715883668903803,0.22639821029082774,0.5664429530201343
39,Wicomico,2655,Wicomico Precinct 08-004,2377,352,525,278,2655,1.0,0.8952919020715631,0.10470809792843691,1778,0.13258003766478343,0.1977401129943503,0.6696798493408663
40,Wicomico,1417,Wicomico Precinct 08-003,1099,56,92,318,1417,1.0,0.7755822159491884,0.2244177840508116,1269,0.03952011291460833,0.06492589978828511,0.8955539872971066
41,Wicomico,3627,Wicomico Precinct 13-003,2905,720,780,722,3627,1.0,0.8009374138406397,0.19906258615936034,2127,0.19851116625310175,0.21505376344086022,0.586435070306038
42,Wicomico,5667,Wicomico Precinct 13-001,4424,152,81,1243,5667,1.0,0.7806599611787541,0.2193400388212458,5434,0.026821951649902948,0.014293276866066702,0.9588847714840304
43,Wicomico,559,Wicomico Precinct 09-004,373,299,259,186,559,2.232,0.667262969588551,0.33273703041144903,1,0.5348837209302325,0.46332737030411447,0.0017889087656529517
44,Wicomico,3486,Wicomico Precinct 09-002,433,482,19,3053,3486,1.0,0.12421113023522662,0.8757888697647733,2985,0.13826735513482502,0.005450372920252439,0.8562822719449226
45,Wicomico,4914,Wicomico Precinct 13-002,2595,563,270,2319,4914,1.0,0.5280830280830281,0.4719169719169719,4081,0.11457061457061457,0.054945054945054944,0.8304843304843305
46,Wicomico,1069,Wicomico Precinct 08-002,955,272,796,114,1069,1.1337579617834395,0.8933582787652011,0.10664172123479888,1,0.25444340505144997,0.744621141253508,0.0009354536950420954
47,Wicomico,4839,Wicomico Precinct 05-002,2095,104,115,2744,4839,1.0,0.43294069022525317,0.5670593097747468,4620,0.02149204381070469,0.023765240752221535,0.9547427154370738
48,Wicomico,1862,Wicomico Precinct 09-001,1151,585,108,711,1862,1.0,0.6181525241675617,0.3818474758324382,1169,0.3141783029001074,0.05800214822771214,0.6278195488721805
49,Wicomico,1802,Wicomico Precinct 08-001,1508,140,391,294,1802,1.0,0.8368479467258602,0.16315205327413984,1271,0.07769145394006659,0.2169811320754717,0.7053274139844617
50,Wicomico,4054,Wicomico Precinct 05-004,3069,504,907,985,4054,1.0,0.7570300937345831,0.24296990626541687,2643,0.12432165762210162,0.22372964972866305,0.6519486926492353
51,Wicomico,2944,Wicomico Precinct 05-003,2205,869,628,739,2944,1.0,0.7489809782608695,0.25101902173913043,1447,0.2951766304347826,0.21331521739130435,0.491508152173913
52,Wicomico,1613,Wicomico Precinct 05-005,1432,530,944,181,1613,1.0,0.8877867327960323,0.11221326720396776,139,0.328580285182889,0.5852448853068816,0.08617482951022938
