,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,697,1287,203,3630,1,0.9440771349862259,0.0559228650137741,1646,0.19201101928374656,0.35454545454545455,0.4534435261707989
101,Frederick,2062,Frederick Precinct 03-001,1930,317,496,132,2062,1,0.9359844810863239,0.06401551891367604,1249,0.15373423860329777,0.2405431619786615,0.6057225994180407
102,Frederick,4117,Frederick Precinct 23-001,3207,1145,994,910,4117,1,0.7789652659703667,0.22103473402963322,1978,0.2781151323779451,0.24143794024775322,0.48044692737430167
103,Frederick,674,Frederick Precinct 24-003,646,141,161,28,674,1,0.9584569732937686,0.04154302670623145,372,0.20919881305637983,0.23887240356083086,0.5519287833827893
104,Frederick,2134,Frederick Precinct 03-003,1924,396,533,210,2134,1,0.901593252108716,0.09840674789128398,1205,0.18556701030927836,0.24976569821930647,0.5646672914714151
105,Frederick,1667,Frederick Precinct 24-001,1533,382,498,134,1667,1,0.9196160767846431,0.08038392321535692,787,0.22915416916616677,0.29874025194961007,0.47210557888422316
106,Frederick,3265,Frederick Precinct 02-015,2683,829,683,582,3265,1,0.8217457886676875,0.1782542113323124,1753,0.2539050535987749,0.20918836140888208,0.536906584992343
107,Frederick,3578,Frederick Precinct 26-001,3149,727,935,429,3578,1,0.8801006148686417,0.1198993851313583,1916,0.20318613750698714,0.2613191727221912,0.5354946897708217
112,Frederick,1799,Frederick Precinct 10-001,1737,157,536,62,1799,1,0.9655364091161757,0.03446359088382435,1106,0.08727070594774874,0.2979433018343524,0.6147859922178989
113,Frederick,2997,Frederick Precinct 15-001,2874,298,758,123,2997,1,0.958958958958959,0.04104104104104104,1941,0.09943276609943276,0.2529195862529196,0.6476476476476476
114,Frederick,3794,Frederick Precinct 15-002,3627,339,870,167,3794,1,0.955983131259884,0.04401686874011597,2585,0.0893516078017923,0.22930943595150238,0.6813389562467054
115,Frederick,1007,Frederick Precinct 04-001,964,102,288,43,1007,1,0.9572989076464746,0.04270109235352532,617,0.1012909632571996,0.28599801390268126,0.6127110228401191
116,Frederick,4025,Frederick Precinct 07-002,2268,1062,782,1757,4025,1,0.5634782608695652,0.4365217391304348,2181,0.2638509316770186,0.19428571428571428,0.541863354037267
117,Frederick,2425,Frederick Precinct 09-001,2177,653,946,248,2425,1,0.8977319587628866,0.1022680412371134,826,0.2692783505154639,0.39010309278350513,0.3406185567010309
118,Frederick,2868,Frederick Precinct 09-006,2447,674,765,421,2868,1,0.8532078103207811,0.14679218967921898,1429,0.23500697350069735,0.26673640167364016,0.49825662482566246
119,Frederick,3752,Frederick Precinct 13-001,3415,930,1158,337,3752,1,0.910181236673774,0.08981876332622601,1664,0.2478678038379531,0.30863539445628996,0.44349680170575695
120,Frederick,3625,Frederick Precinct 09-007,3267,946,1183,358,3625,1,0.9012413793103449,0.09875862068965517,1496,0.2609655172413793,0.3263448275862069,0.4126896551724138
121,Frederick,3137,Frederick Precinct 09-004,2926,558,1062,211,3137,1,0.932738284985655,0.06726171501434491,1517,0.17787695250239083,0.338540006375518,0.48358304112209116
122,Frederick,3312,Frederick Precinct 09-002,3071,694,1166,241,3312,1,0.9272342995169082,0.07276570048309179,1452,0.20954106280193235,0.35205314009661837,0.4384057971014493
123,Frederick,1427,Frederick Precinct 09-005,1331,307,399,96,1427,1,0.9327259985984583,0.0672740014015417,721,0.21513665031534687,0.27960756832515765,0.5052557813594954
124,Frederick,3254,Frederick Precinct 26-002,2717,668,820,537,3254,1,0.8349723417332514,0.16502765826674862,1766,0.2052858020897357,0.2519975414874001,0.5427166564228642
125,Frederick,2580,Frederick Precinct 11-001,2415,316,760,165,2580,1,0.936046511627907,0.06395348837209303,1504,0.12248062015503876,0.29457364341085274,0.5829457364341085
