,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,460,1381,203,3630,1,0.9440771349862259,0.0559228650137741,1789,0.12672176308539945,0.38044077134986226,0.4928374655647383
101,Frederick,2062,Frederick Precinct 03-001,1930,249,695,132,2062,1,0.9359844810863239,0.06401551891367604,1118,0.12075654704170707,0.3370514064015519,0.542192046556741
102,Frederick,4117,Frederick Precinct 23-001,3207,546,1017,910,4117,1,0.7789652659703667,0.22103473402963322,2554,0.13262084041777994,0.24702453242652417,0.6203546271556959
103,Frederick,674,Frederick Precinct 24-003,646,113,185,28,674,1,0.9584569732937686,0.04154302670623145,376,0.16765578635014836,0.2744807121661721,0.5578635014836796
104,Frederick,2134,Frederick Precinct 03-003,1924,282,710,210,2134,1,0.901593252108716,0.09840674789128398,1142,0.13214620431115276,0.33270852858481725,0.53514526710403
105,Frederick,1667,Frederick Precinct 24-001,1533,281,557,134,1667,1,0.9196160767846431,0.08038392321535692,829,0.16856628674265148,0.33413317336532694,0.4973005398920216
106,Frederick,3265,Frederick Precinct 02-015,2683,544,784,582,3265,1,0.8217457886676875,0.1782542113323124,1937,0.1666156202143951,0.24012251148545177,0.5932618683001532
107,Frederick,3578,Frederick Precinct 26-001,3149,550,1001,429,3578,1,0.8801006148686417,0.1198993851313583,2027,0.15371716042481834,0.2797652319731694,0.5665176076020123
112,Frederick,1799,Frederick Precinct 10-001,1737,117,541,62,1799,1,0.9655364091161757,0.03446359088382435,1141,0.06503613118399111,0.3007226236798221,0.6342412451361867
113,Frederick,2997,Frederick Precinct 15-001,2874,202,826,123,2997,1,0.958958958958959,0.04104104104104104,1969,0.06740073406740073,0.27560894227560895,0.6569903236569903
114,Frederick,3794,Frederick Precinct 15-002,3627,264,935,167,3794,1,0.955983131259884,0.04401686874011597,2595,0.06958355297838692,0.24644175013178704,0.683974696889826
115,Frederick,1007,Frederick Precinct 04-001,964,59,321,43,1007,1,0.9572989076464746,0.04270109235352532,627,0.05858987090367428,0.3187686196623635,0.6226415094339622
116,Frederick,4025,Frederick Precinct 07-002,2268,641,882,1757,4025,1,0.5634782608695652,0.4365217391304348,2502,0.15925465838509317,0.21913043478260869,0.6216149068322981
117,Frederick,2425,Frederick Precinct 09-001,2177,345,1012,248,2425,1,0.8977319587628866,0.1022680412371134,1068,0.1422680412371134,0.417319587628866,0.4404123711340206
118,Frederick,2868,Frederick Precinct 09-006,2447,463,808,421,2868,1,0.8532078103207811,0.14679218967921898,1597,0.1614365411436541,0.28172942817294283,0.5568340306834031
119,Frederick,3752,Frederick Precinct 13-001,3415,549,1224,337,3752,1,0.910181236673774,0.08981876332622601,1979,0.1463219616204691,0.326226012793177,0.527452025586354
120,Frederick,3625,Frederick Precinct 09-007,3267,521,1183,358,3625,1,0.9012413793103449,0.09875862068965517,1921,0.14372413793103447,0.3263448275862069,0.5299310344827586
121,Frederick,3137,Frederick Precinct 09-004,2926,362,1119,211,3137,1,0.932738284985655,0.06726171501434491,1656,0.1153968759961747,0.3567102327064074,0.5278928912974179
122,Frederick,3312,Frederick Precinct 09-002,3071,403,1124,241,3312,1,0.9272342995169082,0.07276570048309179,1785,0.12167874396135266,0.3393719806763285,0.5389492753623188
123,Frederick,1427,Frederick Precinct 09-005,1331,199,465,96,1427,1,0.9327259985984583,0.0672740014015417,763,0.13945339873861248,0.3258584442887176,0.5346881569726699
124,Frederick,3254,Frederick Precinct 26-002,2717,365,959,537,3254,1,0.8349723417332514,0.16502765826674862,1930,0.11216963736939152,0.29471419791026426,0.5931161647203442
125,Frederick,2580,Frederick Precinct 11-001,2415,206,863,165,2580,1,0.936046511627907,0.06395348837209303,1511,0.07984496124031008,0.33449612403100776,0.5856589147286821
126,Frederick,1877,Frederick Precinct 08-001,1780,167,698,97,1877,1,0.94832179009057,0.051678209909429944,1012,0.08897176345231753,0.3718700053276505,0.5391582312200319
127,Frederick,1703,Frederick Precinct 17-001,1646,118,630,57,1703,1,0.9665296535525543,0.03347034644744568,955,0.06928948913681739,0.369935408103347,0.5607751027598356
128,Frederick,4393,Frederick Precinct 18-001,3975,502,1607,418,4393,1,0.9048486228090143,0.09515137719098565,2284,0.11427270657864785,0.3658092419758707,0.5199180514454814
130,Frederick,2489,Frederick Precinct 18-002,2395,207,982,94,2489,1,0.9622338288469264,0.03776617115307352,1300,0.0831659300924066,0.39453595821615106,0.5222981116914424
133,Frederick,1309,Frederick Precinct 19-001,1228,103,519,81,1309,1,0.9381207028265852,0.061879297173414824,687,0.07868601986249045,0.3964858670741024,0.5248281130634072
136,Frederick,1991,Frederick Precinct 24-002,1555,269,484,436,1991,1,0.7810145655449523,0.21898543445504773,1238,0.13510798593671522,0.2430939226519337,0.6217980914113511
