,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,124,14,25,12,43,203,3630,1,0.9440771349862259,0.0559228650137741,3412,0.03415977961432507,0.003856749311294766,0.006887052341597796,0.003305785123966942,0.011845730027548209,0.9399449035812673
101,Frederick,2062,Frederick Precinct 03-001,1930,72,5,22,9,31,132,2062,1,0.9359844810863239,0.06401551891367604,1923,0.03491755577109602,0.0024248302618816685,0.01066925315227934,0.004364694471387003,0.015033947623666343,0.9325897187196897
102,Frederick,4117,Frederick Precinct 23-001,3207,165,22,40,16,66,910,4117,1,0.7789652659703667,0.22103473402963322,3808,0.04007772649987855,0.005343696866650474,0.009715812484819043,0.0038863249939276173,0.01603109059995142,0.9249453485547728
103,Frederick,674,Frederick Precinct 24-003,646,34,7,5,7,11,28,674,1,0.9584569732937686,0.04154302670623145,610,0.050445103857566766,0.010385756676557863,0.00741839762611276,0.010385756676557863,0.016320474777448073,0.9050445103857567
104,Frederick,2134,Frederick Precinct 03-003,1924,67,9,23,5,33,210,2134,1,0.901593252108716,0.09840674789128398,1997,0.03139643861293346,0.004217432052483599,0.01077788191190253,0.0023430178069353325,0.015463917525773196,0.9358013120899719
105,Frederick,1667,Frederick Precinct 24-001,1533,89,8,26,5,42,134,1667,1,0.9196160767846431,0.08038392321535692,1497,0.05338932213557288,0.004799040191961607,0.015596880623875225,0.002999400119976005,0.02519496100779844,0.8980203959208158
106,Frederick,3265,Frederick Precinct 02-015,2683,130,21,47,16,87,582,3265,1,0.8217457886676875,0.1782542113323124,2964,0.039816232771822356,0.006431852986217458,0.01439509954058193,0.004900459418070444,0.02664624808575804,0.9078101071975497
107,Frederick,3578,Frederick Precinct 26-001,3149,120,11,39,18,38,429,3578,1,0.8801006148686417,0.1198993851313583,3352,0.03353828954723309,0.0030743432084963667,0.010899944102850754,0.005030743432084964,0.010620458356623811,0.936836221352711
112,Frederick,1799,Frederick Precinct 10-001,1737,22,5,5,2,13,62,1799,1,0.9655364091161757,0.03446359088382435,1752,0.012229016120066704,0.0027793218454697055,0.0027793218454697055,0.0011117287381878821,0.007226236798221234,0.9738743746525848
113,Frederick,2997,Frederick Precinct 15-001,2874,39,13,9,2,24,123,2997,1,0.958958958958959,0.04104104104104104,2910,0.013013013013013013,0.004337671004337671,0.003003003003003003,0.000667334000667334,0.008008008008008008,0.970970970970971
