,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,67,63,878,1515,73,3630,1,0.9440771349862259,0.018457300275482095,0.017355371900826446,0.020110192837465565,1237,0.2418732782369146,0.41735537190082644,0.34077134986225893
101,Frederick,2062,Frederick Precinct 03-001,1930,31,47,509,759,54,2062,1,0.9359844810863239,0.015033947623666343,0.02279340446168768,0.026188166828322017,794,0.24684772065955382,0.3680892337536372,0.3850630455868089
102,Frederick,4117,Frederick Precinct 23-001,3207,344,306,986,1166,260,4117,1,0.7789652659703667,0.08355598736944377,0.07432596550886568,0.06315278115132378,1965,0.23949477775078942,0.28321593393247513,0.4772892883167355
103,Frederick,674,Frederick Precinct 24-003,646,4,13,175,185,11,674,1,0.9584569732937686,0.005934718100890208,0.019287833827893175,0.016320474777448073,314,0.2596439169139466,0.2744807121661721,0.4658753709198813
104,Frederick,2134,Frederick Precinct 03-003,1924,47,67,518,854,96,2134,1,0.901593252108716,0.022024367385192128,0.03139643861293346,0.04498594189315839,762,0.24273664479850046,0.4001874414245548,0.3570759137769447
105,Frederick,1667,Frederick Precinct 24-001,1533,23,54,506,632,57,1667,1,0.9196160767846431,0.013797240551889621,0.03239352129574085,0.03419316136772645,529,0.30353929214157166,0.379124175164967,0.3173365326934613
106,Frederick,3265,Frederick Precinct 02-015,2683,296,133,862,770,153,3265,1,0.8217457886676875,0.09065849923430322,0.040735068912710566,0.046860643185298624,1633,0.26401225114854515,0.23583460949464014,0.5001531393568147
107,Frederick,3578,Frederick Precinct 26-001,3149,181,130,980,1166,118,3578,1,0.8801006148686417,0.05058692006707658,0.03633314700950251,0.03297931805477921,1432,0.2738960313024036,0.3258803801006149,0.40022358859698154
112,Frederick,1799,Frederick Precinct 10-001,1737,20,29,259,663,13,1799,1,0.9655364091161757,0.011117287381878822,0.016120066703724293,0.007226236798221234,877,0.14396887159533073,0.36853807670928296,0.4874930516953863
113,Frederick,2997,Frederick Precinct 15-001,2874,33,39,600,1113,51,2997,1,0.958958958958959,0.011011011011011011,0.013013013013013013,0.01701701701701702,1284,0.2002002002002002,0.3713713713713714,0.42842842842842843
114,Frederick,3794,Frederick Precinct 15-002,3627,24,72,671,1295,71,3794,1,0.955983131259884,0.0063257775434897206,0.018977332630469163,0.01871375856615709,1828,0.1768581971534001,0.3413284132841328,0.48181338956246705
115,Frederick,1007,Frederick Precinct 04-001,964,3,19,159,367,21,1007,1,0.9572989076464746,0.0029791459781529296,0.018867924528301886,0.020854021847070508,481,0.15789473684210525,0.3644488579940417,0.47765640516385305
116,Frederick,4025,Frederick Precinct 07-002,2268,408,411,1539,1272,938,4025,1,0.5634782608695652,0.1013664596273292,0.10211180124223602,0.23304347826086957,1214,0.38236024844720495,0.3160248447204969,0.30161490683229814
117,Frederick,2425,Frederick Precinct 09-001,2177,79,73,692,1044,96,2425,1,0.8977319587628866,0.03257731958762886,0.030103092783505155,0.03958762886597938,689,0.28536082474226804,0.43051546391752576,0.2841237113402062
