,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,170,6,203,3630,1,0.9440771349862259,0.0559228650137741,3454,0.046831955922865015,0.001652892561983471,0.9515151515151515
101,Frederick,2062,Frederick Precinct 03-001,1930,67,1,132,2062,1,0.9359844810863239,0.06401551891367604,1994,0.03249272550921436,0.00048496605237633366,0.9670223084384093
102,Frederick,4117,Frederick Precinct 23-001,3207,146,11,910,4117,1,0.7789652659703667,0.22103473402963322,3960,0.035462715569589506,0.002671848433325237,0.9618654359970853
103,Frederick,674,Frederick Precinct 24-003,646,55,0,28,674,1,0.9584569732937686,0.04154302670623145,619,0.08160237388724036,0.0,0.9183976261127597
104,Frederick,2134,Frederick Precinct 03-003,1924,82,2,210,2134,1,0.901593252108716,0.09840674789128398,2050,0.038425492033739454,0.0009372071227741331,0.9606373008434864
105,Frederick,1667,Frederick Precinct 24-001,1533,112,4,134,1667,1,0.9196160767846431,0.08038392321535692,1551,0.06718656268746251,0.0023995200959808036,0.9304139172165566
106,Frederick,3265,Frederick Precinct 02-015,2683,211,5,582,3265,1,0.8217457886676875,0.1782542113323124,3049,0.06462480857580398,0.0015313935681470138,0.933843797856049
107,Frederick,3578,Frederick Precinct 26-001,3149,174,2,429,3578,1,0.8801006148686417,0.1198993851313583,3402,0.048630519843487985,0.0005589714924538849,0.9508105086640581
112,Frederick,1799,Frederick Precinct 10-001,1737,47,0,62,1799,1,0.9655364091161757,0.03446359088382435,1752,0.02612562534741523,0.0,0.9738743746525848
113,Frederick,2997,Frederick Precinct 15-001,2874,110,2,123,2997,1,0.958958958958959,0.04104104104104104,2885,0.03670337003670337,0.000667334000667334,0.9626292959626293
114,Frederick,3794,Frederick Precinct 15-002,3627,88,6,167,3794,1,0.955983131259884,0.04401686874011597,3700,0.02319451765946231,0.0015814443858724301,0.9752240379546653
115,Frederick,1007,Frederick Precinct 04-001,964,23,3,43,1007,1,0.9572989076464746,0.04270109235352532,981,0.022840119165839126,0.0029791459781529296,0.974180734856008
116,Frederick,4025,Frederick Precinct 07-002,2268,140,12,1757,4025,1,0.5634782608695652,0.4365217391304348,3873,0.034782608695652174,0.0029813664596273293,0.9622360248447205
117,Frederick,2425,Frederick Precinct 09-001,2177,98,2,248,2425,1,0.8977319587628866,0.1022680412371134,2325,0.04041237113402062,0.0008247422680412372,0.9587628865979382
118,Frederick,2868,Frederick Precinct 09-006,2447,136,3,421,2868,1,0.8532078103207811,0.14679218967921898,2729,0.04741980474198047,0.0010460251046025104,0.951534170153417
119,Frederick,3752,Frederick Precinct 13-001,3415,159,6,337,3752,1,0.910181236673774,0.08981876332622601,3587,0.0423773987206823,0.0015991471215351812,0.9560234541577826
120,Frederick,3625,Frederick Precinct 09-007,3267,160,5,358,3625,1,0.9012413793103449,0.09875862068965517,3460,0.044137931034482755,0.001379310344827586,0.9544827586206897
121,Frederick,3137,Frederick Precinct 09-004,2926,115,4,211,3137,1,0.932738284985655,0.06726171501434491,3018,0.036659228562320685,0.001275103602167676,0.9620656678355116
122,Frederick,3312,Frederick Precinct 09-002,3071,124,3,241,3312,1,0.9272342995169082,0.07276570048309179,3185,0.03743961352657005,0.0009057971014492754,0.9616545893719807
123,Frederick,1427,Frederick Precinct 09-005,1331,56,5,96,1427,1,0.9327259985984583,0.0672740014015417,1366,0.039243167484232656,0.00350385423966363,0.9572529782761037
124,Frederick,3254,Frederick Precinct 26-002,2717,114,3,537,3254,1,0.8349723417332514,0.16502765826674862,3137,0.03503380454824831,0.0009219422249539029,0.9640442532267978
125,Frederick,2580,Frederick Precinct 11-001,2415,82,3,165,2580,1,0.936046511627907,0.06395348837209303,2495,0.03178294573643411,0.0011627906976744186,0.9670542635658915
126,Frederick,1877,Frederick Precinct 08-001,1780,80,2,97,1877,1,0.94832179009057,0.051678209909429944,1795,0.042621204049014386,0.0010655301012253596,0.9563132658497603
127,Frederick,1703,Frederick Precinct 17-001,1646,46,2,57,1703,1,0.9665296535525543,0.03347034644744568,1655,0.02701115678214915,0.0011743981209630064,0.9718144450968879
128,Frederick,4393,Frederick Precinct 18-001,3975,135,4,418,4393,1,0.9048486228090143,0.09515137719098565,4254,0.030730707944457092,0.0009105394946505805,0.9683587525608923
130,Frederick,2489,Frederick Precinct 18-002,2395,68,4,94,2489,1,0.9622338288469264,0.03776617115307352,2417,0.027320208919244676,0.0016070711128967456,0.9710727199678586
133,Frederick,1309,Frederick Precinct 19-001,1228,42,1,81,1309,1,0.9381207028265852,0.061879297173414824,1266,0.03208556149732621,0.0007639419404125286,0.9671504965622613
136,Frederick,1991,Frederick Precinct 24-002,1555,68,3,436,1991,1,0.7810145655449523,0.21898543445504773,1920,0.03415369161225515,0.0015067805123053742,0.9643395278754395
137,Frederick,3176,Frederick Precinct 03-002,3012,165,5,164,3176,1,0.9483627204030227,0.05163727959697733,3006,0.05195214105793451,0.0015743073047858943,0.9464735516372796
138,Frederick,3128,Frederick Precinct 16-001,2963,164,7,165,3128,1,0.9472506393861893,0.05274936061381074,2957,0.052429667519181586,0.002237851662404092,0.9453324808184144
139,Frederick,1661,Frederick Precinct 06-001,1618,51,2,43,1661,1,0.9741119807344973,0.02588801926550271,1608,0.030704394942805538,0.0012040939193257074,0.9680915111378687
140,Frederick,2498,Frederick Precinct 21-001,2294,105,3,204,2498,1,0.9183346677341874,0.08166533226581266,2390,0.042033626901521216,0.0012009607686148918,0.9567654123298639
141,Frederick,1672,Frederick Precinct 02-014,1157,65,5,515,1672,1,0.6919856459330144,0.30801435406698563,1602,0.038875598086124404,0.0029904306220095694,0.9581339712918661
142,Frederick,2944,Frederick Precinct 02-006,2149,162,4,795,2944,1,0.7299592391304348,0.27004076086956524,2778,0.05502717391304348,0.001358695652173913,0.9436141304347826
143,Frederick,2897,Frederick Precinct 01-002,1883,80,5,1014,2897,1,0.64998274076631,0.35001725923369004,2812,0.027614773904038662,0.0017259233690024164,0.9706593027269589
144,Frederick,2912,Frederick Precinct 02-016,1692,95,7,1220,2912,1,0.5810439560439561,0.41895604395604397,2810,0.032623626373626376,0.002403846153846154,0.9649725274725275
146,Frederick,92,Frederick Precinct 23-002,90,2,0,2,92,1,0.9782608695652174,0.021739130434782608,90,0.021739130434782608,0.0,0.9782608695652174
147,Frederick,2535,Frederick Precinct 02-017,1087,76,11,1448,2535,1,0.4287968441814596,0.5712031558185404,2448,0.029980276134122286,0.004339250493096647,0.9656804733727811
148,Frederick,5267,Frederick Precinct 02-008,2880,184,15,2387,5267,1,0.5468008353901652,0.45319916460983484,5068,0.034934497816593885,0.0028479210176571104,0.962217581165749
149,Frederick,4053,Frederick Precinct 02-013,2109,145,16,1944,4053,1,0.5203552923760177,0.47964470762398226,3892,0.03577596841845546,0.003947693066864051,0.9602763385146805
150,Frederick,3697,Frederick Precinct 02-001,2254,113,8,1443,3697,1,0.6096835271842034,0.39031647281579657,3576,0.03056532323505545,0.0021639166892074655,0.9672707600757371
151,Frederick,1499,Frederick Precinct 02-002,1162,63,2,337,1499,1,0.7751834556370913,0.2248165443629086,1434,0.042028018679119414,0.00133422281521014,0.9566377585056705
152,Frederick,3655,Frederick Precinct 02-011,2395,141,9,1260,3655,1,0.655266757865937,0.3447332421340629,3505,0.038577291381668946,0.0024623803009575923,0.9589603283173734
153,Frederick,1931,Frederick Precinct 07-004,1435,69,5,496,1931,1,0.7431382703262558,0.25686172967374415,1857,0.035732780942516834,0.002589331952356292,0.9616778871051269
154,Frederick,1452,Frederick Precinct 09-003,1268,59,3,184,1452,1,0.8732782369146006,0.12672176308539945,1390,0.040633608815427,0.002066115702479339,0.9573002754820936
155,Frederick,3429,Frederick Precinct 02-003,2866,206,5,563,3429,1,0.8358121901428988,0.16418780985710119,3218,0.060075823855351415,0.0014581510644502771,0.9384660250801983
156,Frederick,3603,Frederick Precinct 02-007,2732,188,13,871,3603,1,0.7582570080488482,0.24174299195115181,3402,0.052178739938939775,0.0036081043574798777,0.9442131557035803
157,Frederick,1560,Frederick Precinct 02-018,1056,69,3,504,1560,1,0.676923076923077,0.3230769230769231,1488,0.04423076923076923,0.0019230769230769232,0.9538461538461539
158,Frederick,1203,Frederick Precinct 09-008,1049,69,3,154,1203,1,0.8719866999168745,0.12801330008312553,1131,0.057356608478802994,0.0024937655860349127,0.940149625935162
159,Frederick,584,Frederick Precinct 13-002,482,7,0,102,584,1,0.8253424657534246,0.17465753424657535,577,0.011986301369863013,0.0,0.988013698630137
160,Frederick,1787,Frederick Precinct 21-002,1398,97,10,389,1787,1,0.7823167319529939,0.21768326804700616,1680,0.05428091773922775,0.005595970900951315,0.940123111359821
161,Frederick,3099,Frederick Precinct 21-003,2373,89,1,726,3099,1,0.7657308809293321,0.23426911907066797,3009,0.028718941594062602,0.00032268473701193933,0.9709583736689255
162,Frederick,4379,Frederick Precinct 02-010,2919,190,30,1460,4379,1,0.6665905457867093,0.3334094542132907,4159,0.043388901575702216,0.006850879196163508,0.9497602192281343
163,Frederick,2457,Frederick Precinct 20-001,2341,85,7,116,2457,1,0.9527879527879528,0.04721204721204721,2365,0.034595034595034595,0.002849002849002849,0.9625559625559625
165,Frederick,2373,Frederick Precinct 12-001,2028,109,7,345,2373,1,0.854614412136536,0.14538558786346398,2257,0.04593341761483354,0.0029498525073746312,0.9511167298777918
166,Frederick,1222,Frederick Precinct 22-001,1156,69,1,66,1222,1,0.9459901800327333,0.054009819967266774,1152,0.05646481178396072,0.0008183306055646482,0.9427168576104746
242,Frederick,3605,Frederick Precinct 25-001,3213,167,8,392,3605,1,0.8912621359223301,0.1087378640776699,3430,0.046324549237170595,0.002219140083217753,0.9514563106796117
352,Frederick,4356,Frederick Precinct 01-001,3809,240,14,547,4356,1,0.8744260789715336,0.12557392102846648,4102,0.05509641873278237,0.0032139577594123047,0.9416896235078053
356,Frederick,2131,Frederick Precinct 07-001,1866,135,12,265,2131,1,0.8756452369779446,0.12435476302205538,1984,0.06335053965274519,0.005631159080244017,0.9310183012670108
395,Frederick,5452,Frederick Precinct 05-001,4981,173,12,471,5452,1,0.9136096845194424,0.08639031548055759,5267,0.03173147468818782,0.0022010271460014674,0.9660674981658107
1397,Frederick,2241,Frederick Precinct 07-003,2023,113,2,218,2241,1,0.9027219991075413,0.09727800089245872,2126,0.05042391789379741,0.000892458723784025,0.9486836233824185
1795,Frederick,4416,Frederick Precinct 02-005,3731,202,4,685,4416,1,0.8448822463768116,0.15511775362318841,4210,0.04574275362318841,0.0009057971014492754,0.9533514492753623
1796,Frederick,6484,Frederick Precinct 02-004,2621,87,22,3863,6484,1,0.4042257865515114,0.5957742134484886,6375,0.013417643429981493,0.003392967304133251,0.9831893892658853
