,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,16,202,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,528,0.021447721179624665,0.2707774798927614,0.707774798927614
251,Garrett,572,Garrett Precinct 08-001,565,0,2,21,162,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,389,0.03671328671328671,0.28321678321678323,0.6800699300699301
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,31,294,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,731,0.029356060606060608,0.2784090909090909,0.6922348484848485
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,86,358,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1454,0.045310853530031614,0.1886195995785037,0.7660695468914647
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,124,574,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,1944,0.046934140802422405,0.21725965177895534,0.7358062074186222
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,99,407,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,1029,0.06449511400651466,0.26514657980456025,0.6703583061889251
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,110,478,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,1824,0.04560530679933665,0.19817578772802655,0.7562189054726368
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,164,432,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,1215,0.09055770292655992,0.23854224185532855,0.6709000552181116
258,Garrett,562,Garrett Precinct 13-000,558,0,1,30,130,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,402,0.05338078291814947,0.2313167259786477,0.7153024911032029
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,106,438,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,942,0.07133243606998654,0.29475100942126514,0.6339165545087483
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,125,447,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,975,0.08080155138978669,0.28894634776987715,0.6302521008403361
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,131,476,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,836,0.09078309078309078,0.32986832986832987,0.5793485793485793
262,Garrett,725,Garrett Precinct 12-000,708,15,0,24,221,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,480,0.03310344827586207,0.30482758620689654,0.6620689655172414
263,Garrett,655,Garrett Precinct 04-000,637,14,3,26,193,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,436,0.03969465648854962,0.29465648854961835,0.665648854961832
264,Garrett,140,Garrett Precinct 11-000,136,2,1,2,40,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,98,0.014285714285714285,0.2857142857142857,0.7
269,Garrett,627,Garrett Precinct 03-002,615,1,5,31,181,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,415,0.049441786283891544,0.2886762360446571,0.6618819776714514
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,88,542,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,1541,0.04053431598341778,0.24965453707968677,0.7098111469368954
271,Garrett,421,Garrett Precinct 15-000,419,0,1,39,163,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,219,0.09263657957244656,0.38717339667458434,0.5201900237529691
272,Garrett,988,Garrett Precinct 09-000,964,4,10,80,323,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,585,0.08097165991902834,0.3269230769230769,0.5921052631578947
