,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,47,159,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,540,0.06300268096514745,0.2131367292225201,0.7238605898123325
251,Garrett,572,Garrett Precinct 08-001,565,0,2,51,124,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,397,0.08916083916083917,0.21678321678321677,0.6940559440559441
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,83,222,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,751,0.07859848484848485,0.21022727272727273,0.7111742424242424
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,152,280,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1466,0.08008429926238145,0.1475237091675448,0.7723919915700738
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,214,468,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,1960,0.080999242997729,0.17713853141559424,0.7418622255866768
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,171,323,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,1041,0.11140065146579804,0.21042345276872965,0.6781758957654723
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,190,380,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,1842,0.07877280265339967,0.15754560530679934,0.763681592039801
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,228,353,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,1230,0.12589729431253452,0.19491993373826616,0.6791827719491993
258,Garrett,562,Garrett Precinct 13-000,558,0,1,48,107,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,407,0.08540925266903915,0.1903914590747331,0.7241992882562278
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,180,347,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,959,0.12113055181695828,0.2335127860026918,0.6453566621803499
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,180,371,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,996,0.11635423400129283,0.2398190045248869,0.6438267614738203
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,213,378,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,852,0.14760914760914762,0.26195426195426197,0.5904365904365905
262,Garrett,725,Garrett Precinct 12-000,708,15,0,51,190,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,484,0.0703448275862069,0.2620689655172414,0.6675862068965517
263,Garrett,655,Garrett Precinct 04-000,637,14,3,59,155,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,441,0.0900763358778626,0.2366412213740458,0.6732824427480916
264,Garrett,140,Garrett Precinct 11-000,136,2,1,10,30,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,100,0.07142857142857142,0.21428571428571427,0.7142857142857143
269,Garrett,627,Garrett Precinct 03-002,615,1,5,46,152,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,429,0.0733652312599681,0.24242424242424243,0.6842105263157895
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,181,434,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,1556,0.08337171810225702,0.19990787655458314,0.7167204053431598
271,Garrett,421,Garrett Precinct 15-000,419,0,1,78,114,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,229,0.18527315914489312,0.27078384798099764,0.5439429928741093
272,Garrett,988,Garrett Precinct 09-000,964,4,10,153,242,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,593,0.1548582995951417,0.24493927125506074,0.6002024291497976
