,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
250,Garrett,746,Garrett Precinct 08-002,735,6,0,2,0,1,11,746,1,0.985254691689008,0.014745308310991957,737,0.00804289544235925,0.0,0.002680965147453083,0.0,0.0013404825737265416,0.9879356568364611
251,Garrett,572,Garrett Precinct 08-001,565,0,0,0,0,0,7,572,1,0.9877622377622378,0.012237762237762238,572,0.0,0.0,0.0,0.0,0.0,1.0
252,Garrett,1056,Garrett Precinct 14-002,1037,9,5,0,0,2,19,1056,1,0.9820075757575758,0.017992424242424244,1040,0.008522727272727272,0.004734848484848485,0.0,0.0,0.001893939393939394,0.9848484848484849
253,Garrett,1898,Garrett Precinct 07-000,1852,12,5,6,3,5,46,1898,1,0.9757639620653319,0.02423603793466807,1867,0.006322444678609062,0.0026343519494204425,0.003161222339304531,0.0015806111696522655,0.0026343519494204425,0.9836670179135932
254,Garrett,2642,Garrett Precinct 16-000,2604,13,4,7,4,5,38,2642,1,0.9856169568508706,0.014383043149129448,2609,0.004920514761544285,0.001514004542013626,0.0026495079485238456,0.001514004542013626,0.0018925056775170325,0.9875094625283876
255,Garrett,1535,Garrett Precinct 10-000,1521,5,1,2,2,8,14,1535,1,0.9908794788273616,0.009120521172638436,1517,0.003257328990228013,0.0006514657980456026,0.0013029315960912053,0.0013029315960912053,0.005211726384364821,0.9882736156351791
256,Garrett,2412,Garrett Precinct 14-001,2373,22,2,21,3,7,39,2412,1,0.9838308457711443,0.01616915422885572,2357,0.00912106135986733,0.0008291873963515755,0.008706467661691543,0.0012437810945273632,0.002902155887230514,0.9771973466003316
257,Garrett,1811,Garrett Precinct 06-000,1677,24,3,10,2,11,134,1811,1,0.9260077305356157,0.07399226946438432,1761,0.013252346769740474,0.0016565433462175593,0.005521811154058531,0.0011043622308117063,0.006073992269464384,0.9723909442297074
258,Garrett,562,Garrett Precinct 13-000,558,3,3,2,4,3,4,562,1,0.9928825622775801,0.0071174377224199285,547,0.005338078291814947,0.005338078291814947,0.0035587188612099642,0.0071174377224199285,0.005338078291814947,0.9733096085409253
259,Garrett,1486,Garrett Precinct 01-000,1470,17,3,6,4,8,16,1486,1,0.9892328398384926,0.010767160161507403,1448,0.011440107671601614,0.002018842530282638,0.004037685060565276,0.0026917900403768506,0.005383580080753701,0.9744279946164199
260,Garrett,1547,Garrett Precinct 02-000,1514,18,5,7,4,7,33,1547,1,0.9786683904330963,0.021331609566903685,1506,0.011635423400129283,0.003232062055591467,0.004524886877828055,0.002585649644473174,0.004524886877828055,0.97349709114415
261,Garrett,1443,Garrett Precinct 05-000,1420,23,7,7,1,5,23,1443,1,0.9840609840609841,0.01593901593901594,1400,0.01593901593901594,0.004851004851004851,0.004851004851004851,0.000693000693000693,0.003465003465003465,0.9702009702009702
262,Garrett,725,Garrett Precinct 12-000,708,5,1,2,0,6,17,725,1,0.976551724137931,0.023448275862068966,711,0.006896551724137931,0.001379310344827586,0.002758620689655172,0.0,0.008275862068965517,0.9806896551724138
263,Garrett,655,Garrett Precinct 04-000,637,2,1,0,0,2,18,655,1,0.9725190839694656,0.02748091603053435,650,0.0030534351145038168,0.0015267175572519084,0.0,0.0,0.0030534351145038168,0.9923664122137404
264,Garrett,140,Garrett Precinct 11-000,136,2,0,0,0,1,4,140,1,0.9714285714285714,0.02857142857142857,137,0.014285714285714285,0.0,0.0,0.0,0.007142857142857143,0.9785714285714285
269,Garrett,627,Garrett Precinct 03-002,615,4,0,1,1,5,12,627,1,0.9808612440191388,0.019138755980861243,616,0.006379585326953748,0.0,0.001594896331738437,0.001594896331738437,0.007974481658692184,0.9824561403508771
270,Garrett,2171,Garrett Precinct 03-001,2136,8,3,7,2,8,35,2171,1,0.9838783970520497,0.016121602947950252,2143,0.0036849378166743437,0.0013818516812528789,0.0032243205895900505,0.0009212344541685859,0.0036849378166743437,0.9871027176416398
271,Garrett,421,Garrett Precinct 15-000,419,7,3,3,0,1,2,421,1,0.995249406175772,0.004750593824228029,407,0.0166270783847981,0.007125890736342043,0.007125890736342043,0.0,0.0023752969121140144,0.9667458432304038
272,Garrett,988,Garrett Precinct 09-000,964,13,1,5,2,3,24,988,1,0.9757085020242915,0.024291497975708502,964,0.013157894736842105,0.0010121457489878543,0.005060728744939271,0.0020242914979757085,0.003036437246963563,0.9757085020242915
